Vigna unguiculata, 114195889, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna unguiculata, 114190745, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Vigna unguiculata, 114186935, UDP-glycosyltransferase 88F5-like isoform X1  [EC], ['EC:2.4.1.357'], KO:K22845
Vigna unguiculata, 114186948, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Vigna unguiculata, 114186917, UDP-glycosyltransferase 88F5-like isoform X1  [EC], ['EC:2.4.1.357'], KO:K22845
Vigna unguiculata, 114188972, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114188979, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114177503, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114178886, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114178887, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114185954, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114186815, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114186979, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114167094, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114187412, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114187506, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114187552, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114187600, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114187617, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114187628, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114187632, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114184832, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114179972, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114176021, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114181075, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114181608, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114165158, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114163969, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114165191, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114185566, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114187064, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna unguiculata, 114186352, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Vigna unguiculata, 114175063, caffeoyl-CoA O-methyltransferase 3-like  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna unguiculata, 114176655, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna unguiculata, 114174890, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna unguiculata, 114179485, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna unguiculata, 114176528, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna unguiculata, 114177780, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna unguiculata, 114176743, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna unguiculata, 114173033, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna unguiculata, 114179722, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
