Amborella trichopoda, 18439368, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Amborella trichopoda, 18421837, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18429415, agmatine coumaroyltransferase-1  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18429417, agmatine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18429419, agmatine coumaroyltransferase-1  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18429420, agmatine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18434870, tryptamine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18434871, tryptamine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18427105, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Amborella trichopoda, 18441256, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Amborella trichopoda, 18433044, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Amborella trichopoda, 18445357, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Amborella trichopoda, 18440436, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Amborella trichopoda, 18432120, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Amborella trichopoda, 18432126, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Amborella trichopoda, 18446300, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Amborella trichopoda, 18443747, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Amborella trichopoda, 18443743, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Amborella trichopoda, 18443741, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Amborella trichopoda, 18443744, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Amborella trichopoda, 18447024, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Amborella trichopoda, 18432065, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Amborella trichopoda, 18424510, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Amborella trichopoda, 18424568, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Amborella trichopoda, 18436972, probable cinnamyl alcohol dehydrogenase isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Amborella trichopoda, 18436416, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Amborella trichopoda, 18430056, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Amborella trichopoda, 18421938, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18421987, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18421988, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18434027, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18424222, peroxidase 59  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18426338, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18431558, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18431813, peroxidase 35  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18423354, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18429650, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18430066, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18430073, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18430074, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18430577, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18430637, LOW QUALITY PROTEIN: peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18430639, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18431008, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18427635, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18427809, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18429089, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18430018, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18426566, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18435341, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18435586, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18433598, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18433600, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18433660, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18432390, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18432398, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18436353, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18436420, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18436422, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18437525, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18437753, lignin-forming anionic peroxidase isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18437754, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18437762, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18446365, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18429088, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18448151, peroxidase 28  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18425491, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18439311, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18436611, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18445635, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18445636, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18445637, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18438288, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18436837, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18436838, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18432274, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18432248, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18437757, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 105420399, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18439310, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18448315, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18442246, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18446832, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18446831, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18437746, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18437751, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18437756, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18437761, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18438024, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18440482, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18432251, cationic peroxidase 1 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 110007079, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18437749, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18437400, peroxidase 20 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18435835, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18445169, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18447814, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18448642, LOW QUALITY PROTEIN: probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Amborella trichopoda, 18430014, uncharacterized protein LOC18430014  [EC], ['EC:3.2.1.21'], KO:K05349
Amborella trichopoda, 18437851, uncharacterized protein LOC18437851 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Amborella trichopoda, 18439264, uncharacterized protein LOC18439264  [EC], ['EC:3.2.1.21'], KO:K05349
Amborella trichopoda, 18421559, uncharacterized protein LOC18421559 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Amborella trichopoda, 18421561, uncharacterized protein LOC18421561 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Amborella trichopoda, 18437850, uncharacterized protein LOC18437850  [EC], ['EC:3.2.1.21'], KO:K05349
Amborella trichopoda, 18435165, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Amborella trichopoda, 18447910, beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Amborella trichopoda, 18426120, LOW QUALITY PROTEIN: beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Amborella trichopoda, 18426124, LOW QUALITY PROTEIN: beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Amborella trichopoda, 18435164, LOW QUALITY PROTEIN: beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Amborella trichopoda, 18435163, LOW QUALITY PROTEIN: beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Amborella trichopoda, 18438282, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Amborella trichopoda, 18438291, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
