Lupinus angustifolius, 109328047, phenylalanine ammonia-lyase class 3-like  [EC], ['EC:4.3.1.24'], KO:K10775
Lupinus angustifolius, 109350109, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Lupinus angustifolius, 109340430, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Lupinus angustifolius, 109356075, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Lupinus angustifolius, 109358362, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Lupinus angustifolius, 109343002, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Lupinus angustifolius, 109332398, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Lupinus angustifolius, 109349789, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Lupinus angustifolius, 109343001, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Lupinus angustifolius, 109358771, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Lupinus angustifolius, 109351371, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Lupinus angustifolius, 109363488, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Lupinus angustifolius, 109331581, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Lupinus angustifolius, 109333018, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Lupinus angustifolius, 109338233, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Lupinus angustifolius, 109343467, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Lupinus angustifolius, 109328338, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Lupinus angustifolius, 109359349, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Lupinus angustifolius, 109359350, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Lupinus angustifolius, 109345737, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Lupinus angustifolius, 109335280, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Lupinus angustifolius, 109329752, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Lupinus angustifolius, 109354421, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Lupinus angustifolius, 109329753, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Lupinus angustifolius, 109336315, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Lupinus angustifolius, 109345656, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Lupinus angustifolius, 109352118, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Lupinus angustifolius, 109340974, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Lupinus angustifolius, 109345524, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Lupinus angustifolius, 109330182, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Lupinus angustifolius, 109357735, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Lupinus angustifolius, 109362119, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Lupinus angustifolius, 109329096, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109329118, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109329137, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109350711, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109335305, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109333967, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109336698, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109352756, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109353642, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109361743, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109340132, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109340389, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109341626, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109337941, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109356144, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109360528, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109327495, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109329762, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109329763, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109329764, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109329821, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109361963, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109331195, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109358785, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109361336, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109363655, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109331800, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109334652, peroxidase E5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109334653, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109339302, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109339312, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109339321, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109336783, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109345681, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109352799, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109348801, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109338591, peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109338592, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109338615, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109341691, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109341692, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109345480, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109334400, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109327846, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109332379, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109325024, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109326173, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109333817, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109343160, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109348008, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109349172, peroxidase 28-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109348646, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109352119, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109352341, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109354886, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109338426, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109361760, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109338683, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109358607, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109358636, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109339316, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109329927, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109360942, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109325725, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109325726, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109332511, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109332512, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109334199, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109340611, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109344993, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109346089, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109331629, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109336640, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109344358, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109352680, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109354978, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109355013, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109357559, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109350922, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109352149, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109347818, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109352440, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109357248, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109357249, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109338465, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109338493, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109325509, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109337086, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109358684, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109349864, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109332441, peroxidase 28-like  [EC], ['EC:1.11.1.7'], KO:K00430
Lupinus angustifolius, 109332838, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Lupinus angustifolius, 109325810, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Lupinus angustifolius, 109325961, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Lupinus angustifolius, 109333250, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Lupinus angustifolius, 109340022, beta-glucosidase 13-like  [EC], ['EC:3.2.1.21'], KO:K01188
Lupinus angustifolius, 109349529, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Lupinus angustifolius, 109351547, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Lupinus angustifolius, 109352044, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Lupinus angustifolius, 109355429, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Lupinus angustifolius, 109356901, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Lupinus angustifolius, 109330295, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Lupinus angustifolius, 109354794, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Lupinus angustifolius, 109334662, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Lupinus angustifolius, 109335846, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Lupinus angustifolius, 109335847, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Lupinus angustifolius, 109338466, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Lupinus angustifolius, 109337560, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Lupinus angustifolius, 109334162, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Lupinus angustifolius, 109334164, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Lupinus angustifolius, 109352899, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Lupinus angustifolius, 109358694, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Lupinus angustifolius, 109363590, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Lupinus angustifolius, 109341484, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Lupinus angustifolius, 109341485, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Lupinus angustifolius, 109339411, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Lupinus angustifolius, 109331035, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
