Prunus avium, 110758924, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Prunus avium, 110759101, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Prunus avium, 110755978, UDP-glycosyltransferase 88F5-like isoform X1  [EC], ['EC:2.4.1.357'], KO:K22845
Prunus avium, 110767050, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Prunus avium, 110767051, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Prunus avium, 110767066, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Prunus avium, 110772656, vinorine synthase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110772658, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110771447, BAHD acyltransferase At5g47980-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110772674, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110772676, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110772679, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110772690, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110763399, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110751652, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110771654, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110771662, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110771672, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110771689, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110758320, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110758330, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110759378, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110759379, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110758413, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110773710, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110773711, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110774307, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110774309, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110774314, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110744254, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110745422, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110763921, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110746749, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110771536, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus avium, 110765625, cytochrome P450 98A2-like isoform X1  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus avium, 110765626, cytochrome P450 98A2-like isoform X1  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus avium, 110765627, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus avium, 110765628, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus avium, 110770610, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus avium, 110769740, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus avium, 110756049, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus avium, 110756050, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus avium, 110756051, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus avium, 110750978, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus avium, 110751137, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
