Populus euphratica, 105112214, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Populus euphratica, 105118872, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Populus euphratica, 105124985, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Populus euphratica, 105115867, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Populus euphratica, 105113121, dihydroflavonol-4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Populus euphratica, 105128763, dihydroflavonol-4-reductase-like isoform X1  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Populus euphratica, 105114298, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Populus euphratica, 105125989, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Populus euphratica, 105128970, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Populus euphratica, 105132195, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Populus euphratica, 105110148, anthocyanidin reductase  [EC], ['EC:1.3.1.77'], KO:K08695
Populus euphratica, 105123652, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Populus euphratica, 105113933, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Populus euphratica, 105108601, UDP-glycosyltransferase 88A1-like  [EC], ['EC:2.4.1.357'], KO:K22845
Populus euphratica, 105132658, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105134821, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105138032, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105138033, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105113952, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105121160, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105121192, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105121198, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105130714, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105130715, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105130717, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105137297, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105107802, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105134196, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105134197, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105108969, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105134310, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105119631, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105115892, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105115893, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105118611, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105122903, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105136908, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Populus euphratica, 105137345, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Populus euphratica, 105108214, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Populus euphratica, 105114140, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Populus euphratica, 105125580, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Populus euphratica, 105123829, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Populus euphratica, 105107779, caffeoyl-CoA O-methyltransferase 2  [EC], ['EC:2.1.1.104'], KO:K00588
