Oryza brachyantha, 102715460, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Oryza brachyantha, 102706430, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102706706, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102706978, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102720110, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102720394, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102701223, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102708376, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102717395, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102719831, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102720557, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102707254, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102711118, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102714056, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102715354, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102714060, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102701305, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102713342, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102706629, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102706987, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102720670, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102715917, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102712710, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102701243, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102716849, peroxidase 68-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102708699, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102708977, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102713339, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102700036, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102719563, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102708341, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102708798, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102708521, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102716501, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102716949, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102717137, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102717413, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102705434, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102708242, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 107303826, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102699759, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102705721, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102713615, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102713890, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102707783, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102714023, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102720438, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102720998, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102712275, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102711994, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102712553, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102715588, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102708069, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102711168, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102702394, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102714195, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102705081, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102721286, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102700153, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102722673, peroxidase 41  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102718644, peroxidase 18-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102716864, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102707116, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102706839, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102707580, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102700719, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102702771, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102714301, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102714568, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102708353, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102718089, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102701084, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102710705, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102706027, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102700439, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102711447, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102712830, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102713189, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102707960, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102715295, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102708707, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102712802, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102700631, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102717266, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102721182, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102711716, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102706210, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102705928, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102706767, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102719243, peroxidase; peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102713586, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102716812, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102711487, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102718052, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102701748, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102700925, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102722796, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102721761, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102716801, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102712470, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102711010, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102701485, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102717097, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102720656, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102702716, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102702998, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102719991, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102719709, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102708558, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102715082, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102720512, beta-glucosidase 10-like  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102720788, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102706291, beta-glucosidase 24  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102709391, beta-glucosidase 27  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102703023, beta-glucosidase 6  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102715791, beta-glucosidase 34  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102715949, beta-glucosidase 25  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102713188, beta-glucosidase 19-like  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102703120, beta-glucosidase 20-like  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102719355, beta-glucosidase 5-like  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102709511, beta-glucosidase 4  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102711561, beta-glucosidase 30-like  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102721069, beta-glucosidase 13  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102706225, beta-glucosidase 30  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102720180, beta-glucosidase 31  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102720460, beta-glucosidase 32-like  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102703683, beta-glucosidase 22-like  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102718632, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102703967, beta-glucosidase 22-like  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102705942, beta-glucosidase 32-like  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102713742, beta-glucosidase 20-like  [EC], ['EC:3.2.1.21'], KO:K01188
Oryza brachyantha, 102721514, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Oryza brachyantha, 102713860, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Oryza brachyantha, 102715288, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Oryza brachyantha, 102715564, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Oryza brachyantha, 102708804, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Oryza brachyantha, 102705064, beta-glucosidase 16-like  [EC], ['EC:3.2.1.21'], KO:K05350
Oryza brachyantha, 102712397, beta-glucosidase 1  [EC], ['EC:3.2.1.21'], KO:K05350
Oryza brachyantha, 102708703, beta-glucosidase 7  [EC], ['EC:3.2.1.21'], KO:K05350
Oryza brachyantha, 102703947, beta-glucosidase 8  [EC], ['EC:3.2.1.21'], KO:K05350
Oryza brachyantha, 102707958, beta-glucosidase 16-like  [EC], ['EC:3.2.1.21'], KO:K05350
Oryza brachyantha, 102717079, beta-glucosidase 26  [EC], ['EC:3.2.1.21'], KO:K05350
Oryza brachyantha, 102715255, beta-glucosidase 38  [EC], ['EC:3.2.1.21'], KO:K05350
Oryza brachyantha, 102708519, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Oryza brachyantha, 102700279, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
