Arachis ipaensis, 107617800, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis ipaensis, 107645639, caffeoylshikimate esterase isoform X2  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis ipaensis, 107642854, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis ipaensis, 107619040, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis ipaensis, 107622427, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis ipaensis, 107643848, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis ipaensis, 107623043, caffeoyl-CoA O-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis ipaensis, 107625467, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis ipaensis, 107626903, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis ipaensis, 107617022, caffeoyl-CoA O-methyltransferase 5 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis ipaensis, 107642145, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis ipaensis, 107617648, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Arachis ipaensis, 107618046, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Arachis ipaensis, 107644362, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Arachis ipaensis, 107630300, aldehyde dehydrogenase family 2 member C4 isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Arachis ipaensis, 107630301, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Arachis ipaensis, 107644359, aldehyde dehydrogenase family 2 member C4 isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Arachis ipaensis, 107644364, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Arachis ipaensis, 107634074, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Arachis ipaensis, 107625271, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Arachis ipaensis, 107642929, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Arachis ipaensis, 107622793, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Arachis ipaensis, 107618077, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis ipaensis, 107631050, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis ipaensis, 107622841, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis ipaensis, 107622842, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis ipaensis, 107645326, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis ipaensis, 107615365, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis ipaensis, 107622843, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis ipaensis, 107631538, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis ipaensis, 107638870, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis ipaensis, 107631539, berberine bridge enzyme-like 26  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis ipaensis, 107636013, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis ipaensis, 107636019, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis ipaensis, 107631482, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Arachis ipaensis, 107625470, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107631180, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107635998, LOW QUALITY PROTEIN: peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107639610, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107639611, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107631624, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107634056, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107642547, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107612158, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107621978, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107622035, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107605448, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107609062, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107613819, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107613841, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107617520, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107618757, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107636011, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107636020, peroxidase 53-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107636025, peroxidase 53-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107636026, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107643321, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107641464, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107605007, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107605008, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107612215, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107612225, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107642635, peroxidase 20 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107643769, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107614838, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107626501, LOW QUALITY PROTEIN: peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107627797, LOW QUALITY PROTEIN: peroxidase 52-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107625855, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107637955, cationic peroxidase 1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107646332, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107642194, peroxidase 47-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107642242, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107642716, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107622786, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107613420, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107618909, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107644357, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107628505, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107628506, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107642912, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107642793, LOW QUALITY PROTEIN: peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107609251, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107645274, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107623966, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107623976, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107605157, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107616015, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107615282, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107645327, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107617315, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107621084, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107645406, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107604748, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107608379, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107644671, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107605275, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107614855, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107648633, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107622386, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107622387, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107630432, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107629953, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107637663, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107638826, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107638827, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107638828, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107638830, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107638832, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107608947, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107610114, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107637242, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107623541, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107623596, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107642613, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107643176, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107643268, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107643462, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107627586, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107615853, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107640362, peroxidase C1C-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis ipaensis, 107642847, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Arachis ipaensis, 107627777, UDP-glycosyltransferase 72D1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Arachis ipaensis, 107627778, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Arachis ipaensis, 107613506, beta-glucosidase 24  [EC], ['EC:3.2.1.21'], KO:K01188
Arachis ipaensis, 107628996, cyanogenic beta-glucosidase isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Arachis ipaensis, 107630128, putative beta-glucosidase 41 isoform X2  [EC], ['EC:3.2.1.21'], KO:K01188
Arachis ipaensis, 107631834, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Arachis ipaensis, 107611401, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Arachis ipaensis, 107604986, uncharacterized protein LOC107604986  [EC], ['EC:3.2.1.21'], KO:K05349
Arachis ipaensis, 107609749, uncharacterized protein LOC107609749 isoform X5  [EC], ['EC:3.2.1.21'], KO:K05349
Arachis ipaensis, 107622684, uncharacterized protein LOC107622684 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Arachis ipaensis, 107622685, uncharacterized protein LOC107622685  [EC], ['EC:3.2.1.21'], KO:K05349
Arachis ipaensis, 107609338, uncharacterized protein LOC107609338 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Arachis ipaensis, 107608667, uncharacterized protein LOC107608667 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Arachis ipaensis, 107638839, uncharacterized protein LOC107638839  [EC], ['EC:3.2.1.21'], KO:K05349
Arachis ipaensis, 107638608, beta-glucosidase 45 isoform X3  [EC], ['EC:3.2.1.21'], KO:K05350
Arachis ipaensis, 107638610, beta-glucosidase 46 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Arachis ipaensis, 107644224, LOW QUALITY PROTEIN: beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Arachis ipaensis, 107637347, beta-glucosidase 46  [EC], ['EC:3.2.1.21'], KO:K05350
Arachis ipaensis, 107637358, beta-glucosidase 46 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Arachis ipaensis, 107615018, LOW QUALITY PROTEIN: feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Arachis ipaensis, 107616891, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Arachis ipaensis, 107620697, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Arachis ipaensis, 107604900, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Arachis ipaensis, 107622618, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Arachis ipaensis, 107622619, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Arachis ipaensis, 107625685, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
