Cynara cardunculus var. scolymus, 112508463, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cynara cardunculus var. scolymus, 112501602, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112504064, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112505863, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112505864, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112506624, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112506931, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112514859, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112516970, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112517241, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112529806, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112514594, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cynara cardunculus var. scolymus, 112504027, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Cynara cardunculus var. scolymus, 112512472, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Cynara cardunculus var. scolymus, 112506836, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Cynara cardunculus var. scolymus, 112509846, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Cynara cardunculus var. scolymus, 112516955, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Cynara cardunculus var. scolymus, 112511346, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Cynara cardunculus var. scolymus, 112517450, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Cynara cardunculus var. scolymus, 112525168, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Cynara cardunculus var. scolymus, 112500202, caffeoyl-CoA O-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Cynara cardunculus var. scolymus, 112500219, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cynara cardunculus var. scolymus, 112512135, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cynara cardunculus var. scolymus, 112516496, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Cynara cardunculus var. scolymus, 112512166, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cynara cardunculus var. scolymus, 112510259, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cynara cardunculus var. scolymus, 112509602, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cynara cardunculus var. scolymus, 112506760, aldehyde dehydrogenase family 2 member C4-like isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Cynara cardunculus var. scolymus, 112516784, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Cynara cardunculus var. scolymus, 112516420, aldehyde dehydrogenase family 2 member C4-like isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Cynara cardunculus var. scolymus, 112516421, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Cynara cardunculus var. scolymus, 112515563, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Cynara cardunculus var. scolymus, 112513261, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Cynara cardunculus var. scolymus, 112502160, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cynara cardunculus var. scolymus, 112517955, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cynara cardunculus var. scolymus, 112518480, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cynara cardunculus var. scolymus, 112524515, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cynara cardunculus var. scolymus, 112507325, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Cynara cardunculus var. scolymus, 112511600, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Cynara cardunculus var. scolymus, 112500993, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Cynara cardunculus var. scolymus, 112509274, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Cynara cardunculus var. scolymus, 112500777, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Cynara cardunculus var. scolymus, 112500053, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Cynara cardunculus var. scolymus, 112516727, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Cynara cardunculus var. scolymus, 112521913, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Cynara cardunculus var. scolymus, 112507108, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112510204, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112509843, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112509877, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112508833, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112502735, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112502409, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112503338, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112503818, cationic peroxidase 1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112505107, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112505408, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112506185, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112508036, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112512651, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112527448, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112512522, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112520976, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112512723, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112512604, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112524099, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112512851, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112519246, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112524359, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112519167, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112529558, peroxidase 20-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112522938, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112522939, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112522940, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112525946, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112512010, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112512046, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112516240, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112516257, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112516263, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112516267, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112518378, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112522515, basic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112511183, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112513213, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112516428, peroxidase N1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112516429, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112516449, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112516458, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112519579, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112528717, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112522681, basic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112518253, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112513129, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112514258, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112515271, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112512314, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112515437, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112516518, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112516536, peroxidase N1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112512393, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112512432, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112514518, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112516596, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112516640, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112516641, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112516642, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112521846, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112516190, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112519367, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112512374, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112524505, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112524521, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112526607, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112513143, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112514300, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112515342, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112525664, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112512471, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112512481, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112514609, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cynara cardunculus var. scolymus, 112501980, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Cynara cardunculus var. scolymus, 112516999, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Cynara cardunculus var. scolymus, 112518741, beta-glucosidase 11-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Cynara cardunculus var. scolymus, 112509080, uncharacterized protein LOC112509080  [EC], ['EC:3.2.1.21'], KO:K05349
Cynara cardunculus var. scolymus, 112503796, uncharacterized protein LOC112503796  [EC], ['EC:3.2.1.21'], KO:K05349
Cynara cardunculus var. scolymus, 112506942, uncharacterized protein LOC112506942 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Cynara cardunculus var. scolymus, 112518021, uncharacterized protein LOC112518021 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Cynara cardunculus var. scolymus, 112513976, uncharacterized protein LOC112513976  [EC], ['EC:3.2.1.21'], KO:K05349
Cynara cardunculus var. scolymus, 112512313, uncharacterized protein LOC112512313  [EC], ['EC:3.2.1.21'], KO:K05349
Cynara cardunculus var. scolymus, 112519623, uncharacterized protein LOC112519623  [EC], ['EC:3.2.1.21'], KO:K05349
Cynara cardunculus var. scolymus, 112520747, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Cynara cardunculus var. scolymus, 112512435, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Cynara cardunculus var. scolymus, 112518680, uncharacterized protein LOC112518680 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Cynara cardunculus var. scolymus, 112506784, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cynara cardunculus var. scolymus, 112500357, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cynara cardunculus var. scolymus, 112500429, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cynara cardunculus var. scolymus, 112500430, probable inactive beta-glucosidase 14  [EC], ['EC:3.2.1.21'], KO:K05350
Cynara cardunculus var. scolymus, 112500431, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cynara cardunculus var. scolymus, 112500099, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Cynara cardunculus var. scolymus, 112523030, beta-glucosidase 46-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Cynara cardunculus var. scolymus, 112510877, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cynara cardunculus var. scolymus, 112524485, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cynara cardunculus var. scolymus, 112522132, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Cynara cardunculus var. scolymus, 112520303, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Cynara cardunculus var. scolymus, 112516881, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
