Arachis duranensis, 107467923, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis duranensis, 107467716, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis duranensis, 107471517, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis duranensis, 107491307, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis duranensis, 107469696, caffeoyl-CoA O-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis duranensis, 107474667, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis duranensis, 107479787, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis duranensis, 107479796, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis duranensis, 107490158, LOW QUALITY PROTEIN: probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis duranensis, 107463776, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Arachis duranensis, 107459741, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Arachis duranensis, 107478691, aldehyde dehydrogenase family 2 member C4 isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Arachis duranensis, 107478690, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Arachis duranensis, 107490259, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Arachis duranensis, 107490261, aldehyde dehydrogenase family 2 member C4 isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Arachis duranensis, 107477118, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Arachis duranensis, 107478833, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Arachis duranensis, 107488034, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Arachis duranensis, 107470102, caffeic acid 3-O-methyltransferase isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Arachis duranensis, 107467418, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis duranensis, 107480464, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis duranensis, 107468576, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis duranensis, 107493237, probable cinnamyl alcohol dehydrogenase 6 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis duranensis, 107468575, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis duranensis, 107481678, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis duranensis, 107483252, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis duranensis, 107481679, berberine bridge enzyme-like 26  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis duranensis, 107483135, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis duranensis, 107483167, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis duranensis, 107481617, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Arachis duranensis, 107470119, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107470263, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107462031, LOW QUALITY PROTEIN: peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107488005, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107470963, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107475437, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107477749, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107466751, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107466056, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107467673, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107475687, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107469283, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107466265, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107461822, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107463671, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107463520, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107495400, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107477014, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107463897, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107467037, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107483830, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107493236, LOW QUALITY PROTEIN: peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107495621, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107468737, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107468746, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107471758, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107471763, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107488733, peroxidase C1C-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107492884, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107464786, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107464951, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107483676, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107493108, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107493111, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107494323, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107466621, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107481407, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107475604, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107468403, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107487450, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107491009, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107460286, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107491254, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107492439, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107492444, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107494801, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107494816, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107458151, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107458152, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107458153, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107461475, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107495082, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107485218, cationic peroxidase 1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107485222, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107487572, peroxidase 20 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107480746, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107496954, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107487775, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107458785, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107462414, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107481758, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107473776, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107473786, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107473797, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107487669, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107496990, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107473817, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107470027, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107477192, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107483101, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107483139, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107483147, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107483150, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107483151, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107483152, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107483153, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107483166, peroxidase 53-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107458613, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107496850, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107485196, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis duranensis, 107487880, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Arachis duranensis, 107487881, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Arachis duranensis, 107475468, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Arachis duranensis, 107475624, UDP-glycosyltransferase 72D1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Arachis duranensis, 107475627, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Arachis duranensis, 107462803, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Arachis duranensis, 107463056, beta-glucosidase 24  [EC], ['EC:3.2.1.21'], KO:K01188
Arachis duranensis, 107476779, cyanogenic beta-glucosidase isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Arachis duranensis, 107478272, putative beta-glucosidase 41 isoform X2  [EC], ['EC:3.2.1.21'], KO:K01188
Arachis duranensis, 107481490, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Arachis duranensis, 107494462, uncharacterized protein LOC107494462  [EC], ['EC:3.2.1.21'], KO:K05349
Arachis duranensis, 107471616, uncharacterized protein LOC107471616  [EC], ['EC:3.2.1.21'], KO:K05349
Arachis duranensis, 107471877, uncharacterized protein LOC107471877  [EC], ['EC:3.2.1.21'], KO:K05349
Arachis duranensis, 107496733, uncharacterized protein LOC107496733 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Arachis duranensis, 107458393, uncharacterized protein LOC107458393 isoform X4  [EC], ['EC:3.2.1.21'], KO:K05349
Arachis duranensis, 107493558, uncharacterized protein LOC107493558  [EC], ['EC:3.2.1.21'], KO:K05349
Arachis duranensis, 107483144, uncharacterized protein LOC107483144  [EC], ['EC:3.2.1.21'], KO:K05349
Arachis duranensis, 110276696, uncharacterized protein LOC110276696  [EC], ['EC:3.2.1.21'], KO:K05349
Arachis duranensis, 107466829, beta-glucosidase 46 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Arachis duranensis, 107490671, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Arachis duranensis, 107482630, beta-glucosidase 46 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Arachis duranensis, 107482632, beta-glucosidase 46 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Arachis duranensis, 107467282, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Arachis duranensis, 107472881, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Arachis duranensis, 107466845, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Arachis duranensis, 107475210, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Arachis duranensis, 107494783, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Arachis duranensis, 107494580, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
