Elaeis guineensis, 105033424, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Elaeis guineensis, 109504787, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Elaeis guineensis, 105051171, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Elaeis guineensis, 105051182, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Elaeis guineensis, 105060184, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Elaeis guineensis, 105036005, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Elaeis guineensis, 105050729, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Elaeis guineensis, 105048589, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Elaeis guineensis, 105048426, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Elaeis guineensis, 105048511, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Elaeis guineensis, 105047732, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Elaeis guineensis, 105043509, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Elaeis guineensis, 105054060, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Elaeis guineensis, 105054951, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Elaeis guineensis, 105054950, tricetin 3',4',5'-O-trimethyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Elaeis guineensis, 105037617, tricetin 3',4',5'-O-trimethyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Elaeis guineensis, 105042923, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Elaeis guineensis, 105054994, tricetin 3',4',5'-O-trimethyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Elaeis guineensis, 105061001, cinnamyl alcohol dehydrogenase 2-like  [EC], ['EC:1.1.1.195'], KO:K00083
Elaeis guineensis, 105043276, putative cinnamyl alcohol dehydrogenase 4  [EC], ['EC:1.1.1.195'], KO:K00083
Elaeis guineensis, 105052938, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Elaeis guineensis, 105054383, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Elaeis guineensis, 105044939, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Elaeis guineensis, 105055094, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Elaeis guineensis, 105032523, peroxidase 35  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105032877, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105033254, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105033318, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105034583, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105034681, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105034682, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105035917, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105037730, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105037124, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105038037, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105036233, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105036889, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105039154, peroxidase 63  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105039378, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105039556, peroxidase 18 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105039804, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105039807, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105040036, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105040157, LOW QUALITY PROTEIN: peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105040594, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105040595, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105040596, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105040597, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105040598, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105042952, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105049894, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105056778, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105052267, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105052269, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105044940, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105044941, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105044943, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105051975, cationic peroxidase SPC4  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105051976, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105043191, LOW QUALITY PROTEIN: peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105047112, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105049726, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105056224, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105057368, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105043889, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105049808, peroxidase 47 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105055428, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105049037, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105043250, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105043251, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105050289, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105052647, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105057181, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105059759, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105056486, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105046888, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105048111, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105048112, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105054323, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105033308, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105044629, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105047025, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105048152, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105052133, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105052142, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105051742, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105054919, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105057296, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105058444, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105059657, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105055124, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105044783, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105044786, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105044787, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105044789, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105045942, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105058658, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105055531, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 109506020, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 109506113, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105059992, uncharacterized protein LOC105059992  [EC], ['EC:1.11.1.7'], KO:K00430
Elaeis guineensis, 105034542, uncharacterized protein LOC105034542 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Elaeis guineensis, 105042390, uncharacterized protein LOC105042390 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Elaeis guineensis, 105042391, uncharacterized protein LOC105042391  [EC], ['EC:3.2.1.21'], KO:K05349
Elaeis guineensis, 105046271, uncharacterized protein LOC105046271 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Elaeis guineensis, 105046272, uncharacterized protein LOC105046272  [EC], ['EC:3.2.1.21'], KO:K05349
Elaeis guineensis, 105042425, uncharacterized protein LOC105042425 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Elaeis guineensis, 109505671, uncharacterized protein LOC109505671  [EC], ['EC:3.2.1.21'], KO:K05349
Elaeis guineensis, 105033762, beta-glucosidase 1  [EC], ['EC:3.2.1.21'], KO:K05350
Elaeis guineensis, 105041182, beta-glucosidase 1-like  [EC], ['EC:3.2.1.21'], KO:K05350
Elaeis guineensis, 105045835, beta-glucosidase 1-like  [EC], ['EC:3.2.1.21'], KO:K05350
Elaeis guineensis, 105044265, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Elaeis guineensis, 105044229, beta-glucosidase 18 isoform X2  [EC], ['EC:3.2.1.21'], KO:K05350
Elaeis guineensis, 105032534, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Elaeis guineensis, 105056277, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Elaeis guineensis, 105049155, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Elaeis guineensis, 105036999, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Elaeis guineensis, 105048184, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Elaeis guineensis, 105049386, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Elaeis guineensis, 105047155, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Elaeis guineensis, 105050297, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Elaeis guineensis, 105048192, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Elaeis guineensis, 105049395, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
