Manihot esculenta, 110612862, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Manihot esculenta, 110605890, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Manihot esculenta, 110629198, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Manihot esculenta, 110628286, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Manihot esculenta, 110602917, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Manihot esculenta, 110630746, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Manihot esculenta, 110617547, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Manihot esculenta, 110605933, UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Manihot esculenta, 110613924, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110617117, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110618130, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110618151, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110612962, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110618337, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110626036, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110627105, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110616513, BAHD acyltransferase BIA1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110612417, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110625251, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110629548, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110605094, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110616780, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110616853, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110607398, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110617938, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110617939, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110626593, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110629747, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110613765, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110627748, fatty alcohol:caffeoyl-CoA acyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110621178, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Manihot esculenta, 110611983, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Manihot esculenta, 110625372, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Manihot esculenta, 110603107, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Manihot esculenta, 110627908, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Manihot esculenta, 110624022, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Manihot esculenta, 110600713, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Manihot esculenta, 110604993, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Manihot esculenta, 110601387, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Manihot esculenta, 110618571, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
