Eucalyptus grandis, 104421642, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Eucalyptus grandis, 104435605, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104435652, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104431197, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455130, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455132, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455134, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455138, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455140, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455151, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104450635, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104450637, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104450643, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104453243, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455386, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455389, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455391, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455394, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455395, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455396, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455397, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104439594, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104439596, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104439641, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104439645, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104439649, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104439650, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104439666, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104452878, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104440492, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104454964, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104454965, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104437417, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104442437, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104435603, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104450636, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104455133, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Eucalyptus grandis, 104443731, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Eucalyptus grandis, 104443755, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Eucalyptus grandis, 104454510, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Eucalyptus grandis, 104456751, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Eucalyptus grandis, 104454153, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Eucalyptus grandis, 104449478, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Eucalyptus grandis, 104453789, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Eucalyptus grandis, 104449429, caffeoylshikimate esterase isoform X2  [EC], ['EC:3.1.1.-'], KO:K18368
Eucalyptus grandis, 104421850, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Eucalyptus grandis, 104453188, caffeoyl-CoA O-methyltransferase 2  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104418719, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104436514, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104417751, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104415685, flavonoid 3',5'-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104436513, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104436516, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104435432, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104438179, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104439026, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104440294, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104440300, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104440305, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104415688, flavonoid 3',5'-methyltransferase isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104415689, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104415687, flavonoid 3',5'-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Eucalyptus grandis, 104423225, LOW QUALITY PROTEIN: cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Eucalyptus grandis, 104438293, aldehyde dehydrogenase family 2 member C4 isoform X2  [EC], ['EC:1.2.1.68'], KO:K12355
Eucalyptus grandis, 104438294, aldehyde dehydrogenase family 2 member C4 isoform X2  [EC], ['EC:1.2.1.68'], KO:K12355
Eucalyptus grandis, 104438292, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Eucalyptus grandis, 104438296, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Eucalyptus grandis, 104438298, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Eucalyptus grandis, 104438297, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Eucalyptus grandis, 104438295, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Eucalyptus grandis, 104419678, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Eucalyptus grandis, 104422739, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Eucalyptus grandis, 104415145, inositol 4-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104417513, inositol 4-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104416154, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104415146, inositol 4-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104437219, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104449485, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104449526, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104449528, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104444139, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104430810, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104430849, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104456234, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104450510, inositol 4-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104445600, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104445601, caffeic acid 3-O-methyltransferase isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104429247, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104429248, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104437195, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104437201, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104416156, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104416158, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104416159, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104447135, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104455705, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104452413, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104452416, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104424243, caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104424567, caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104447137, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Eucalyptus grandis, 104444153, probable cinnamyl alcohol dehydrogenase 1 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Eucalyptus grandis, 104453143, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Eucalyptus grandis, 104414609, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Eucalyptus grandis, 104415853, probable cinnamyl alcohol dehydrogenase 9 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Eucalyptus grandis, 104444152, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Eucalyptus grandis, 104444155, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Eucalyptus grandis, 104444157, probable cinnamyl alcohol dehydrogenase 1 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Eucalyptus grandis, 104444158, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Eucalyptus grandis, 104444159, probable cinnamyl alcohol dehydrogenase 1 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Eucalyptus grandis, 104444160, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Eucalyptus grandis, 104444163, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Eucalyptus grandis, 104448865, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Eucalyptus grandis, 104448860, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Eucalyptus grandis, 104448863, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Eucalyptus grandis, 104441575, flavin-dependent oxidoreductase FOX3  [EC], ['EC:1.1.1.195'], KO:K22395
Eucalyptus grandis, 104441570, flavin-dependent oxidoreductase FOX2  [EC], ['EC:1.1.1.195'], KO:K22395
Eucalyptus grandis, 104441572, flavin-dependent oxidoreductase FOX2  [EC], ['EC:1.1.1.195'], KO:K22395
Eucalyptus grandis, 104441573, flavin-dependent oxidoreductase FOX2  [EC], ['EC:1.1.1.195'], KO:K22395
Eucalyptus grandis, 104440649, flavin-dependent oxidoreductase FOX2  [EC], ['EC:1.1.1.195'], KO:K22395
Eucalyptus grandis, 104453606, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Eucalyptus grandis, 104450794, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104450810, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104450840, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104451725, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104451732, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104451743, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 108959655, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104453492, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104453422, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104430395, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104430480, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104453506, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104453515, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104430663, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104448683, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104443372, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104420258, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104437178, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104448598, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104448761, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104430565, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104453546, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104430768, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104453566, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104430865, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104453576, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104430957, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104431052, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104431148, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104453595, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104433988, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104435756, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104445916, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104445924, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104445945, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104445934, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104445956, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104445968, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104449271, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104452022, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104433965, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104434724, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104432970, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104437328, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104437647, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104437655, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104437651, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104437652, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104433339, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104437427, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104435642, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104433966, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104434128, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104434134, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104434130, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104445533, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104453315, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104415764, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104418455, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104422181, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104454444, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104453856, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104453855, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104451656, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104441129, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104445198, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104447621, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104445539, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104441987, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104450830, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104450831, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104456838, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104414957, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104457265, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104419952, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104419698, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104421884, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104423732, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104421312, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104422182, peroxidase 5 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104421005, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104422800, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104454445, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104454446, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
