Setaria italica, 101756700, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Setaria italica, 101759894, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101774598, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101774991, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101775401, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101775807, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101775549, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101775962, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101776368, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101757317, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101761528, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101771903, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101753704, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101761446, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101778311, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101770542, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101770951, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101771343, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101772496, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101776301, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101779151, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101763208, cationic peroxidase SPC4  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101763613, cationic peroxidase SPC4  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101764017, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101764825, cationic peroxidase SPC4  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 111255652, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101757149, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101757536, peroxidase 1 isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101780248, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101780647, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101766751, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101782290, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101775109, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101775512, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101775928, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101776333, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101757192, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101785533, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101753695, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101776237, cationic peroxidase SPC4  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101777887, cationic peroxidase SPC4  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101778284, cationic peroxidase SPC4  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101772567, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101781049, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101782279, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101757315, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101777590, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101778009, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101778405, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101778806, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101765161, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101773534, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101786070, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101774929, peroxidase 18  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101776191, peroxidase 56  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101763258, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101763664, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101753387, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101753799, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101754194, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101755294, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101755700, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101756102, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101756505, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101757113, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101754543, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101755352, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101778697, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101779463, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101782535, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101782429, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101771235, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101759461, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101783234, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101783643, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101763937, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101764346, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101764750, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101764963, peroxidase 4 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101763195, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101782497, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101764788, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101757945, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101757689, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101765668, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101766082, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101766490, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101767314, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101779210, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101775003, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101755213, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101769975, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101754287, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101756919, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101776354, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101785869, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101769201, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101764064, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101756652, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 111255817, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101758456, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 111256430, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 111257863, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101777376, beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Setaria italica, 101780809, beta-glucosidase 6  [EC], ['EC:3.2.1.21'], KO:K01188
Setaria italica, 101786459, beta-glucosidase 24  [EC], ['EC:3.2.1.21'], KO:K01188
Setaria italica, 101765240, beta-glucosidase 22  [EC], ['EC:3.2.1.21'], KO:K01188
Setaria italica, 101759340, beta-glucosidase 10 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Setaria italica, 101783253, beta-glucosidase 5 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Setaria italica, 101758109, beta-glucosidase 25 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Setaria italica, 101784519, probable inactive beta-glucosidase 33 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Setaria italica, 101777786, beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Setaria italica, 101765746, beta-glucosidase 30  [EC], ['EC:3.2.1.21'], KO:K01188
Setaria italica, 101766064, beta-glucosidase 20 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Setaria italica, 101769477, beta-glucosidase 30  [EC], ['EC:3.2.1.21'], KO:K01188
Setaria italica, 101779998, beta-glucosidase 6  [EC], ['EC:3.2.1.21'], KO:K01188
Setaria italica, 101768820, beta-glucosidase 4  [EC], ['EC:3.2.1.21'], KO:K01188
Setaria italica, 101778196, beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Setaria italica, 101784113, beta-glucosidase 31  [EC], ['EC:3.2.1.21'], KO:K01188
Setaria italica, 101756274, beta-glucosidase 31  [EC], ['EC:3.2.1.21'], KO:K01188
Setaria italica, 101780406, beta-glucosidase 6-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Setaria italica, 101765089, beta-glucosidase 29  [EC], ['EC:3.2.1.21'], KO:K01188
Setaria italica, 101764712, uncharacterized protein LOC101764712 isoform X2  [EC], ['EC:3.2.1.21'], KO:K01188
Setaria italica, 101781918, uncharacterized protein LOC101781918  [EC], ['EC:3.2.1.21'], KO:K05349
Setaria italica, 101782321, uncharacterized protein LOC101782321  [EC], ['EC:3.2.1.21'], KO:K05349
Setaria italica, 101772606, uncharacterized protein LOC101772606  [EC], ['EC:3.2.1.21'], KO:K05349
Setaria italica, 101773011, uncharacterized protein LOC101773011  [EC], ['EC:3.2.1.21'], KO:K05349
Setaria italica, 101770565, uncharacterized protein LOC101770565  [EC], ['EC:3.2.1.21'], KO:K05349
Setaria italica, 101773215, uncharacterized protein LOC101773215  [EC], ['EC:3.2.1.21'], KO:K05349
Setaria italica, 101768377, uncharacterized protein LOC101768377  [EC], ['EC:3.2.1.21'], KO:K05349
Setaria italica, 101775239, uncharacterized protein LOC101775239  [EC], ['EC:3.2.1.21'], KO:K05349
Setaria italica, 101766477, uncharacterized protein LOC101766477  [EC], ['EC:3.2.1.21'], KO:K05349
Setaria italica, 101767433, uncharacterized protein LOC101767433  [EC], ['EC:3.2.1.21'], KO:K05349
Setaria italica, 101781781, uncharacterized protein LOC101781781  [EC], ['EC:3.2.1.21'], KO:K05349
Setaria italica, 101756027, beta-glucosidase 26  [EC], ['EC:3.2.1.21'], KO:K05350
Setaria italica, 101776688, beta-glucosidase 18 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Setaria italica, 101776290, beta-glucosidase 16  [EC], ['EC:3.2.1.21'], KO:K05350
Setaria italica, 101782271, beta-glucosidase 38  [EC], ['EC:3.2.1.21'], KO:K05350
Setaria italica, 101775884, probable inactive beta-glucosidase 14  [EC], ['EC:3.2.1.21'], KO:K05350
Setaria italica, 101777643, beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Setaria italica, 101780657, beta-glucosidase 8  [EC], ['EC:3.2.1.21'], KO:K05350
Setaria italica, 101781059, beta-glucosidase 7 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Setaria italica, 101775482, probable inactive beta-glucosidase 14 isoform X4  [EC], ['EC:3.2.1.21'], KO:K05350
Setaria italica, 101775205, probable inactive beta-glucosidase 14 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
