Cucumis sativus, 101218144, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Cucumis sativus, 101215428, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101213432, LOW QUALITY PROTEIN: lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101215530, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101218447, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101216779, peroxidase 11 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101218459, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101204648, peroxidase 49  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101204209, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 105435603, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101215642, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101213667, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101205763, peroxidase 40 isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101221151, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101217954, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101219177, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101207371, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101204245, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101208108, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101204979, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101206860, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101217543, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101204490, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101208932, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101207771, LOW QUALITY PROTEIN: peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101206193, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101212948, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 116403992, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 116403994, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 116402797, LOW QUALITY PROTEIN: peroxidase 20-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 116402906, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 116406089, LOW QUALITY PROTEIN: peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 116406090, LOW QUALITY PROTEIN: peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 116406146, LOW QUALITY PROTEIN: peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 116403796, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucumis sativus, 101215927, UDP-glycosyltransferase 72E2  [EC], ['EC:2.4.1.111'], KO:K12356
Cucumis sativus, 101214511, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Cucumis sativus, 116403185, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Cucumis sativus, 101217315, beta-glucosidase 25 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Cucumis sativus, 101208027, beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Cucumis sativus, 101202924, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Cucumis sativus, 101214518, cyanogenic beta-glucosidase  [EC], ['EC:3.2.1.21'], KO:K01188
Cucumis sativus, 101220742, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Cucumis sativus, 101214838, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cucumis sativus, 101211580, beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Cucumis sativus, 101211820, LOW QUALITY PROTEIN: beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Cucumis sativus, 101215343, BG2; beta-glucosidase 24  [EC], ['EC:3.2.1.21'], KO:K01188
Cucumis sativus, 116404628, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Cucumis sativus, 101204835, uncharacterized protein LOC101204835  [EC], ['EC:3.2.1.21'], KO:K05349
Cucumis sativus, 101211593, uncharacterized protein LOC101211593  [EC], ['EC:3.2.1.21'], KO:K05349
Cucumis sativus, 101223112, uncharacterized protein LOC101223112  [EC], ['EC:3.2.1.21'], KO:K05349
Cucumis sativus, 101221143, uncharacterized protein LOC101221143  [EC], ['EC:3.2.1.21'], KO:K05349
Cucumis sativus, 101214999, uncharacterized protein LOC101214999 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Cucumis sativus, 101209588, uncharacterized protein LOC101209588 isoform X2  [EC], ['EC:3.2.1.21'], KO:K05349
Cucumis sativus, 116401634, uncharacterized protein LOC116401634 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Cucumis sativus, 101215621, beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Cucumis sativus, 101215384, beta-glucosidase 18 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Cucumis sativus, 101209364, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Cucumis sativus, 101220587, beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Cucumis sativus, 101208174, beta-glucosidase 44 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Cucumis sativus, 101218046, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Cucumis sativus, 101209136, beta-glucosidase 47  [EC], ['EC:3.2.1.21'], KO:K05350
Cucumis sativus, 116406237, beta-glucosidase 44-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Cucumis sativus, 101214138, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Cucumis sativus, 101202984, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Cucumis sativus, 105434429, LOW QUALITY PROTEIN: scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Cucumis sativus, 101218441, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Cucumis sativus, 101218673, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Cucumis sativus, 105436104, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Cucumis sativus, 101218912, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Cucumis sativus, 101220507, UDP-glucose flavonoid 3-O-glucosyltransferase 7  [EC], ['EC:2.4.1.128'], KO:K23260
