Populus euphratica, 105137114, phenylalanine ammonia-lyase G2B  [EC], ['EC:4.3.1.24'], KO:K10775
Populus euphratica, 105121192, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105121198, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105130714, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105130715, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105130717, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105137297, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105107802, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105134196, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105134197, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105108969, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105134310, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105119631, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105115892, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105115893, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105118611, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105122903, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus euphratica, 105136908, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Populus euphratica, 105137345, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Populus euphratica, 105131989, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Populus euphratica, 105122910, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Populus euphratica, 105114563, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Populus euphratica, 105127475, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Populus euphratica, 105133370, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Populus euphratica, 105136386, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Populus euphratica, 105113356, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Populus euphratica, 105108214, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Populus euphratica, 105114140, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Populus euphratica, 105125580, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Populus euphratica, 105123829, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Populus euphratica, 105107779, caffeoyl-CoA O-methyltransferase 2  [EC], ['EC:2.1.1.104'], KO:K00588
Populus euphratica, 105132742, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Populus euphratica, 105122930, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Populus euphratica, 105119801, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Populus euphratica, 105132634, cinnamoyl-CoA reductase 2-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Populus euphratica, 105138908, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Populus euphratica, 105141794, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Populus euphratica, 105126668, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Populus euphratica, 105128633, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Populus euphratica, 105136824, caffeic acid 3-O-methyltransferase 1 isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus euphratica, 105126241, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus euphratica, 105139125, caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus euphratica, 105135998, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus euphratica, 105136006, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus euphratica, 105135039, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus euphratica, 105110074, caffeic acid 3-O-methyltransferase 3  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus euphratica, 105116664, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus euphratica, 105108525, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Populus euphratica, 105110879, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Populus euphratica, 105132927, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Populus euphratica, 105140526, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Populus euphratica, 105129887, LOW QUALITY PROTEIN: probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Populus euphratica, 105111709, tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Populus euphratica, 105135894, tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Populus euphratica, 105135900, tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Populus euphratica, 105135901, tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Populus euphratica, 105120028, tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Populus euphratica, 105112109, cannabidiolic acid synthase-like 2  [EC], ['EC:1.1.1.195'], KO:K22395
Populus euphratica, 105112111, reticuline oxidase-like protein  [EC], ['EC:1.1.1.195'], KO:K22395
Populus euphratica, 105112113, tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Populus euphratica, 105112114, inactive tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Populus euphratica, 105112115, tetrahydrocannabinolic acid synthase-like isoform X1  [EC], ['EC:1.1.1.195'], KO:K22395
Populus euphratica, 105117856, tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Populus euphratica, 105117857, tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Populus euphratica, 105117858, tetrahydrocannabinolic acid synthase-like isoform X1  [EC], ['EC:1.1.1.195'], KO:K22395
Populus euphratica, 105109066, tetrahydrocannabinolic acid synthase-like isoform X1  [EC], ['EC:1.1.1.195'], KO:K22395
Populus euphratica, 105121934, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Populus euphratica, 105139258, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105141332, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105141333, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105108550, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105138497, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105138498, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105139571, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105140671, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105141676, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105110008, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105110009, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105110011, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105112168, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105113267, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105115858, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105115162, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105114362, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105128188, peroxidase 46-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105123225, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105123227, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105128552, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105130313, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105136662, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105136017, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105110070, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105110071, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105111155, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105110425, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105121603, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105122601, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105118141, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105121876, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105126138, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105126139, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105126141, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105127171, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105127172, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105122289, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105125472, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105125473, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105127954, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105132129, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105134990, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105134991, peroxidase E5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105134992, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105141501, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105113418, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105114960, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105113073, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105119449, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105120994, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105123077, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105124101, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105124127, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105126278, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105134335, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105134336, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105131526, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105139119, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105139121, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105132924, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105138676, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105116474, peroxidase 6  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105117568, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105117592, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105124486, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105126632, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105130548, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105134799, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105128786, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105135101, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105135113, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105107413, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105107456, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105111817, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105139504, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105113243, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105114266, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105110293, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105110294, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105110295, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105119614, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105113978, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105123204, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus euphratica, 105111926, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Populus euphratica, 105126532, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Populus euphratica, 105126533, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Populus euphratica, 105126534, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Populus euphratica, 105116518, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Populus euphratica, 105118503, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Populus euphratica, 105121389, beta-glucosidase 40-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Populus euphratica, 105131183, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Populus euphratica, 105142360, putative beta-glucosidase 41 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Populus euphratica, 105131075, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Populus euphratica, 105110914, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Populus euphratica, 105131604, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Populus euphratica, 105131605, lysosomal beta glucosidase  [EC], ['EC:3.2.1.21'], KO:K05349
Populus euphratica, 105123529, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Populus euphratica, 105134837, beta-glucosidase 47-like  [EC], ['EC:3.2.1.21'], KO:K05350
Populus euphratica, 105134840, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Populus euphratica, 105134841, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Populus euphratica, 105138172, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Populus euphratica, 105135774, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Populus euphratica, 105108035, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Populus euphratica, 105134834, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Populus euphratica, 105142340, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Populus euphratica, 105142343, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Populus euphratica, 105115498, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Populus euphratica, 105114772, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Populus euphratica, 105108292, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Populus euphratica, 105108300, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Populus euphratica, 105108308, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Populus euphratica, 105117219, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Populus euphratica, 105107789, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Populus euphratica, 105107790, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Populus euphratica, 105107794, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
