Prunus avium, 110748671, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Prunus avium, 110753004, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Prunus avium, 110750320, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Prunus avium, 110755897, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus avium, 110751254, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus avium, 110753734, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus avium, 110755862, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus avium, 110760036, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus avium, 110768227, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus avium, 110768313, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus avium, 110757292, uncharacterized protein LOC110757292  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus avium, 110762623, uncharacterized protein LOC110762623  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus avium, 110754417, uncharacterized protein LOC110754417  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus avium, 110766232, uncharacterized protein LOC110766232  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus avium, 110766234, uncharacterized protein LOC110766234  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus avium, 110763105, beta-glucosidase 45-like  [EC], ['EC:3.2.1.21'], KO:K05350
Prunus avium, 110746917, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Prunus avium, 110752746, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Prunus avium, 110752767, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Prunus avium, 110763062, beta-glucosidase 45-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Prunus avium, 110765143, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus avium, 110765151, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus avium, 110765152, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus avium, 110765154, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus avium, 110765157, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like isoform X1  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus avium, 110765162, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like isoform X1  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus avium, 110765163, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus avium, 110765167, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus avium, 110765170, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
