Brachypodium distachyon, 100845653, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Brachypodium distachyon, 100831132, cinnamoyl-CoA reductase 1 isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Brachypodium distachyon, 100822750, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Brachypodium distachyon, 100824969, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Brachypodium distachyon, 100832456, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Brachypodium distachyon, 100832146, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Brachypodium distachyon, 100833404, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Brachypodium distachyon, 100821726, probable cinnamyl alcohol dehydrogenase 1 isoform X9  [EC], ['EC:1.1.1.195'], KO:K00083
Brachypodium distachyon, 100843666, CAD5; probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Brachypodium distachyon, 100839979, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Brachypodium distachyon, 100835744, probable cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Brachypodium distachyon, 100821892, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Brachypodium distachyon, 100825275, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100842639, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100822216, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100822526, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100842750, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100843658, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100829502, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100826524, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100844881, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100825958, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100834474, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100834256, peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100844727, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100845034, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100834460, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100835072, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100828172, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100830887, peroxidase P7 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100822018, peroxidase 24 isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100824183, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100844460, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100846093, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100846602, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100846912, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100821101, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100846185, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100821278, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100821577, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100846387, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100826540, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100826852, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100840634, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100842764, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100840934, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100829768, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100846597, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100826294, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100840057, cationic peroxidase SPC4  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100828076, cationic peroxidase SPC4  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100842458, cationic peroxidase SPC4  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100841879, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100826442, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100824202, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100825628, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100830602, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100826228, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100833529, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100834856, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100846556, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100831698, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100834997, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100835377, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100841484, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100823251, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100827751, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100831610, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100836578, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100834380, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100843601, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100830524, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100843299, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100842076, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100834240, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100841046, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100830182, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100841701, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100830627, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100841122, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100829459, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100822183, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100828063, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100823836, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100843553, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100846019, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100839855, peroxidase 50  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100824844, peroxidase 35  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100826671, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100844655, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100844871, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100845195, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100843651, peroxidase 56  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100842678, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100842998, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100840410, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100822159, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100840013, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100837536, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100837141, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100834556, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100843065, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100837468, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100842443, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100843052, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100839477, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100837890, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100844420, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100832395, cationic peroxidase SPC4  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100833351, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100821741, uncharacterized protein LOC100821741  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 104581280, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100838604, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100828921, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100829519, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100829135, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100840766, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100830371, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100834258, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100831194, cationic peroxidase SPC4  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100829449, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100840082, cationic peroxidase SPC4  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100840693, cationic peroxidase SPC4  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100829915, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 104581600, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 104581289, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100824158, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 104583449, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100833944, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 104583322, peroxidase 57 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100841946, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100844127, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100839781, cationic peroxidase SPC4  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 106865437, uncharacterized protein LOC106865437 isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 106865910, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100822838, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100840461, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100825914, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 112270627, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100831494, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brachypodium distachyon, 100832770, serine carboxypeptidase-like 18  [EC], ['EC:3.4.16.-', 'EC:2.3.1.91'], KO:K09756
Brachypodium distachyon, 100846247, uncharacterized protein LOC100846247 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brachypodium distachyon, 100838973, beta-glucosidase 24  [EC], ['EC:3.2.1.21'], KO:K01188
Brachypodium distachyon, 100840604, beta-glucosidase 4  [EC], ['EC:3.2.1.21'], KO:K01188
Brachypodium distachyon, 100839571, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brachypodium distachyon, 100822045, beta-glucosidase 28  [EC], ['EC:3.2.1.21'], KO:K01188
Brachypodium distachyon, 100821583, beta-glucosidase 25 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brachypodium distachyon, 100830130, beta-glucosidase 34  [EC], ['EC:3.2.1.21'], KO:K01188
Brachypodium distachyon, 100822927, beta-glucosidase 6  [EC], ['EC:3.2.1.21'], KO:K01188
Brachypodium distachyon, 100839264, LOW QUALITY PROTEIN: beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brachypodium distachyon, 100838459, uncharacterized protein LOC100838459  [EC], ['EC:3.2.1.21'], KO:K01188
Brachypodium distachyon, 100835654, beta-glucosidase 5-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brachypodium distachyon, 100827055, beta-glucosidase 22  [EC], ['EC:3.2.1.21'], KO:K01188
Brachypodium distachyon, 100824027, beta-glucosidase 31  [EC], ['EC:3.2.1.21'], KO:K01188
Brachypodium distachyon, 100824742, beta-glucosidase 32 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brachypodium distachyon, 100836659, beta-glucosidase 28  [EC], ['EC:3.2.1.21'], KO:K01188
Brachypodium distachyon, 100845030, uncharacterized protein LOC100845030  [EC], ['EC:3.2.1.21'], KO:K01188
Brachypodium distachyon, 100822990, beta-glucosidase 32 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brachypodium distachyon, 100822901, uncharacterized protein LOC100822901  [EC], ['EC:3.2.1.21'], KO:K05349
Brachypodium distachyon, 100825601, uncharacterized protein LOC100825601 isoform X2  [EC], ['EC:3.2.1.21'], KO:K05349
Brachypodium distachyon, 100824235, uncharacterized protein LOC100824235  [EC], ['EC:3.2.1.21'], KO:K05349
Brachypodium distachyon, 100844073, uncharacterized protein LOC100844073 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Brachypodium distachyon, 100838545, beta-glucosidase 16  [EC], ['EC:3.2.1.21'], KO:K05350
Brachypodium distachyon, 100829851, beta-glucosidase 7  [EC], ['EC:3.2.1.21'], KO:K05350
Brachypodium distachyon, 100830157, beta-glucosidase 7  [EC], ['EC:3.2.1.21'], KO:K05350
Brachypodium distachyon, 100830468, beta-glucosidase 8  [EC], ['EC:3.2.1.21'], KO:K05350
Brachypodium distachyon, 100843130, probable inactive beta-glucosidase 14 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Brachypodium distachyon, 100833042, beta-glucosidase 26  [EC], ['EC:3.2.1.21'], KO:K05350
Brachypodium distachyon, 100822049, beta-glucosidase 38  [EC], ['EC:3.2.1.21'], KO:K05350
Brachypodium distachyon, 100826246, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
