Malus domestica, 103430265, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Malus domestica, 103402429, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Malus domestica, 103428961, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Malus domestica, 103441965, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Malus domestica, 103425389, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Malus domestica, 103449182, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Malus domestica, 103426378, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Malus domestica, 103432257, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Malus domestica, 103432595, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Malus domestica, 103444132, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Malus domestica, 114822465, LOW QUALITY PROTEIN: caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Malus domestica, 103402694, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Malus domestica, 103400753, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Malus domestica, 103426660, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Malus domestica, 103430041, caffeoyl-CoA O-methyltransferase isoform X3  [EC], ['EC:2.1.1.104'], KO:K00588
Malus domestica, 103448267, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Malus domestica, 103452136, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Malus domestica, 103403364, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Malus domestica, 103407334, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Malus domestica, 103425533, flavonoid 3',5'-methyltransferase-like isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Malus domestica, 103424888, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Malus domestica, 103438772, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Malus domestica, 103400588, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Malus domestica, 103449117, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Malus domestica, 103449128, aldehyde dehydrogenase family 2 member C4-like isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Malus domestica, 103418162, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Malus domestica, 103453787, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Malus domestica, 103400991, LOW QUALITY PROTEIN: cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Malus domestica, 103436113, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Malus domestica, 103439955, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Malus domestica, 103433538, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Malus domestica, 103421923, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Malus domestica, 103406240, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Malus domestica, 103406241, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Malus domestica, 103410332, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Malus domestica, 103416926, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Malus domestica, 103428516, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Malus domestica, 103420798, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Malus domestica, 103444340, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Malus domestica, 103439956, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Malus domestica, 103439958, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Malus domestica, 103439452, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Malus domestica, 114821537, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Malus domestica, 103405809, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Malus domestica, 103431087, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Malus domestica, 103426499, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Malus domestica, 103426529, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Malus domestica, 103422036, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Malus domestica, 103431078, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Malus domestica, 103420099, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Malus domestica, 108169858, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Malus domestica, 103401820, probable mannitol dehydrogenase isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Malus domestica, 103420889, probable cinnamyl alcohol dehydrogenase 6 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Malus domestica, 103423450, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Malus domestica, 103425085, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Malus domestica, 103446957, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Malus domestica, 103429637, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Malus domestica, 103422318, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Malus domestica, 103455003, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Malus domestica, 114824991, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Malus domestica, 103452766, LOW QUALITY PROTEIN: 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Malus domestica, 114820616, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Malus domestica, 103440034, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103437812, peroxidase P7-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103444817, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103445938, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103444775, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103448533, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103447311, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103447600, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103447309, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103451277, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103453173, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103451708, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103450728, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103452373, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103450448, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 114827421, peroxidase 30-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103452368, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103453913, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103401051, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103452772, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103451919, peroxidase 6-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103452667, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103401110, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103401586, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103437624, uncharacterized protein LOC103437624  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103418383, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103440160, LOW QUALITY PROTEIN: peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103436929, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103433738, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103403534, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103432891, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103415591, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103404368, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103453748, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103455972, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103403867, peroxidase 51-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103418409, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103435556, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103432967, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103434109, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103403799, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103403051, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103403052, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103434853, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103419828, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103432889, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103405860, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103433277, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103435324, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103438146, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103430340, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103431339, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103432159, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103431181, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103431617, LOW QUALITY PROTEIN: peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103440557, peroxidase 18  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103443823, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103407572, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103407551, peroxidase A2-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103442292, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103407031, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103407066, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103407082, peroxidase 72 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103442590, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103442591, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103444067, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103442129, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103408778, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103411973, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103414362, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103422468, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103416537, peroxidase 6-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103417791, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103422288, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103411699, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103411722, peroxidase 17-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103422656, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103418907, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103422058, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103416003, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103414363, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103415136, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103425937, LOW QUALITY PROTEIN: peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103428664, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103427044, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103425169, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103425449, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103424919, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103426053, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103429651, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103426054, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 114823840, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 114825403, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 114825404, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 114825215, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103411701, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 114826640, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 114827315, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 114826994, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 114827018, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 114822766, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103434025, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103445851, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Malus domestica, 103455522, anthocyanidin 3-O-glucosyltransferase 5-like isoform X1  [EC], ['EC:2.4.1.111'], KO:K12356
Malus domestica, 103401840, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Malus domestica, 103401822, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Malus domestica, 103448033, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Malus domestica, 103402833, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Malus domestica, 103410606, cyanogenic beta-glucosidase-like isoform X2  [EC], ['EC:3.2.1.21'], KO:K01188
Malus domestica, 103419586, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Malus domestica, 103429506, putative beta-glucosidase 41 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Malus domestica, 103451774, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Malus domestica, 103448135, uncharacterized protein LOC103448135  [EC], ['EC:3.2.1.21'], KO:K05349
Malus domestica, 103453963, uncharacterized protein LOC103453963 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Malus domestica, 103408273, uncharacterized protein LOC103408273  [EC], ['EC:3.2.1.21'], KO:K05349
Malus domestica, 103438774, uncharacterized protein LOC103438774  [EC], ['EC:3.2.1.21'], KO:K05349
Malus domestica, 103407347, LOW QUALITY PROTEIN: uncharacterized protein LOC103407347  [EC], ['EC:3.2.1.21'], KO:K05349
Malus domestica, 103418926, uncharacterized protein LOC103418926  [EC], ['EC:3.2.1.21'], KO:K05349
Malus domestica, 103426916, uncharacterized protein LOC103426916 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Malus domestica, 103426942, LOW QUALITY PROTEIN: uncharacterized protein LOC103426942  [EC], ['EC:3.2.1.21'], KO:K05349
Malus domestica, 103429892, uncharacterized protein LOC103429892  [EC], ['EC:3.2.1.21'], KO:K05349
Malus domestica, 103448147, uncharacterized protein LOC103448147  [EC], ['EC:3.2.1.21'], KO:K05349
Malus domestica, 103407374, probable beta-glucosidase H  [EC], ['EC:3.2.1.21'], KO:K05349
Malus domestica, 103446691, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Malus domestica, 103446690, beta-glucosidase 47-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Malus domestica, 103448646, beta-glucosidase 18-like isoform X2  [EC], ['EC:3.2.1.21'], KO:K05350
Malus domestica, 103438060, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Malus domestica, 103427795, LOW QUALITY PROTEIN: beta-glucosidase 47-like  [EC], ['EC:3.2.1.21'], KO:K05350
Malus domestica, 103423180, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Malus domestica, 103418352, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Malus domestica, 103403124, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Malus domestica, 103422342, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Malus domestica, 103428209, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Malus domestica, 103438383, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Malus domestica, 103438384, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Malus domestica, 103438385, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Malus domestica, 103414751, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Malus domestica, 114825089, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
