Nicotiana sylvestris, 104218178, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Nicotiana sylvestris, 104246348, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104244702, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104249172, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104223656, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104219525, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104220736, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104235834, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104236914, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104229274, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104234924, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104234965, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104230883, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104247510, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104247511, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104236367, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104244762, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104248083, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104225951, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104211702, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104223055, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104243097, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104243142, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104227483, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104237540, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104240323, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104230149, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104230150, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104213226, LOW QUALITY PROTEIN: peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104229071, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104229275, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104229537, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104232975, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104233071, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104213604, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104231618, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104231620, peroxidase N1 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104232321, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104243230, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104243231, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104247632, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104248753, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104247057, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104237276, peroxidase 6  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104222295, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104219289, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104220470, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104220497, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104221637, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104218566, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104218571, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104218572, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104225331, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104245145, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104240419, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104241575, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104241581, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104247176, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104214408, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104220118, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104214848, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104232775, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104233320, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104236558, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104241046, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104225696, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104225697, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104225698, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104225701, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104223917, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104219770, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104235562, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104240517, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104246123, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104248299, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104229935, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104233469, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104233530, suberization-associated anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104230367, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104239983, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104242283, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104248986, peroxidase 43-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104233680, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104233889, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104238339, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104239398, suberization-associated anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104240536, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104233532, suberization-associated anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104211810, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nicotiana sylvestris, 104211162, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Nicotiana sylvestris, 104219089, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Nicotiana sylvestris, 104217645, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Nicotiana sylvestris, 104212423, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Nicotiana sylvestris, 104214274, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Nicotiana sylvestris, 104218293, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Nicotiana sylvestris, 104220735, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Nicotiana sylvestris, 104248378, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Nicotiana sylvestris, 104210048, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Nicotiana sylvestris, 104245763, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Nicotiana sylvestris, 104234444, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Nicotiana sylvestris, 104247502, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Nicotiana sylvestris, 104247519, lysosomal beta glucosidase-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Nicotiana sylvestris, 104220368, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Nicotiana sylvestris, 104213198, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Nicotiana sylvestris, 104249975, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Nicotiana sylvestris, 104241098, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Nicotiana sylvestris, 104215710, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Nicotiana sylvestris, 104219493, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Nicotiana sylvestris, 104249253, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Nicotiana sylvestris, 104240858, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Nicotiana sylvestris, 104224179, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Nicotiana sylvestris, 104214365, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Nicotiana sylvestris, 104210683, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Nicotiana sylvestris, 104241549, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Nicotiana sylvestris, 104221258, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Nicotiana sylvestris, 104222788, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Nicotiana sylvestris, 104245725, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Nicotiana sylvestris, 104245046, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Nicotiana sylvestris, 104215878, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Nicotiana sylvestris, 104215879, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Nicotiana sylvestris, 104211447, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Nicotiana sylvestris, 104215338, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Nicotiana sylvestris, 104222156, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Nicotiana sylvestris, 104223101, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Nicotiana sylvestris, 104213934, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Nicotiana sylvestris, 104235615, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Nicotiana sylvestris, 104214344, LOW QUALITY PROTEIN: scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
