Gossypium hirsutum, 107944640, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium hirsutum, 107950562, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium hirsutum, 107936009, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium hirsutum, 107913823, 4-coumarate:CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium hirsutum, 107924716, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium hirsutum, 107963914, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium hirsutum, 107908281, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium hirsutum, 107906026, 4-coumarate:CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium hirsutum, 107891158, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium hirsutum, 107907481, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium hirsutum, 107958337, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium hirsutum, 107924212, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium hirsutum, 121219323, 4-coumarate--CoA ligase-like 9 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium hirsutum, 121229197, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium hirsutum, 107897473, 4-coumarate:CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium hirsutum, 107941372, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium hirsutum, 107886502, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107887676, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107903267, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107898027, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107906898, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107896899, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107898160, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107902811, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107906402, shikimate O-hydroxycinnamoyltransferase precursor  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107909754, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107907890, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107946259, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107928671, stemmadenine O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107947870, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107915629, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107914559, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107933348, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107943497, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107949300, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107914646, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107956839, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107941677, stemmadenine O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107938263, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107961082, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107961085, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107961088, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107960291, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107960292, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107960294, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107960305, shikimate O-hydroxycinnamoyltransferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 121217577, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 121229330, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 121230833, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 121230841, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 121202882, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107935532, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Gossypium hirsutum, 107950342, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Gossypium hirsutum, 107920919, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Gossypium hirsutum, 121229624, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Gossypium hirsutum, 107927278, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Gossypium hirsutum, 107930665, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Gossypium hirsutum, 107951875, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Gossypium hirsutum, 107949563, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Gossypium hirsutum, 107897770, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Gossypium hirsutum, 107913659, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Gossypium hirsutum, 107942924, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Gossypium hirsutum, 107909565, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Gossypium hirsutum, 107927194, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Gossypium hirsutum, 107886647, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Gossypium hirsutum, 107894281, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107894282, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107901135, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107932849, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X4  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107938099, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107940192, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107943854, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107945134, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107953385, caffeoyl-CoA O-methyltransferase-like isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107962681, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107898325, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107898327, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107933317, flavonoid 3',5'-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107933364, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107958455, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Gossypium hirsutum, 107906426, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Gossypium hirsutum, 107930845, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Gossypium hirsutum, 107901219, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Gossypium hirsutum, 107916427, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Gossypium hirsutum, 107932952, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Gossypium hirsutum, 107933001, aldehyde dehydrogenase family 2 member C4-like isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Gossypium hirsutum, 107962664, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Gossypium hirsutum, 107918995, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Gossypium hirsutum, 107913025, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Gossypium hirsutum, 107913532, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Gossypium hirsutum, 107924732, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Gossypium hirsutum, 107910902, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Gossypium hirsutum, 121223820, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Gossypium hirsutum, 107909353, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107936289, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107936296, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107889315, caffeic acid 3-O-methyltransferase 1-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107889317, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107895907, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107891421, caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107895385, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107929578, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107929579, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107929580, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107948794, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107893152, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107937281, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107937285, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107947186, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107915194, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107939017, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107940407, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107940417, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107915880, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107922183, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 121222500, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 121224358, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107929569, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 121203455, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium hirsutum, 107953373, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Gossypium hirsutum, 107929599, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Gossypium hirsutum, 107938254, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Gossypium hirsutum, 107905535, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Gossypium hirsutum, 107925008, probable cinnamyl alcohol dehydrogenase 9 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Gossypium hirsutum, 107935005, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Gossypium hirsutum, 107950586, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Gossypium hirsutum, 107958204, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Gossypium hirsutum, 121202969, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Gossypium hirsutum, 107894114, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Gossypium hirsutum, 107910610, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Gossypium hirsutum, 107951045, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Gossypium hirsutum, 107930381, berberine bridge enzyme-like 26  [EC], ['EC:1.1.1.195'], KO:K22395
Gossypium hirsutum, 107902054, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Gossypium hirsutum, 107916248, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Gossypium hirsutum, 107896588, 1-Cys peroxiredoxin-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Gossypium hirsutum, 107913415, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107922335, peroxidase 43-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107932531, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107915068, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107917026, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107917053, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107918292, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107918293, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107940635, peroxidase 27 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107943865, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107944980, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107958269, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107958290, peroxidase 29-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107898474, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107899656, peroxidase 21 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107936187, peroxidase P7-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107887406, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107909481, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107937645, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107945392, peroxidase 17-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107945414, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107918657, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107927057, peroxidase 4-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107895961, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107895990, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107898559, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107916305, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107916306, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107947594, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107956184, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107912016, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107936875, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107940358, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107948094, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107949272, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107933768, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107887476, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107890006, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107907337, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107896146, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107924885, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107927161, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107928271, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107914313, peroxidase 15-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107914322, peroxidase 59-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107914341, peroxidase 50-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107928598, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107917138, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107891116, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107893564, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107893565, LOW QUALITY PROTEIN: peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107893566, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107896147, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107935061, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107935094, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107945128, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107930837, peroxidase 16-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107936581, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107889497, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107904021, peroxidase P7-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107947286, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107948610, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107939266, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107941539, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107893698, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107918973, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107912053, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107949398, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107949407, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107949447, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107951876, peroxidase 13-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107955572, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107911223, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107903254, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107891250, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107892429, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107929494, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107936315, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107915918, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
