Papaver somniferum, 113328160, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Papaver somniferum, 113278289, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280708, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113299341, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113326615, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280790, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280793, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280794, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280796, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280797, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113280799, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113305142, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113305154, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113335146, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113339653, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113341730, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113342669, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113282011, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113339698, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113339708, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113287953, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113287955, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113353521, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113360182, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113347460, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113352341, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113351314, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113351316, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113360513, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113352615, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113352616, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113362825, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113352701, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113360788, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113358604, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Papaver somniferum, 113298939, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Papaver somniferum, 113358675, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Papaver somniferum, 113345418, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Papaver somniferum, 113304020, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Papaver somniferum, 113271403, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Papaver somniferum, 113281328, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Papaver somniferum, 113355157, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Papaver somniferum, 113282032, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Papaver somniferum, 113275588, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Papaver somniferum, 113335817, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113277235, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113289540, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113335757, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113298021, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113352189, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113349410, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113349416, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113349417, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113349418, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113347633, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113347951, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113347957, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113347958, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113347959, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113354106, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Papaver somniferum, 113315025, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Papaver somniferum, 113330151, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Papaver somniferum, 113321830, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Papaver somniferum, 113310297, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Papaver somniferum, 113329997, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Papaver somniferum, 113348310, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Papaver somniferum, 113349051, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Papaver somniferum, 113349052, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Papaver somniferum, 113348311, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Papaver somniferum, 113288769, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Papaver somniferum, 113355933, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Papaver somniferum, 113289461, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Papaver somniferum, 113346262, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Papaver somniferum, 113326813, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Papaver somniferum, 113288498, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Papaver somniferum, 113346520, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Papaver somniferum, 113332502, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Papaver somniferum, 113286544, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Papaver somniferum, 113341805, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Papaver somniferum, 113301638, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Papaver somniferum, 113297514, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Papaver somniferum, 113293066, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Papaver somniferum, 113288982, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Papaver somniferum, 113291213, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Papaver somniferum, 113288983, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Papaver somniferum, 113332656, 1-Cys peroxiredoxin-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Papaver somniferum, 113335174, 1-Cys peroxiredoxin-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Papaver somniferum, 113352994, 1-Cys peroxiredoxin-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Papaver somniferum, 113317592, peroxidase 55-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113317634, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113304738, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113332124, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113332801, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113293411, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113293417, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113320663, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113322358, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113322360, cationic peroxidase 1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113322361, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113330539, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113306874, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113321022, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113321023, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113313912, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113273402, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113278210, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113272639, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113330699, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113279576, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113284327, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113286420, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113286444, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113283461, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113283462, peroxidase 35-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113283463, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113277505, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113283758, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113285741, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113302497, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113309947, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113310758, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113310759, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113310769, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113314258, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113317226, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113317255, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113326561, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113319624, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113319645, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113321219, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113322362, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113322363, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113322421, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113322422, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113322424, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113322425, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113318116, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113343623, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113332567, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113274740, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113333958, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113334017, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113334123, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113334365, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113331183, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113331195, peroxidase 55-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113271527, peroxidase 43-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113339968, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113340251, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113277888, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113277889, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113272373, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113281463, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113282663, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113292749, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113295524, peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113291226, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113293099, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113293128, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113293130, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113299807, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113304295, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113300138, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113324162, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113302568, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113306718, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113315211, peroxidase 55-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113320406, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113311450, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113313764, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113315515, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113325075, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113333466, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113334042, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113334209, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113277997, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113317320, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113334452, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113288702, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
