Ziziphus jujuba, 107428003, LOW QUALITY PROTEIN: chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Ziziphus jujuba, 107429144, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107406305, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107428425, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107423534, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107420004, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107428424, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107428426, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107428484, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107421389, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107431535, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Ziziphus jujuba, 107433980, flavonoid 3',5'-methyltransferase-like isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Ziziphus jujuba, 107428326, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Ziziphus jujuba, 107406079, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Ziziphus jujuba, 107406993, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Ziziphus jujuba, 107409958, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Ziziphus jujuba, 107423938, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Ziziphus jujuba, 107428351, flavonoid 3',5'-methyltransferase-like isoform X4  [EC], ['EC:2.1.1.104'], KO:K00588
Ziziphus jujuba, 107433988, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
