Populus trichocarpa, 7463441, phenylalanine ammonia-lyase G2B  [EC], ['EC:4.3.1.24'], KO:K10775
Populus trichocarpa, 112323328, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 112323330, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 112323320, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 112323321, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 18103481, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 18105648, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 18103479, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 18103480, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 18103482, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 18103487, berberine bridge enzyme-like 13 isoform X1  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 18103492, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 18103495, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 18103496, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 18103497, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 112325984, berberine bridge enzyme-like 25  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 7480408, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 112327885, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 18103478, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 112329148, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 7498229, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Populus trichocarpa, 7458526, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7479718, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7456237, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7483269, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7483270, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7455755, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7455766, peroxidase E5  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7455194, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7495509, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7491786, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7491729, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7481610, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7485540, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7461382, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7467801, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7458552, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7479099, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7469241, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7472588, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7461573, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7466794, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7459899, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7476360, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7487356, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7457169, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7494880, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18109651, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7465174, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7465173, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7466302, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18110272, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18100863, peroxidase 56  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18102775, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18102776, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18099238, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18106986, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18106988, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18094201, peroxidase 20 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18101311, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7482222, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7482570, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18100214, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18099141, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7456673, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7459894, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18108361, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18096017, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7496459, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7464478, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7464930, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7470553, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18106167, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18097825, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18109798, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 112325284, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18109421, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 112325754, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18094923, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 112328411, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7456333, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7486040, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7485888, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18109018, lignin-forming anionic peroxidase isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18109653, lignin-forming anionic peroxidase isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18097339, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18108883, peroxidase 56  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18103107, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7485929, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7490007, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7455756, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7474697, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7469240, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7458438, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7485174, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7463603, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7483472, peroxidase 41  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7461384, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18097241, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18107209, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7488716, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7466944, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18102364, peroxidase 6  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7489720, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18104215, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7496907, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7490751, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7464730, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7497549, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7489705, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18105479, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7487842, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 18101129, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Populus trichocarpa, 7473148, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Populus trichocarpa, 7473149, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Populus trichocarpa, 18109550, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Populus trichocarpa, 7478011, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Populus trichocarpa, 18094967, vicianin hydrolase  [EC], ['EC:3.2.1.21'], KO:K01188
Populus trichocarpa, 7474389, beta-glucosidase 42 isoform X2  [EC], ['EC:3.2.1.21'], KO:K01188
Populus trichocarpa, 18099024, beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Populus trichocarpa, 18094969, vicianin hydrolase  [EC], ['EC:3.2.1.21'], KO:K01188
Populus trichocarpa, 7462841, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Populus trichocarpa, 7498208, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Populus trichocarpa, 18095871, putative beta-glucosidase 41 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Populus trichocarpa, 7489657, uncharacterized protein LOC7489657  [EC], ['EC:3.2.1.21'], KO:K05349
Populus trichocarpa, 7478601, uncharacterized protein LOC7478601  [EC], ['EC:3.2.1.21'], KO:K05349
Populus trichocarpa, 7469892, uncharacterized protein LOC7469892  [EC], ['EC:3.2.1.21'], KO:K05349
Populus trichocarpa, 7490874, uncharacterized protein LOC7490874  [EC], ['EC:3.2.1.21'], KO:K05349
Populus trichocarpa, 18101285, uncharacterized protein LOC18101285  [EC], ['EC:3.2.1.21'], KO:K05349
Populus trichocarpa, 7481491, uncharacterized protein LOC7481491  [EC], ['EC:3.2.1.21'], KO:K05349
Populus trichocarpa, 7458572, beta-glucosidase 47 isoform X2  [EC], ['EC:3.2.1.21'], KO:K05350
Populus trichocarpa, 7458571, beta-glucosidase 46  [EC], ['EC:3.2.1.21'], KO:K05350
Populus trichocarpa, 18097400, beta-glucosidase 46 isoform X3  [EC], ['EC:3.2.1.21'], KO:K05350
Populus trichocarpa, 7479076, beta-glucosidase 46 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Populus trichocarpa, 18095620, beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Populus trichocarpa, 7462477, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Populus trichocarpa, 18103692, LOW QUALITY PROTEIN: beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Populus trichocarpa, 7483255, feruloyl CoA ortho-hydroxylase 2  [EC], ['EC:1.14.11.61'], KO:K06892
Populus trichocarpa, 7483254, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Populus trichocarpa, 112326160, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Populus trichocarpa, 7492050, scopoletin glucosyltransferase isoform X1  [EC], ['EC:2.4.1.128'], KO:K23260
Populus trichocarpa, 7492055, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Populus trichocarpa, 7490048, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Populus trichocarpa, 18095197, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Populus trichocarpa, 18102104, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Populus trichocarpa, 18095192, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
