Musa acuminata, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Musa acuminata, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, 
Musa acuminata, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Musa acuminata, phenylalanine ammonia-lyase-like, KO:K10775, 
Musa acuminata, agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Musa acuminata, agmatine coumaroyltransferase-2-like, KO:K13065, 
EC:2.3.1.133, Musa acuminata, agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Musa acuminata, agmatine coumaroyltransferase-2-like, 
KO:K13065, EC:2.3.1.133, Musa acuminata, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Musa acuminata, 
shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Musa acuminata, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, 
Musa acuminata, agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Musa acuminata, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, 
EC:2.3.1.133, Musa acuminata, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Musa acuminata, shikimate O-hydroxycinnamoyltransferase-like, 
KO:K13065, EC:2.3.1.133, Musa acuminata, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Musa acuminata, 
shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Musa acuminata, cytochrome P450 98A2, KO:K09754, EC:1.14.14.96, 
Musa acuminata, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Musa acuminata, caffeoylshikimate esterase-like, KO:K18368, 
EC:3.1.1.-, Musa acuminata, caffeoylshikimate esterase isoform X1, KO:K18368, EC:3.1.1.-, Musa acuminata, caffeoylshikimate esterase, 
KO:K18368, EC:3.1.1.-, Musa acuminata, caffeoylshikimate esterase isoform X1, KO:K18368, EC:3.1.1.-, Musa acuminata, 
caffeoylshikimate esterase isoform X1, KO:K18368, EC:3.1.1.-, Musa acuminata, caffeoyl-CoA O-methyltransferase, KO:K00588, EC:2.1.1.104, 
Musa acuminata, caffeoyl-CoA O-methyltransferase-like, KO:K00588, EC:2.1.1.104, Musa acuminata, caffeoyl-CoA O-methyltransferase, KO:K00588, 
EC:2.1.1.104, Musa acuminata, caffeoyl-CoA O-methyltransferase, KO:K00588, EC:2.1.1.104, Musa acuminata, caffeoyl-CoA O-methyltransferase-like, 
KO:K00588, EC:2.1.1.104, Musa acuminata, caffeoyl-CoA O-methyltransferase, KO:K00588, EC:2.1.1.104, Musa acuminata, 
caffeoyl-CoA O-methyltransferase 5-like, KO:K00588, EC:2.1.1.104, Musa acuminata, cinnamoyl-CoA reductase 1 isoform X1, KO:K09753, EC:1.2.1.44, 
Musa acuminata, cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Musa acuminata, cinnamoyl-CoA reductase 1-like, KO:K09753, 
EC:1.2.1.44, Musa acuminata, aldehyde dehydrogenase family 2 member C4, KO:K12355, EC:1.2.1.68, Musa acuminata, aldehyde dehydrogenase family 2 member C4-like, 
KO:K12355, EC:1.2.1.68, Musa acuminata, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, Musa acuminata, 
inositol 4-methyltransferase-like, KO:K13066, EC:2.1.1.68, Musa acuminata, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, 
Musa acuminata, caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Musa acuminata, caffeic acid 3-O-methyltransferase-like, KO:K13066, 
EC:2.1.1.68, Musa acuminata, caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Musa acuminata, probable cinnamyl alcohol dehydrogenase 1, 
KO:K00083, EC:1.1.1.195, Musa acuminata, cinnamyl alcohol dehydrogenase 2 isoform X1, KO:K00083, EC:1.1.1.195, Musa acuminata, 
cinnamyl alcohol dehydrogenase 2-like, KO:K00083, EC:1.1.1.195, Musa acuminata, 1-Cys peroxiredoxin, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, 
Musa acuminata, 1-Cys peroxiredoxin-like, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Musa acuminata, peroxidase 72-like, KO:K00430, 
EC:1.11.1.7, Musa acuminata, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase P7, 
KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Musa acuminata, 
probable peroxidase 61, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase P7, KO:K00430, EC:1.11.1.7, 
Musa acuminata, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 55-like, KO:K00430, 
EC:1.11.1.7, Musa acuminata, peroxidase P7-like isoform X2, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase P7-like isoform X2, 
KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Musa acuminata, 
peroxidase P7-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase P7-like, KO:K00430, EC:1.11.1.7, 
Musa acuminata, peroxidase 5, KO:K00430, EC:1.11.1.7, Musa acuminata, cationic peroxidase 1-like, KO:K00430, 
EC:1.11.1.7, Musa acuminata, peroxidase 4, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 31, 
KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 59-like, KO:K00430, EC:1.11.1.7, Musa acuminata, 
peroxidase 4, KO:K00430, EC:1.11.1.7, Musa acuminata, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, 
Musa acuminata, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 11-like, KO:K00430, 
EC:1.11.1.7, Musa acuminata, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase A2, 
KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Musa acuminata, 
peroxidase 72, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 18-like, KO:K00430, EC:1.11.1.7, 
Musa acuminata, peroxidase 24, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 12-like, KO:K00430, 
EC:1.11.1.7, Musa acuminata, peroxidase 3, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 3-like, 
KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 1, KO:K00430, EC:1.11.1.7, Musa acuminata, 
peroxidase 5-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 5, KO:K00430, EC:1.11.1.7, 
Musa acuminata, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 31-like, KO:K00430, 
EC:1.11.1.7, Musa acuminata, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 7, 
KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 65, KO:K00430, EC:1.11.1.7, Musa acuminata, 
peroxidase 31-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 24-like, KO:K00430, EC:1.11.1.7, 
Musa acuminata, peroxidase P7-like isoform X2, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase P7, KO:K00430, 
EC:1.11.1.7, Musa acuminata, peroxidase 47, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 47-like, 
KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Musa acuminata, 
peroxidase P7, KO:K00430, EC:1.11.1.7, Musa acuminata, cationic peroxidase SPC4-like, KO:K00430, EC:1.11.1.7, 
Musa acuminata, peroxidase 72-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 40, KO:K00430, 
EC:1.11.1.7, Musa acuminata, peroxidase 60-like isoform X1, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase P7-like, 
KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Musa acuminata, 
peroxidase 21, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 18 isoform X1, KO:K00430, EC:1.11.1.7, 
Musa acuminata, peroxidase 51, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 4, KO:K00430, 
EC:1.11.1.7, Musa acuminata, peroxidase 1, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 27-like, 
KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 24, KO:K00430, EC:1.11.1.7, Musa acuminata, 
peroxidase 39 isoform X1, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 27-like, KO:K00430, EC:1.11.1.7, 
Musa acuminata, peroxidase 59-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 17, KO:K00430, 
EC:1.11.1.7, Musa acuminata, peroxidase 57-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 55-like, 
KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 44-like, KO:K00430, EC:1.11.1.7, Musa acuminata, 
peroxidase 5, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 43 isoform X2, KO:K00430, EC:1.11.1.7, 
Musa acuminata, peroxidase 1, KO:K00430, EC:1.11.1.7, Musa acuminata, lignin-forming anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Musa acuminata, peroxidase 51, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 25, 
KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 4-like, KO:K00430, EC:1.11.1.7, Musa acuminata, 
peroxidase A2-like, KO:K00430, EC:1.11.1.7, Musa acuminata, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, 
Musa acuminata, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase A2-like, KO:K00430, 
EC:1.11.1.7, Musa acuminata, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 31-like, 
KO:K00430, EC:1.11.1.7, Musa acuminata, LOW QUALITY PROTEIN: cationic peroxidase 1, KO:K00430, EC:1.11.1.7, Musa acuminata, 
peroxidase P7-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 57-like, KO:K00430, EC:1.11.1.7, 
Musa acuminata, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Musa acuminata, cationic peroxidase SPC4-like, KO:K00430, 
EC:1.11.1.7, Musa acuminata, cationic peroxidase SPC4-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 12-like, 
KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 1, KO:K00430, EC:1.11.1.7, Musa acuminata, 
cationic peroxidase SPC4-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 47-like, KO:K00430, EC:1.11.1.7, 
Musa acuminata, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase N-like, KO:K00430, 
EC:1.11.1.7, Musa acuminata, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 20, 
KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 64, KO:K00430, EC:1.11.1.7, Musa acuminata, 
peroxidase 51-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 60, KO:K00430, EC:1.11.1.7, 
Musa acuminata, peroxidase 56-like, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 19, KO:K00430, 
EC:1.11.1.7, Musa acuminata, peroxidase 72, KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase 57-like, 
KO:K00430, EC:1.11.1.7, Musa acuminata, peroxidase A2-like, KO:K00430, EC:1.11.1.7, Musa acuminata, 
peroxidase 11-like, KO:K00430, EC:1.11.1.7, Musa acuminata, uncharacterized protein LOC103987864, KO:K05349, EC:3.2.1.21, 
Musa acuminata, uncharacterized protein LOC103997551 isoform X1, KO:K05349, EC:3.2.1.21, Musa acuminata, uncharacterized protein LOC103999048 isoform X1, KO:K05349, 
EC:3.2.1.21, Musa acuminata, uncharacterized protein LOC103980861 isoform X1, KO:K05349, EC:3.2.1.21, Musa acuminata, uncharacterized protein LOC103980862, 
KO:K05349, EC:3.2.1.21, Musa acuminata, uncharacterized protein LOC103981460, KO:K05349, EC:3.2.1.21, Musa acuminata, 
uncharacterized protein LOC103994336, KO:K05349, EC:3.2.1.21, Musa acuminata, uncharacterized protein LOC103994337, KO:K05349, EC:3.2.1.21, 
Musa acuminata, uncharacterized protein LOC103984290, KO:K05349, EC:3.2.1.21, Musa acuminata, uncharacterized protein LOC103979784, KO:K05349, 
EC:3.2.1.21, Musa acuminata, beta-glucosidase 18 isoform X2, KO:K05350, EC:3.2.1.21, Musa acuminata, beta-glucosidase 18-like, 
KO:K05350, EC:3.2.1.21, Musa acuminata, beta-glucosidase 18 isoform X1, KO:K05350, EC:3.2.1.21, Musa acuminata, 
beta-glucosidase 26-like, KO:K05350, EC:3.2.1.21, Musa acuminata, beta-glucosidase 1, KO:K05350, EC:3.2.1.21, 
Musa acuminata, beta-glucosidase 26-like, KO:K05350, EC:3.2.1.21, Musa acuminata, scopoletin glucosyltransferase, KO:K23260, 
EC:2.4.1.128, Musa acuminata, anthocyanin 3'-O-beta-glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Musa acuminata, scopoletin glucosyltransferase-like, 
KO:K23260, EC:2.4.1.128, Musa acuminata, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Musa acuminata, 
scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, 
