Brachypodium distachyon, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Brachypodium distachyon, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, 
Brachypodium distachyon, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Brachypodium distachyon, phenylalanine ammonia-lyase, KO:K10775, 
Brachypodium distachyon, peroxidase P7, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 16, KO:K00430, 
EC:1.11.1.7, Brachypodium distachyon, peroxidase 57, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase A2, 
KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 72, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, 
peroxidase 3, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, cationic peroxidase SPC4, KO:K00430, EC:1.11.1.7, 
Brachypodium distachyon, cationic peroxidase SPC4, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, cationic peroxidase SPC4, KO:K00430, 
EC:1.11.1.7, Brachypodium distachyon, peroxidase 4, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 19, 
KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 64, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, 
peroxidase 40, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 11, KO:K00430, EC:1.11.1.7, 
Brachypodium distachyon, peroxidase 1, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 17, KO:K00430, 
EC:1.11.1.7, Brachypodium distachyon, peroxidase 70, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 7, 
KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 1, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, 
peroxidase 16, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 1, KO:K00430, EC:1.11.1.7, 
Brachypodium distachyon, peroxidase 16, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 72, KO:K00430, 
EC:1.11.1.7, Brachypodium distachyon, peroxidase N, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase A2, 
KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 3, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, 
peroxidase 44, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 5, KO:K00430, EC:1.11.1.7, 
Brachypodium distachyon, peroxidase 5, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 5, KO:K00430, 
EC:1.11.1.7, Brachypodium distachyon, peroxidase 43, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 43, 
KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 57, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, 
peroxidase 2, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 2, KO:K00430, EC:1.11.1.7, 
Brachypodium distachyon, peroxidase 25, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 9, KO:K00430, 
EC:1.11.1.7, Brachypodium distachyon, peroxidase N, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 46, 
KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase A2, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, 
peroxidase 72, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 72, KO:K00430, EC:1.11.1.7, 
Brachypodium distachyon, peroxidase 51, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 50, KO:K00430, 
EC:1.11.1.7, Brachypodium distachyon, peroxidase 35, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 31, 
KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 1, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, 
peroxidase 72, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 47, KO:K00430, EC:1.11.1.7, 
Brachypodium distachyon, peroxidase 56, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 2, KO:K00430, 
EC:1.11.1.7, Brachypodium distachyon, peroxidase 73, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 5, 
KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase P7, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, 
peroxidase 39, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 2, KO:K00430, EC:1.11.1.7, 
Brachypodium distachyon, peroxidase 2, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 2, KO:K00430, 
EC:1.11.1.7, Brachypodium distachyon, peroxidase 70, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 5, 
KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 5, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, 
peroxidase 5, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 12, KO:K00430, EC:1.11.1.7, 
Brachypodium distachyon, peroxidase P7, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 2, KO:K00430, 
EC:1.11.1.7, Brachypodium distachyon, cationic peroxidase SPC4, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 72, 
KO:K00430, EC:1.11.1.7, Brachypodium distachyon, uncharacterized protein LOC100821741, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, 
peroxidase 47, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 57, KO:K00430, EC:1.11.1.7, 
Brachypodium distachyon, peroxidase 2, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 2, KO:K00430, 
EC:1.11.1.7, Brachypodium distachyon, peroxidase 4, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 17, 
KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 4, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, 
peroxidase 2, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, cationic peroxidase SPC4, KO:K00430, EC:1.11.1.7, 
Brachypodium distachyon, peroxidase 31, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, cationic peroxidase SPC4, KO:K00430, 
EC:1.11.1.7, Brachypodium distachyon, cationic peroxidase SPC4, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 5, 
KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 1, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, 
peroxidase 2, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 1, KO:K00430, EC:1.11.1.7, 
Brachypodium distachyon, peroxidase P7, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 1, KO:K00430, 
EC:1.11.1.7, Brachypodium distachyon, peroxidase 57 isoform X1, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 1, 
KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 2, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, 
cationic peroxidase SPC4, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, uncharacterized protein LOC106865437 isoform X2, KO:K00430, EC:1.11.1.7, 
Brachypodium distachyon, peroxidase P7, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 5, KO:K00430, 
EC:1.11.1.7, Brachypodium distachyon, peroxidase 70, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 1, 
KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, 
peroxidase 30-like, KO:K00430, EC:1.11.1.7, Brachypodium distachyon, peroxidase 2, KO:K00430, EC:1.11.1.7, 
Brachypodium distachyon, serine carboxypeptidase-like 18, KO:K09756, EC:3.4.16.- 2.3.1.91, Brachypodium distachyon, uncharacterized protein LOC100846247 isoform X1, KO:K01188, 
EC:3.2.1.21, Brachypodium distachyon, beta-glucosidase 24, KO:K01188, EC:3.2.1.21, Brachypodium distachyon, beta-glucosidase 4, 
KO:K01188, EC:3.2.1.21, Brachypodium distachyon, beta-glucosidase 12-like, KO:K01188, EC:3.2.1.21, Brachypodium distachyon, 
beta-glucosidase 28, KO:K01188, EC:3.2.1.21, Brachypodium distachyon, beta-glucosidase 25 isoform X1, KO:K01188, EC:3.2.1.21, 
Brachypodium distachyon, beta-glucosidase 34, KO:K01188, EC:3.2.1.21, Brachypodium distachyon, beta-glucosidase 6, KO:K01188, 
EC:3.2.1.21, Brachypodium distachyon, LOW QUALITY PROTEIN: beta-glucosidase 12-like, KO:K01188, EC:3.2.1.21, Brachypodium distachyon, uncharacterized protein LOC100838459, 
KO:K01188, EC:3.2.1.21, Brachypodium distachyon, beta-glucosidase 5-like isoform X1, KO:K01188, EC:3.2.1.21, Brachypodium distachyon, 
beta-glucosidase 22, KO:K01188, EC:3.2.1.21, Brachypodium distachyon, beta-glucosidase 31, KO:K01188, EC:3.2.1.21, 
Brachypodium distachyon, beta-glucosidase 32 isoform X1, KO:K01188, EC:3.2.1.21, Brachypodium distachyon, beta-glucosidase 28, KO:K01188, 
EC:3.2.1.21, Brachypodium distachyon, uncharacterized protein LOC100845030, KO:K01188, EC:3.2.1.21, Brachypodium distachyon, uncharacterized protein LOC100822901, 
KO:K05349, EC:3.2.1.21, Brachypodium distachyon, uncharacterized protein LOC100825601 isoform X2, KO:K05349, EC:3.2.1.21, Brachypodium distachyon, 
uncharacterized protein LOC100824235, KO:K05349, EC:3.2.1.21, Brachypodium distachyon, uncharacterized protein LOC100844073 isoform X1, KO:K05349, EC:3.2.1.21, 
Brachypodium distachyon, beta-glucosidase 16, KO:K05350, EC:3.2.1.21, Brachypodium distachyon, beta-glucosidase 7, KO:K05350, 
EC:3.2.1.21, Brachypodium distachyon, beta-glucosidase 7, KO:K05350, EC:3.2.1.21, Brachypodium distachyon, beta-glucosidase 8, 
KO:K05350, EC:3.2.1.21, Brachypodium distachyon, probable inactive beta-glucosidase 14 isoform X1, KO:K05350, EC:3.2.1.21, Brachypodium distachyon, 
beta-glucosidase 26, KO:K05350, EC:3.2.1.21, Brachypodium distachyon, beta-glucosidase 38, KO:K05350, EC:3.2.1.21, 
Brachypodium distachyon, scopoletin glucosyltransferase, KO:K23260, EC:2.4.1.128, 
