C00000956 490-46-0 Epicatechin || (-)-Epicatechin C15H14O6 290.07903818 
C00000956 490-46-0 Epicatechin || (-)-Epicatechin C15H14O6 290.07903818 
C00000956 490-46-0 Epicatechin || (-)-Epicatechin C15H14O6 290.07903818 
C00000956 490-46-0 Epicatechin || (-)-Epicatechin C15H14O6 290.07903818 
C00006047 115712-92-0 Montbretin A C53H64O33 1228.33298458 
C00006047 115712-92-0 Montbretin A C53H64O33 1228.33298458 
C00006047 115712-92-0 Montbretin A C53H64O33 1228.33298458 
C00006047 115712-92-0 Montbretin A C53H64O33 1228.33298458 
C00006047 115712-92-0 Montbretin A C53H64O33 1228.33298458 
C00006047 115712-92-0 Montbretin A C53H64O33 1228.33298458 
C00001022 491-67-8 Baicalein || Noroxylin || 5,6,7-Trihydroxyflavone C15H10O5 270.05282343 
C00001022 491-67-8 Baicalein || Noroxylin || 5,6,7-Trihydroxyflavone C15H10O5 270.05282343 
C00001022 491-67-8 Baicalein || Noroxylin || 5,6,7-Trihydroxyflavone C15H10O5 270.05282343 
C00001022 491-67-8 Baicalein || Noroxylin || 5,6,7-Trihydroxyflavone C15H10O5 270.05282343 
C00001022 491-67-8 Baicalein || Noroxylin || 5,6,7-Trihydroxyflavone C15H10O5 270.05282343 
C00001022 491-67-8 Baicalein || Noroxylin || 5,6,7-Trihydroxyflavone C15H10O5 270.05282343 
C00009384 485-63-2 3'-Hydroxydaidzein || 7,3',4'-Trihydroxyisoflavone C15H10O5 270.05282343 
C00009384 485-63-2 3'-Hydroxydaidzein || 7,3',4'-Trihydroxyisoflavone C15H10O5 270.05282343 
C00009384 485-63-2 3'-Hydroxydaidzein || 7,3',4'-Trihydroxyisoflavone C15H10O5 270.05282343 
C00009384 485-63-2 3'-Hydroxydaidzein || 7,3',4'-Trihydroxyisoflavone C15H10O5 270.05282343 
C00009384 485-63-2 3'-Hydroxydaidzein || 7,3',4'-Trihydroxyisoflavone C15H10O5 270.05282343 
C00009384 485-63-2 3'-Hydroxydaidzein || 7,3',4'-Trihydroxyisoflavone C15H10O5 270.05282343 
C00003794 480-40-0 Chrysin || 5,7-Dihydroxyflavone || 5,7-Dihydroxy-2-phenyl-4H-1-benzopyran-4-one C15H10O4 254.05790881 
C00003984 106009-51-2 5,7-Dihydroxyflavone 7-benzoate C22H14O5 358.08412356 
C00003794 480-40-0 Chrysin || 5,7-Dihydroxyflavone || 5,7-Dihydroxy-2-phenyl-4H-1-benzopyran-4-one C15H10O4 254.05790881 
C00003984 106009-51-2 5,7-Dihydroxyflavone 7-benzoate C22H14O5 358.08412356 
C00003794 480-40-0 Chrysin || 5,7-Dihydroxyflavone || 5,7-Dihydroxy-2-phenyl-4H-1-benzopyran-4-one C15H10O4 254.05790881 
C00003984 106009-51-2 5,7-Dihydroxyflavone 7-benzoate C22H14O5 358.08412356 
C00003794 480-40-0 Chrysin || 5,7-Dihydroxyflavone || 5,7-Dihydroxy-2-phenyl-4H-1-benzopyran-4-one C15H10O4 254.05790881 
C00003984 106009-51-2 5,7-Dihydroxyflavone 7-benzoate C22H14O5 358.08412356 
C00003794 480-40-0 Chrysin || 5,7-Dihydroxyflavone || 5,7-Dihydroxy-2-phenyl-4H-1-benzopyran-4-one C15H10O4 254.05790881 
C00003984 106009-51-2 5,7-Dihydroxyflavone 7-benzoate C22H14O5 358.08412356 
C00003794 480-40-0 Chrysin || 5,7-Dihydroxyflavone || 5,7-Dihydroxy-2-phenyl-4H-1-benzopyran-4-one C15H10O4 254.05790881 
C00003984 106009-51-2 5,7-Dihydroxyflavone 7-benzoate C22H14O5 358.08412356 
C00003865 20243-59-8 Luteolin 7-methyl ether || 5,3',4'-Trihydroxy-7-methoxyflavone || 7-O-Methylluteolin || 2-(3,4-Dihydroxyphenyl)-5-hydroxy-7-methoxy-4H-1-benzopyran-4-one C16H12O6 300.06338812 
C00003865 20243-59-8 Luteolin 7-methyl ether || 5,3',4'-Trihydroxy-7-methoxyflavone || 7-O-Methylluteolin || 2-(3,4-Dihydroxyphenyl)-5-hydroxy-7-methoxy-4H-1-benzopyran-4-one C16H12O6 300.06338812 
C00003865 20243-59-8 Luteolin 7-methyl ether || 5,3',4'-Trihydroxy-7-methoxyflavone || 7-O-Methylluteolin || 2-(3,4-Dihydroxyphenyl)-5-hydroxy-7-methoxy-4H-1-benzopyran-4-one C16H12O6 300.06338812 
C00003865 20243-59-8 Luteolin 7-methyl ether || 5,3',4'-Trihydroxy-7-methoxyflavone || 7-O-Methylluteolin || 2-(3,4-Dihydroxyphenyl)-5-hydroxy-7-methoxy-4H-1-benzopyran-4-one C16H12O6 300.06338812 
C00003865 20243-59-8 Luteolin 7-methyl ether || 5,3',4'-Trihydroxy-7-methoxyflavone || 7-O-Methylluteolin || 2-(3,4-Dihydroxyphenyl)-5-hydroxy-7-methoxy-4H-1-benzopyran-4-one C16H12O6 300.06338812 
C00003865 20243-59-8 Luteolin 7-methyl ether || 5,3',4'-Trihydroxy-7-methoxyflavone || 7-O-Methylluteolin || 2-(3,4-Dihydroxyphenyl)-5-hydroxy-7-methoxy-4H-1-benzopyran-4-one C16H12O6 300.06338812 
C00004504 151750-81-1 Luteolin 7-[6''-(3-hydroxy-3-methylglutaryl)glucoside] || 7-[[6-O-(4-Carboxy-3-hydroxy-3-methyl-1-oxobutyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C27H28O15 592.14282023 
C00005470 161993-01-7 Quercetin 3-neohesperidoside-7-rhamnoside || 3-[[2-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-7-[(6-deoxy-alpha-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C33H40O20 756.21129372 
C00011174 612844-31-2 Luteolin 7-O-(2-apiofuranosyl-4-glucopyranosyl-6-malonyl)glucopyranoside || 7-[[O-D-apio-beta-D-furanosyl-(1->2)-O-[beta-D-glucopyranosyl-(1->4)]-6-O-(carboxyacetyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C35H40O23 828.19603759 
C00013660 211561-67-0 Luteolin 7-apiosyl(1->6)glucoside || 7-[(6-O-D-Apio-beta-D-furanosyl-beta-D-glucopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C26H28O15 580.14282023 
C00013661 160698-21-5 Luteolin 7-rhamnosyl(1->6)galactoside || Luteolin 7-robinobioside || 7-[[6-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-galactopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C27H30O15 594.15847029 
C00013669 173792-54-6 Luteorin 7-(6''''-acetylallosyl-(1->3)-glucosyl-(1->2)-glucoside || Veronicoside A || 7-[(O-6-O-Acetyl-beta-D-allopyranosyl-(1->3)-O-beta-D-glucopyranosyl-(1->2)-beta-D-glucopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C35H42O22 814.21677303 
C00013859 187410-77-1 Quercetin 3-glucosyl-(1->4)-rhamnoside-7-rutinoside || 3-[(6-Deoxy-4-O-beta-D-glucopyranosyl-alpha-L-mannopyranosyl)oxy]-7-[[6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C39H50O25 918.26411715 
C00013860 637774-58-4 Quercetin 3-rhamnosyl-(1->6)-[glucosyl-(1->2)-glucoside]-7-rhamnoside || 3-[[O-6-Deoxy-alpha-L-mannopyranosyl-(1->6)-O-[beta-D-glucopyranosyl-(1->2)]-beta-D-glucopyranosyl]oxy]-7-[(6-deoxy-alpha-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C39H50O25 918.26411715 
C00013885 351217-48-6 Quercetin 3-rutinoside-7-(6''-benzoylglucoside) || 7-[(6-O-Benzoyl-beta-D-glucopyranosyl)oxy]-3-[[6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C40H44O22 876.23242309 
C00013893 412929-24-9 Quercetin 3-rhamnosyl-(1->6)-[rhamnosyl-(1->2)-(3''-(E)-p-coumaroylgalactoside)]-7-rhamnoside || 3-[[O-6-Deoxy-alpha-L-mannopyranosyl-(1->2)-O-[6-deoxy-alpha-L-mannopyranosyl-(1->6)]-3-O-[(2E)-3-(4-hydroxyphenyl)-1-oxo-2-propenyl]-beta-D-galactopyranosyl]oxy]-7-[(6-deoxy-alpha-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C48H56O26 1048.30598197 
C00004504 151750-81-1 Luteolin 7-[6''-(3-hydroxy-3-methylglutaryl)glucoside] || 7-[[6-O-(4-Carboxy-3-hydroxy-3-methyl-1-oxobutyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C27H28O15 592.14282023 
C00005470 161993-01-7 Quercetin 3-neohesperidoside-7-rhamnoside || 3-[[2-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-7-[(6-deoxy-alpha-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C33H40O20 756.21129372 
C00011174 612844-31-2 Luteolin 7-O-(2-apiofuranosyl-4-glucopyranosyl-6-malonyl)glucopyranoside || 7-[[O-D-apio-beta-D-furanosyl-(1->2)-O-[beta-D-glucopyranosyl-(1->4)]-6-O-(carboxyacetyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C35H40O23 828.19603759 
C00013660 211561-67-0 Luteolin 7-apiosyl(1->6)glucoside || 7-[(6-O-D-Apio-beta-D-furanosyl-beta-D-glucopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C26H28O15 580.14282023 
C00013661 160698-21-5 Luteolin 7-rhamnosyl(1->6)galactoside || Luteolin 7-robinobioside || 7-[[6-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-galactopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C27H30O15 594.15847029 
C00013669 173792-54-6 Luteorin 7-(6''''-acetylallosyl-(1->3)-glucosyl-(1->2)-glucoside || Veronicoside A || 7-[(O-6-O-Acetyl-beta-D-allopyranosyl-(1->3)-O-beta-D-glucopyranosyl-(1->2)-beta-D-glucopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C35H42O22 814.21677303 
C00013859 187410-77-1 Quercetin 3-glucosyl-(1->4)-rhamnoside-7-rutinoside || 3-[(6-Deoxy-4-O-beta-D-glucopyranosyl-alpha-L-mannopyranosyl)oxy]-7-[[6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C39H50O25 918.26411715 
C00013860 637774-58-4 Quercetin 3-rhamnosyl-(1->6)-[glucosyl-(1->2)-glucoside]-7-rhamnoside || 3-[[O-6-Deoxy-alpha-L-mannopyranosyl-(1->6)-O-[beta-D-glucopyranosyl-(1->2)]-beta-D-glucopyranosyl]oxy]-7-[(6-deoxy-alpha-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C39H50O25 918.26411715 
C00013885 351217-48-6 Quercetin 3-rutinoside-7-(6''-benzoylglucoside) || 7-[(6-O-Benzoyl-beta-D-glucopyranosyl)oxy]-3-[[6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C40H44O22 876.23242309 
C00013893 412929-24-9 Quercetin 3-rhamnosyl-(1->6)-[rhamnosyl-(1->2)-(3''-(E)-p-coumaroylgalactoside)]-7-rhamnoside || 3-[[O-6-Deoxy-alpha-L-mannopyranosyl-(1->2)-O-[6-deoxy-alpha-L-mannopyranosyl-(1->6)]-3-O-[(2E)-3-(4-hydroxyphenyl)-1-oxo-2-propenyl]-beta-D-galactopyranosyl]oxy]-7-[(6-deoxy-alpha-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C48H56O26 1048.30598197 
C00004504 151750-81-1 Luteolin 7-[6''-(3-hydroxy-3-methylglutaryl)glucoside] || 7-[[6-O-(4-Carboxy-3-hydroxy-3-methyl-1-oxobutyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C27H28O15 592.14282023 
C00005470 161993-01-7 Quercetin 3-neohesperidoside-7-rhamnoside || 3-[[2-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-7-[(6-deoxy-alpha-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C33H40O20 756.21129372 
C00011174 612844-31-2 Luteolin 7-O-(2-apiofuranosyl-4-glucopyranosyl-6-malonyl)glucopyranoside || 7-[[O-D-apio-beta-D-furanosyl-(1->2)-O-[beta-D-glucopyranosyl-(1->4)]-6-O-(carboxyacetyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C35H40O23 828.19603759 
C00013660 211561-67-0 Luteolin 7-apiosyl(1->6)glucoside || 7-[(6-O-D-Apio-beta-D-furanosyl-beta-D-glucopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C26H28O15 580.14282023 
C00013661 160698-21-5 Luteolin 7-rhamnosyl(1->6)galactoside || Luteolin 7-robinobioside || 7-[[6-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-galactopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C27H30O15 594.15847029 
C00013669 173792-54-6 Luteorin 7-(6''''-acetylallosyl-(1->3)-glucosyl-(1->2)-glucoside || Veronicoside A || 7-[(O-6-O-Acetyl-beta-D-allopyranosyl-(1->3)-O-beta-D-glucopyranosyl-(1->2)-beta-D-glucopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C35H42O22 814.21677303 
C00013859 187410-77-1 Quercetin 3-glucosyl-(1->4)-rhamnoside-7-rutinoside || 3-[(6-Deoxy-4-O-beta-D-glucopyranosyl-alpha-L-mannopyranosyl)oxy]-7-[[6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C39H50O25 918.26411715 
C00013860 637774-58-4 Quercetin 3-rhamnosyl-(1->6)-[glucosyl-(1->2)-glucoside]-7-rhamnoside || 3-[[O-6-Deoxy-alpha-L-mannopyranosyl-(1->6)-O-[beta-D-glucopyranosyl-(1->2)]-beta-D-glucopyranosyl]oxy]-7-[(6-deoxy-alpha-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C39H50O25 918.26411715 
C00013885 351217-48-6 Quercetin 3-rutinoside-7-(6''-benzoylglucoside) || 7-[(6-O-Benzoyl-beta-D-glucopyranosyl)oxy]-3-[[6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C40H44O22 876.23242309 
C00013893 412929-24-9 Quercetin 3-rhamnosyl-(1->6)-[rhamnosyl-(1->2)-(3''-(E)-p-coumaroylgalactoside)]-7-rhamnoside || 3-[[O-6-Deoxy-alpha-L-mannopyranosyl-(1->2)-O-[6-deoxy-alpha-L-mannopyranosyl-(1->6)]-3-O-[(2E)-3-(4-hydroxyphenyl)-1-oxo-2-propenyl]-beta-D-galactopyranosyl]oxy]-7-[(6-deoxy-alpha-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C48H56O26 1048.30598197 
C00004504 151750-81-1 Luteolin 7-[6''-(3-hydroxy-3-methylglutaryl)glucoside] || 7-[[6-O-(4-Carboxy-3-hydroxy-3-methyl-1-oxobutyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C27H28O15 592.14282023 
C00005470 161993-01-7 Quercetin 3-neohesperidoside-7-rhamnoside || 3-[[2-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-7-[(6-deoxy-alpha-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C33H40O20 756.21129372 
C00011174 612844-31-2 Luteolin 7-O-(2-apiofuranosyl-4-glucopyranosyl-6-malonyl)glucopyranoside || 7-[[O-D-apio-beta-D-furanosyl-(1->2)-O-[beta-D-glucopyranosyl-(1->4)]-6-O-(carboxyacetyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C35H40O23 828.19603759 
C00013660 211561-67-0 Luteolin 7-apiosyl(1->6)glucoside || 7-[(6-O-D-Apio-beta-D-furanosyl-beta-D-glucopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C26H28O15 580.14282023 
C00013661 160698-21-5 Luteolin 7-rhamnosyl(1->6)galactoside || Luteolin 7-robinobioside || 7-[[6-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-galactopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C27H30O15 594.15847029 
C00013669 173792-54-6 Luteorin 7-(6''''-acetylallosyl-(1->3)-glucosyl-(1->2)-glucoside || Veronicoside A || 7-[(O-6-O-Acetyl-beta-D-allopyranosyl-(1->3)-O-beta-D-glucopyranosyl-(1->2)-beta-D-glucopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C35H42O22 814.21677303 
C00013859 187410-77-1 Quercetin 3-glucosyl-(1->4)-rhamnoside-7-rutinoside || 3-[(6-Deoxy-4-O-beta-D-glucopyranosyl-alpha-L-mannopyranosyl)oxy]-7-[[6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C39H50O25 918.26411715 
C00013860 637774-58-4 Quercetin 3-rhamnosyl-(1->6)-[glucosyl-(1->2)-glucoside]-7-rhamnoside || 3-[[O-6-Deoxy-alpha-L-mannopyranosyl-(1->6)-O-[beta-D-glucopyranosyl-(1->2)]-beta-D-glucopyranosyl]oxy]-7-[(6-deoxy-alpha-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C39H50O25 918.26411715 
C00013885 351217-48-6 Quercetin 3-rutinoside-7-(6''-benzoylglucoside) || 7-[(6-O-Benzoyl-beta-D-glucopyranosyl)oxy]-3-[[6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C40H44O22 876.23242309 
C00013893 412929-24-9 Quercetin 3-rhamnosyl-(1->6)-[rhamnosyl-(1->2)-(3''-(E)-p-coumaroylgalactoside)]-7-rhamnoside || 3-[[O-6-Deoxy-alpha-L-mannopyranosyl-(1->2)-O-[6-deoxy-alpha-L-mannopyranosyl-(1->6)]-3-O-[(2E)-3-(4-hydroxyphenyl)-1-oxo-2-propenyl]-beta-D-galactopyranosyl]oxy]-7-[(6-deoxy-alpha-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C48H56O26 1048.30598197 
C00004504 151750-81-1 Luteolin 7-[6''-(3-hydroxy-3-methylglutaryl)glucoside] || 7-[[6-O-(4-Carboxy-3-hydroxy-3-methyl-1-oxobutyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C27H28O15 592.14282023 
C00005470 161993-01-7 Quercetin 3-neohesperidoside-7-rhamnoside || 3-[[2-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-7-[(6-deoxy-alpha-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C33H40O20 756.21129372 
C00011174 612844-31-2 Luteolin 7-O-(2-apiofuranosyl-4-glucopyranosyl-6-malonyl)glucopyranoside || 7-[[O-D-apio-beta-D-furanosyl-(1->2)-O-[beta-D-glucopyranosyl-(1->4)]-6-O-(carboxyacetyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C35H40O23 828.19603759 
C00013660 211561-67-0 Luteolin 7-apiosyl(1->6)glucoside || 7-[(6-O-D-Apio-beta-D-furanosyl-beta-D-glucopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C26H28O15 580.14282023 
C00013661 160698-21-5 Luteolin 7-rhamnosyl(1->6)galactoside || Luteolin 7-robinobioside || 7-[[6-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-galactopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C27H30O15 594.15847029 
C00013669 173792-54-6 Luteorin 7-(6''''-acetylallosyl-(1->3)-glucosyl-(1->2)-glucoside || Veronicoside A || 7-[(O-6-O-Acetyl-beta-D-allopyranosyl-(1->3)-O-beta-D-glucopyranosyl-(1->2)-beta-D-glucopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C35H42O22 814.21677303 
C00013859 187410-77-1 Quercetin 3-glucosyl-(1->4)-rhamnoside-7-rutinoside || 3-[(6-Deoxy-4-O-beta-D-glucopyranosyl-alpha-L-mannopyranosyl)oxy]-7-[[6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C39H50O25 918.26411715 
C00013860 637774-58-4 Quercetin 3-rhamnosyl-(1->6)-[glucosyl-(1->2)-glucoside]-7-rhamnoside || 3-[[O-6-Deoxy-alpha-L-mannopyranosyl-(1->6)-O-[beta-D-glucopyranosyl-(1->2)]-beta-D-glucopyranosyl]oxy]-7-[(6-deoxy-alpha-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C39H50O25 918.26411715 
C00013885 351217-48-6 Quercetin 3-rutinoside-7-(6''-benzoylglucoside) || 7-[(6-O-Benzoyl-beta-D-glucopyranosyl)oxy]-3-[[6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C40H44O22 876.23242309 
C00013893 412929-24-9 Quercetin 3-rhamnosyl-(1->6)-[rhamnosyl-(1->2)-(3''-(E)-p-coumaroylgalactoside)]-7-rhamnoside || 3-[[O-6-Deoxy-alpha-L-mannopyranosyl-(1->2)-O-[6-deoxy-alpha-L-mannopyranosyl-(1->6)]-3-O-[(2E)-3-(4-hydroxyphenyl)-1-oxo-2-propenyl]-beta-D-galactopyranosyl]oxy]-7-[(6-deoxy-alpha-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C48H56O26 1048.30598197 
C00004504 151750-81-1 Luteolin 7-[6''-(3-hydroxy-3-methylglutaryl)glucoside] || 7-[[6-O-(4-Carboxy-3-hydroxy-3-methyl-1-oxobutyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-4H-1-benzopyran-4-one C27H28O15 592.14282023 
