Ziziphus jujuba, 107404213, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Ziziphus jujuba, 107431863, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Ziziphus jujuba, 107426594, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Ziziphus jujuba, 107424406, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Ziziphus jujuba, 107418657, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ziziphus jujuba, 107418658, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ziziphus jujuba, 107418659, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ziziphus jujuba, 107414981, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ziziphus jujuba, 107423771, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ziziphus jujuba, 107434023, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ziziphus jujuba, 107414982, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ziziphus jujuba, 107423795, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ziziphus jujuba, 107429761, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ziziphus jujuba, 107418646, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ziziphus jujuba, 107418647, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ziziphus jujuba, 107429106, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ziziphus jujuba, 107423770, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ziziphus jujuba, 107423786, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ziziphus jujuba, 107426959, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Ziziphus jujuba, 107428178, probable cinnamyl alcohol dehydrogenase 1 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Ziziphus jujuba, 107424883, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Ziziphus jujuba, 107425502, probable cinnamyl alcohol dehydrogenase 9 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Ziziphus jujuba, 107428187, probable cinnamyl alcohol dehydrogenase 1 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Ziziphus jujuba, 107409200, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Ziziphus jujuba, 107414696, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Ziziphus jujuba, 107405222, berberine bridge enzyme-like 13 isoform X1  [EC], ['EC:1.1.1.195'], KO:K22395
Ziziphus jujuba, 107414687, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Ziziphus jujuba, 107414697, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Ziziphus jujuba, 107433375, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Ziziphus jujuba, 107410248, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107410255, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107403660, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107403385, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107404031, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107404033, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107404034, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107404035, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107404629, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107404696, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107405100, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107405827, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107405830, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107405831, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107405832, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107407027, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107407047, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107407237, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107407383, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107407399, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107407406, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107407408, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107407410, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107407415, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107406150, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107406916, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107406926, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107407421, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107410668, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107411241, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107411439, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107411406, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107411709, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107411660, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107412539, peroxidase 59  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107420792, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107421837, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107405828, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107411518, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107419186, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107419200, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107425304, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107424697, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107431264, cationic peroxidase 1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107431265, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107431273, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107431275, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107432314, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107415092, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107415104, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107428601, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107429673, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107421730, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107426124, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107424115, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107424578, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107434835, peroxidase 25 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107414954, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107424439, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107424909, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107431496, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107431505, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107435790, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107435792, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107435794, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107435795, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107415435, peroxidase 31-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107417029, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107417043, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107422560, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107419921, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107419925, peroxidase 18  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107429740, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107429741, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107428052, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107433007, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107404036, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107405097, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107426188, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107420806, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107423571, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107427935, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107435998, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107434397, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107435485, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107413963, peroxidase 4-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107413966, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107419007, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107427162, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107430451, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107411607, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107417060, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107414445, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107417746, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107403634, LOW QUALITY PROTEIN: peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107433047, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107434142, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107420772, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107431499, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 112491271, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107411392, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ziziphus jujuba, 107424817, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Ziziphus jujuba, 107426268, beta-glucosidase 11-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Ziziphus jujuba, 107410669, beta-glucosidase 42-like  [EC], ['EC:3.2.1.21'], KO:K01188
Ziziphus jujuba, 107410671, beta-glucosidase 42-like  [EC], ['EC:3.2.1.21'], KO:K01188
Ziziphus jujuba, 107431334, putative beta-glucosidase 41 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Ziziphus jujuba, 107410667, beta-glucosidase 42-like isoform X2  [EC], ['EC:3.2.1.21'], KO:K01188
Ziziphus jujuba, 107428870, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Ziziphus jujuba, 107410347, uncharacterized protein LOC107410347  [EC], ['EC:3.2.1.21'], KO:K05349
Ziziphus jujuba, 107410352, uncharacterized protein LOC107410352  [EC], ['EC:3.2.1.21'], KO:K05349
Ziziphus jujuba, 107410359, uncharacterized protein LOC107410359  [EC], ['EC:3.2.1.21'], KO:K05349
Ziziphus jujuba, 107410380, uncharacterized protein LOC107410380  [EC], ['EC:3.2.1.21'], KO:K05349
Ziziphus jujuba, 107410850, uncharacterized protein LOC107410850  [EC], ['EC:3.2.1.21'], KO:K05349
Ziziphus jujuba, 107433431, uncharacterized protein LOC107433431  [EC], ['EC:3.2.1.21'], KO:K05349
Ziziphus jujuba, 107430563, uncharacterized protein LOC107430563  [EC], ['EC:3.2.1.21'], KO:K05349
Ziziphus jujuba, 107430599, uncharacterized protein LOC107430599 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Ziziphus jujuba, 107435856, uncharacterized protein LOC107435856  [EC], ['EC:3.2.1.21'], KO:K05349
Ziziphus jujuba, 112489059, uncharacterized protein LOC112489059  [EC], ['EC:3.2.1.21'], KO:K05349
Ziziphus jujuba, 107404524, beta-glucosidase 44-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Ziziphus jujuba, 107404527, beta-glucosidase 44-like isoform X2  [EC], ['EC:3.2.1.21'], KO:K05350
Ziziphus jujuba, 107420379, beta-glucosidase 46-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Ziziphus jujuba, 107432441, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Ziziphus jujuba, 107428879, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Ziziphus jujuba, 107419322, beta-glucosidase 46-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Ziziphus jujuba, 107415011, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Ziziphus jujuba, 107415053, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Ziziphus jujuba, 107415055, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Ziziphus jujuba, 107410478, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Ziziphus jujuba, 107403291, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Ziziphus jujuba, 107403294, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Ziziphus jujuba, 107403296, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Ziziphus jujuba, 107403293, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like isoform X1  [EC], ['EC:2.4.1.128'], KO:K23260
Ziziphus jujuba, 107427029, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Ziziphus jujuba, 107427035, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Ziziphus jujuba, 107427036, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Ziziphus jujuba, 107427037, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Ziziphus jujuba, 107427038, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Ziziphus jujuba, 107426964, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Ziziphus jujuba, 107426970, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Ziziphus jujuba, 107426971, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Ziziphus jujuba, 107427039, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Ziziphus jujuba, 107428410, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Ziziphus jujuba, 107428412, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Ziziphus jujuba, 107406597, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
