Brassica oleracea, 106300639, phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica oleracea, 106340718, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica oleracea, 106335822, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica oleracea, 106335611, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica oleracea, 106331998, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica oleracea, 106337652, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica oleracea, 106296265, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica oleracea, 106299573, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica oleracea, 106327656, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica oleracea, 106339791, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica oleracea, 106327525, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica oleracea, 106309139, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica oleracea, 106299378, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica oleracea, 106301917, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica oleracea, 106302092, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica oleracea, 106303648, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica oleracea, 106319334, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica oleracea, 106328058, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica oleracea, 106331776, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica oleracea, 106333106, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica oleracea, 106327709, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Brassica oleracea, 106296937, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Brassica oleracea, 106295555, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Brassica oleracea, 106311455, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Brassica oleracea, 106335834, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Brassica oleracea, 106301330, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Brassica oleracea, 106306807, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Brassica oleracea, 106307006, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Brassica oleracea, 106313996, LOW QUALITY PROTEIN: cytochrome P450 84A4-like  [EC], ['EC:1.14.-.-'], KO:K09755
Brassica oleracea, 106304347, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica oleracea, 106326817, flavone 3'-O-methyltransferase 1-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica oleracea, 106318901, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica oleracea, 106336119, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica oleracea, 106296210, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica oleracea, 106314910, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica oleracea, 106332463, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica oleracea, 106344488, cinnamyl alcohol dehydrogenase 7-like  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica oleracea, 106329559, cinnamyl alcohol dehydrogenase 8  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica oleracea, 106306623, cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica oleracea, 106296516, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica oleracea, 106310380, cinnamyl alcohol dehydrogenase 2  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica oleracea, 106296144, cinnamyl alcohol dehydrogenase 4  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica oleracea, 106306918, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica oleracea, 106292506, cinnamyl alcohol dehydrogenase 5 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica oleracea, 106311182, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica oleracea, 106342137, LOW QUALITY PROTEIN: reticuline oxidase-like protein  [EC], ['EC:1.1.1.195'], KO:K22395
Brassica oleracea, 106343478, reticuline oxidase-like protein  [EC], ['EC:1.1.1.195'], KO:K22395
Brassica oleracea, 106302241, reticuline oxidase-like protein  [EC], ['EC:1.1.1.195'], KO:K22395
Brassica oleracea, 106342026, reticuline oxidase-like protein  [EC], ['EC:1.1.1.195'], KO:K22395
Brassica oleracea, 106299502, 1-Cys peroxiredoxin PER1-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Brassica oleracea, 106293225, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Brassica oleracea, 106316399, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106316562, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106324872, peroxidase 69-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106324876, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106326133, peroxidase 58-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106333169, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106331773, peroxidase 22-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106299526, peroxidase 13  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106304262, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106329012, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106297958, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106305198, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106311072, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106311119, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106313306, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106340378, LOW QUALITY PROTEIN: peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106292770, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106294056, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106316578, peroxidase 58  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106325226, peroxidase 67-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106304715, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106313656, peroxidase 54  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106326207, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106329529, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106332899, peroxidase 69  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106325761, peroxidase 67-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106327072, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106330275, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106339707, peroxidase C3  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106336859, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106341782, peroxidase 30  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106303992, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106304009, peroxidase 49  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106310883, peroxidase 36  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106292861, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106298792, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106326297, LOW QUALITY PROTEIN: peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106333861, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106339767, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106339786, peroxidase C3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106341059, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106323355, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106325806, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106325808, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106344263, peroxidase 49  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106298110, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106343832, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106299020, peroxidase 62 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106305030, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106309520, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106310614, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106306478, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106310938, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106316760, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106304820, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106312869, peroxidase 32  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106312892, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106313934, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106323599, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106333069, peroxidase 28-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106308189, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106315162, peroxidase 34  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106316329, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106326083, peroxidase 50  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106339859, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106325914, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106299080, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106299441, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106310991, peroxidase 34-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106310993, peroxidase 34-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106340690, peroxidase 63  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106343905, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106303854, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106308421, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106313225, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106313235, peroxidase 37  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106326475, LOW QUALITY PROTEIN: peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106300199, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106301335, peroxidase 50-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106302138, peroxidase 50-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106310252, peroxidase 18  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106319263, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106325345, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106332075, peroxidase C2  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106333235, peroxidase 68-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106293729, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106304356, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106311236, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106313391, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106325432, peroxidase 71-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106325439, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106333298, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106333319, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106341514, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106292601, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106293848, LOW QUALITY PROTEIN: peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106293856, peroxidase 6  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106300904, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106303294, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106304427, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106304469, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106320564, peroxidase 56  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106332204, peroxidase 71  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106340234, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106310193, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106310194, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106315978, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106317274, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106320648, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106321889, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106323152, peroxidase 62-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106325576, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106332336, peroxidase 22-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106332342, peroxidase P7-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106342684, peroxidase 27 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106292691, peroxidase 30-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica oleracea, 106295675, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica oleracea, 106316224, UDP-glycosyltransferase 72E2-like  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica oleracea, 106321105, UDP-glycosyltransferase 72E3  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica oleracea, 106302144, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica oleracea, 106304626, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica oleracea, 106300803, UDP-glycosyltransferase 72C1  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica oleracea, 106304484, UDP-glycosyltransferase 72D1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica oleracea, 106295841, UDP-glycosyltransferase 84A2-like  [EC], ['EC:2.4.1.120'], KO:K13068
Brassica oleracea, 106323866, UDP-glycosyltransferase 84A2-like  [EC], ['EC:2.4.1.120'], KO:K13068
Brassica oleracea, 106293140, beta-glucosidase 23-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106293254, beta-glucosidase 23-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106295008, beta-glucosidase 19  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106295285, beta-glucosidase 9-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106295962, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106298698, beta-glucosidase 42-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106301706, beta-glucosidase 40-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106307383, beta-glucosidase 16 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106307874, beta-glucosidase 30  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106309726, beta-glucosidase 27  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106309949, beta-glucosidase 16-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106310054, beta-glucosidase 23-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106311477, beta-glucosidase 10-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106311478, beta-glucosidase 10-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106316338, beta-glucosidase 15-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106318562, putative beta-glucosidase 41 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106322875, beta-glucosidase 23-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106325200, beta-glucosidase 20  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106331928, beta-glucosidase 23  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106332836, beta-glucosidase 13-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106335968, probable inactive beta-glucosidase 25  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106336105, beta-glucosidase 40 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106336653, beta-glucosidase 42 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106336786, beta-glucosidase 15-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106336864, beta-glucosidase 15  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106337309, beta-glucosidase 30-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106337756, beta-glucosidase 27-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106339807, beta-glucosidase 27-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106340037, beta-glucosidase 28-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106340326, beta-glucosidase 16-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106340598, beta-glucosidase 32-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106341816, beta-glucosidase 32-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106341817, beta-glucosidase 15-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106341818, beta-glucosidase 15-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106341822, beta-glucosidase 29-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106342328, beta-glucosidase 27-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106342984, beta-glucosidase 26, peroxisomal  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106334945, beta-glucosidase 3-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica oleracea, 106292219, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica oleracea, 106318477, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica oleracea, 106332963, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica oleracea, 106341780, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica oleracea, 106318622, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica oleracea, 106331931, beta-glucosidase BoGH3B-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica oleracea, 106335957, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica oleracea, 106328826, beta-glucosidase BoGH3B-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica oleracea, 106332248, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica oleracea, 106326911, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica oleracea, 106325990, beta-glucosidase 44 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Brassica oleracea, 106315739, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Brassica oleracea, 106304013, beta-glucosidase 47-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Brassica oleracea, 106327516, LOW QUALITY PROTEIN: beta-glucosidase 47  [EC], ['EC:3.2.1.21'], KO:K05350
