Solanum pennellii, 107002228, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum pennellii, 107004172, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107004234, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107004785, LOW QUALITY PROTEIN: BAHD acyltransferase At5g47980-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107004898, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107022615, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107024411, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107025597, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107025607, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107025644, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107002593, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum pennellii, 107001769, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum pennellii, 107001863, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum pennellii, 107008188, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum pennellii, 107028331, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum pennellii, 107031339, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Solanum pennellii, 107015252, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Solanum pennellii, 107018363, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Solanum pennellii, 107008746, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Solanum pennellii, 107018716, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Solanum pennellii, 107013906, LOW QUALITY PROTEIN: probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum pennellii, 107008953, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum pennellii, 107009496, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum pennellii, 107010763, caffeoyl-CoA O-methyltransferase 6  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum pennellii, 107032120, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum pennellii, 107015723, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum pennellii, 107020048, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum pennellii, 107020068, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum pennellii, 107020085, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum pennellii, 107031250, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum pennellii, 107023856, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Solanum pennellii, 107012453, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Solanum pennellii, 107007705, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Solanum pennellii, 107008935, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Solanum pennellii, 107002798, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Solanum pennellii, 107022691, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Solanum pennellii, 107023901, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Solanum pennellii, 107023557, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Solanum pennellii, 107021224, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Solanum pennellii, 107015050, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Solanum pennellii, 107022387, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Solanum pennellii, 107008142, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Solanum pennellii, 107005483, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Solanum pennellii, 107009394, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Solanum pennellii, 107011624, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Solanum pennellii, 107027432, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Solanum pennellii, 107013951, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Solanum pennellii, 107029418, berberine bridge enzyme-like 13 isoform X1  [EC], ['EC:1.1.1.195'], KO:K22395
Solanum pennellii, 107011087, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Solanum pennellii, 107010421, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Solanum pennellii, 107013901, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Solanum pennellii, 107013626, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107014121, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107010716, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107020634, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107026680, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107028000, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107012284, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107017387, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107019873, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107032554, cationic peroxidase 1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107032566, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107032588, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107005932, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107009433, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107011924, peroxidase 63  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107001948, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107005559, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107010401, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107010409, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107012771, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107023101, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107024251, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107030638, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107018959, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107018977, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107022723, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107022759, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107025244, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107028849, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107029689, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107030011, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107030090, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107008382, peroxidase 40 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107017443, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107019919, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107019937, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107019941, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107019978, peroxidase 6  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107009520, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107010474, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107011653, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107012833, suberization-associated anionic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107004136, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107006665, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107006667, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107021567, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107003641, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107003643, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107009572, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107008766, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107008798, suberization-associated anionic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107008799, suberization-associated anionic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107016112, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107029779, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107004215, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107004231, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107004239, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107006678, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107006697, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107006734, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107010550, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107014196, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107019119, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107010190, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107011357, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107025343, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107025344, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107025346, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107025389, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107029059, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107029822, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107009267, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107009268, peroxidase 49-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107001850, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107004292, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107004308, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107006740, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107013921, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107015077, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107016238, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107025463, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107025466, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107015877, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107017275, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107017284, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107017320, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107028769, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107032506, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107032527, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107032546, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107003434, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107005859, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107013004, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107013030, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107001929, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107015547, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107015771, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107016080, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107025722, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107027958, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107028397, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Solanum pennellii, 107010528, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Solanum pennellii, 107010548, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Solanum pennellii, 107009057, UDP-glycosyltransferase 72D1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Solanum pennellii, 107029594, beta-glucosidase 11-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum pennellii, 107004880, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum pennellii, 107014575, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum pennellii, 107024880, furcatin hydrolase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum pennellii, 107025946, putative beta-glucosidase 41 isoform X2  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum pennellii, 107029593, beta-glucosidase 11  [EC], ['EC:3.2.1.21'], KO:K01188
Solanum pennellii, 107023124, uncharacterized protein LOC107023124  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum pennellii, 107004055, uncharacterized protein LOC107004055  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum pennellii, 107004069, uncharacterized protein LOC107004069  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum pennellii, 107021465, uncharacterized protein LOC107021465  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum pennellii, 107021466, uncharacterized protein LOC107021466  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum pennellii, 107008330, uncharacterized protein LOC107008330  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum pennellii, 107023572, uncharacterized protein LOC107023572  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum pennellii, 107023690, uncharacterized protein LOC107023690  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum pennellii, 107018059, uncharacterized protein LOC107018059 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum pennellii, 107015268, uncharacterized protein LOC107015268  [EC], ['EC:3.2.1.21'], KO:K05349
Solanum pennellii, 107026460, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum pennellii, 107010940, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum pennellii, 107010941, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum pennellii, 107010943, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum pennellii, 107012971, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum pennellii, 107014337, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum pennellii, 107025444, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum pennellii, 107005835, beta-glucosidase 44-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Solanum pennellii, 107004343, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum pennellii, 107004359, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum pennellii, 107029794, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum pennellii, 107004745, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum pennellii, 107004747, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Solanum pennellii, 107028952, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Solanum pennellii, 107007818, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Solanum pennellii, 107008173, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
