Durio zibethinus, 111295400, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Durio zibethinus, 111284990, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Durio zibethinus, 111299150, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Durio zibethinus, 111307256, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Durio zibethinus, 111282216, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Durio zibethinus, 111317993, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Durio zibethinus, 111300742, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Durio zibethinus, 111308951, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Durio zibethinus, 111288091, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Durio zibethinus, 111288157, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Durio zibethinus, 111296165, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Durio zibethinus, 111278784, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Durio zibethinus, 111281115, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Durio zibethinus, 111280911, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Durio zibethinus, 111274390, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Durio zibethinus, 111284558, LOW QUALITY PROTEIN: aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Durio zibethinus, 111291905, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Durio zibethinus, 111308820, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Durio zibethinus, 111317224, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Durio zibethinus, 111300806, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Durio zibethinus, 111289581, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Durio zibethinus, 111279932, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Durio zibethinus, 111279472, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Durio zibethinus, 111297033, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Durio zibethinus, 111298242, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Durio zibethinus, 111294125, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Durio zibethinus, 111295573, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Durio zibethinus, 111277023, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Durio zibethinus, 111277024, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Durio zibethinus, 111296804, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Durio zibethinus, 111302720, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Durio zibethinus, 111302721, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Durio zibethinus, 111281780, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Durio zibethinus, 111279610, probable cinnamyl alcohol dehydrogenase 1 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Durio zibethinus, 111308982, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Durio zibethinus, 111291051, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Durio zibethinus, 111300650, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Durio zibethinus, 111311424, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Durio zibethinus, 111274109, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Durio zibethinus, 111278566, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Durio zibethinus, 111275407, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Durio zibethinus, 111294981, 1-Cys peroxiredoxin-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Durio zibethinus, 111295009, LOW QUALITY PROTEIN: 1-Cys peroxiredoxin-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Durio zibethinus, 111279845, 1-Cys peroxiredoxin-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Durio zibethinus, 111279846, 1-Cys peroxiredoxin-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Durio zibethinus, 111308273, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111278478, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111307638, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111307639, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111307640, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111311043, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111288037, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111311425, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111287577, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111290518, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111292614, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111292625, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111292660, peroxidase 47 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111298597, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111314039, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111304021, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111304025, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111309670, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111282364, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111284571, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111285639, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111291984, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111294182, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111297732, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111299045, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111300167, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111290243, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111298347, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111301897, peroxidase 13 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111274525, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111288270, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111307209, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111307210, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111307212, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111307213, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111307214, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111307215, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111308363, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111308365, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111308367, peroxidase N1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111281470, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111284872, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111302385, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111302386, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111315889, peroxidase 45-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111315890, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111283076, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111284369, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111287608, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111287613, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111288124, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111291695, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111292679, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111296160, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111308074, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111307445, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111307446, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111307447, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111307464, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111280008, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111282471, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111285653, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111285680, LOW QUALITY PROTEIN: peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111292073, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111310917, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111316982, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111317211, peroxidase 72-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111317409, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111317533, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111317534, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111317535, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111317560, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111317561, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111299575, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111300720, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111276997, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111285069, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111307216, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111307218, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111307219, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111307220, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111308368, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111275194, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111275195, LOW QUALITY PROTEIN: peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111277415, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111310014, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111295290, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111315014, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111315950, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111279870, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111285911, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111299997, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111308192, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111293477, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111276611, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111314189, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111314798, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111292610, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111298573, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111280537, LOW QUALITY PROTEIN: peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111286122, LOW QUALITY PROTEIN: peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111308483, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111287764, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Durio zibethinus, 111291807, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Durio zibethinus, 111292598, LOW QUALITY PROTEIN: UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Durio zibethinus, 111292602, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Durio zibethinus, 111316230, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Durio zibethinus, 111292185, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Durio zibethinus, 111314123, beta-glucosidase 11-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Durio zibethinus, 111275745, putative beta-glucosidase 41 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Durio zibethinus, 111276820, beta-glucosidase 42-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Durio zibethinus, 111318270, beta-glucosidase 40-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Durio zibethinus, 111294094, uncharacterized protein LOC111294094 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Durio zibethinus, 111303724, beta-glucosidase BoGH3B-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Durio zibethinus, 111277804, uncharacterized protein LOC111277804  [EC], ['EC:3.2.1.21'], KO:K05349
Durio zibethinus, 111309915, uncharacterized protein LOC111309915  [EC], ['EC:3.2.1.21'], KO:K05349
Durio zibethinus, 111285895, uncharacterized protein LOC111285895  [EC], ['EC:3.2.1.21'], KO:K05349
Durio zibethinus, 111285248, uncharacterized protein LOC111285248 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Durio zibethinus, 111285011, uncharacterized protein LOC111285011 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Durio zibethinus, 111303852, uncharacterized protein LOC111303852  [EC], ['EC:3.2.1.21'], KO:K05349
Durio zibethinus, 111295127, uncharacterized protein LOC111295127 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Durio zibethinus, 111296009, uncharacterized protein LOC111296009  [EC], ['EC:3.2.1.21'], KO:K05349
Durio zibethinus, 111277028, uncharacterized protein LOC111277028  [EC], ['EC:3.2.1.21'], KO:K05349
Durio zibethinus, 111290180, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Durio zibethinus, 111302307, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Durio zibethinus, 111274885, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Durio zibethinus, 111278021, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Durio zibethinus, 111275168, beta-glucosidase 46-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Durio zibethinus, 111275170, beta-glucosidase 46-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Durio zibethinus, 111305728, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Durio zibethinus, 111274938, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Durio zibethinus, 111301938, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Durio zibethinus, 111289254, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Durio zibethinus, 111303902, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Durio zibethinus, 111304032, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Durio zibethinus, 111293995, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Durio zibethinus, 111277730, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Durio zibethinus, 111277731, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Durio zibethinus, 111294252, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Durio zibethinus, 111294332, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Durio zibethinus, 111294334, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Durio zibethinus, 111294335, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Durio zibethinus, 111308291, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Durio zibethinus, 111296108, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Durio zibethinus, 111308967, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
