Phoenix dactylifera, 103703950, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Phoenix dactylifera, 103710206, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103716242, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103705056, p-coumarate 3-hydroxylase-like  [EC], ['EC:1.14.14.96'], KO:K09754
Phoenix dactylifera, 103706282, p-coumarate 3-hydroxylase-like  [EC], ['EC:1.14.14.96'], KO:K09754
Phoenix dactylifera, 103704079, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Phoenix dactylifera, 103708836, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Phoenix dactylifera, 103703617, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Phoenix dactylifera, 103717081, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Phoenix dactylifera, 103702813, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Phoenix dactylifera, 103712899, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Phoenix dactylifera, 103717080, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Phoenix dactylifera, 120110212, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Phoenix dactylifera, 103713767, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 103722553, norbelladine 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 103710057, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 103701551, norbelladine 4'-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 103701552, norbelladine 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 120107377, norbelladine 4'-O-methyltransferase 2-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 120107378, norbelladine 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 120113086, norbelladine 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 103714248, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Phoenix dactylifera, 103710428, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Phoenix dactylifera, 103702969, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Phoenix dactylifera, 120107841, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Phoenix dactylifera, 103720725, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Phoenix dactylifera, 103695702, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Phoenix dactylifera, 120112319, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Phoenix dactylifera, 103708486, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Phoenix dactylifera, 103712196, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Phoenix dactylifera, 103706414, tricetin 3',4',5'-O-trimethyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Phoenix dactylifera, 103696092, tricetin 3',4',5'-O-trimethyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Phoenix dactylifera, 103716997, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Phoenix dactylifera, 103703526, putative cinnamyl alcohol dehydrogenase 4 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Phoenix dactylifera, 103702778, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Phoenix dactylifera, 103719587, probable cinnamyl alcohol dehydrogenase 6 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Phoenix dactylifera, 103699862, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Phoenix dactylifera, 103711965, cinnamyl alcohol dehydrogenase 2-like  [EC], ['EC:1.1.1.195'], KO:K00083
Phoenix dactylifera, 120112341, cinnamyl alcohol dehydrogenase 2-like  [EC], ['EC:1.1.1.195'], KO:K00083
Phoenix dactylifera, 103701040, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Phoenix dactylifera, 103719241, 1-Cys peroxiredoxin-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Phoenix dactylifera, 103699953, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103709772, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103715656, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103710758, peroxidase P7-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103700907, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103701240, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103701238, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103701038, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103713710, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103722765, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103701041, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103718596, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103707341, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 108511375, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103709710, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103706095, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103710018, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103707344, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103711512, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103705279, LOW QUALITY PROTEIN: peroxidase 50  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103704847, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103707409, peroxidase 18 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103707849, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103708927, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103709852, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103706116, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103702102, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103702103, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103702100, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103702105, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103702101, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103705798, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103705795, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103703483, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103703530, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103703770, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103703609, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103709357, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103704375, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103713542, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103715379, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103715351, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103709214, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103717698, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103717699, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103717677, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103713077, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103718926, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103720376, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103720374, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103720378, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103720392, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103721948, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103721424, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103721590, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103722684, LOW QUALITY PROTEIN: peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103719518, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103696561, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103696562, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103697664, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103696429, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103699273, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103700333, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103698472, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103705665, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 113463425, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103696304, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103700349, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 120103727, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 120106224, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 120107665, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 120107746, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 120109064, peroxidase 18-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 120109169, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 120112325, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Phoenix dactylifera, 103714455, furostanol glycoside 26-O-beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Phoenix dactylifera, 103708257, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Phoenix dactylifera, 103708265, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Phoenix dactylifera, 103704056, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Phoenix dactylifera, 103697810, beta-glucosidase BoGH3B-like isoform X2  [EC], ['EC:3.2.1.21'], KO:K05349
Phoenix dactylifera, 113462764, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Phoenix dactylifera, 103709312, beta-glucosidase 1-like  [EC], ['EC:3.2.1.21'], KO:K05350
Phoenix dactylifera, 103722979, beta-glucosidase 1-like  [EC], ['EC:3.2.1.21'], KO:K05350
Phoenix dactylifera, 103721564, beta-glucosidase 1-like  [EC], ['EC:3.2.1.21'], KO:K05350
Phoenix dactylifera, 120111507, beta-glucosidase 1-like  [EC], ['EC:3.2.1.21'], KO:K05350
Phoenix dactylifera, 120111769, beta-glucosidase 1-like  [EC], ['EC:3.2.1.21'], KO:K05350
Phoenix dactylifera, 103706550, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Phoenix dactylifera, 103704299, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Phoenix dactylifera, 103707602, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Phoenix dactylifera, 103707603, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Phoenix dactylifera, 103715011, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Phoenix dactylifera, 103715012, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Phoenix dactylifera, 108511604, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Phoenix dactylifera, 103712823, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Phoenix dactylifera, 103697047, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Phoenix dactylifera, 103710065, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Phoenix dactylifera, 103697626, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Phoenix dactylifera, 120110500, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Phoenix dactylifera, 120111396, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
