Prunus mume, 103324313, polyketide synthase 5  [EC], ['EC:2.3.1.74'], KO:K00660
Prunus mume, 103323133, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103323575, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103323576, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103325757, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103325765, BAHD acyltransferase At5g47980-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103328190, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103328191, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103328214, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103321947, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103330639, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103319005, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus mume, 103319006, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus mume, 103319007, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus mume, 103340769, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus mume, 103322058, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus mume, 103331366, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus mume, 103335243, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus mume, 103340770, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus mume, 103331367, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
