Raphanus sativus, 108854852, phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Raphanus sativus, 108860679, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Raphanus sativus, 108855892, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Raphanus sativus, 108845841, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Raphanus sativus, 108839933, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Raphanus sativus, 108858587, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Raphanus sativus, 108861386, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Raphanus sativus, 108816113, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Raphanus sativus, 108831286, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Raphanus sativus, 108856451, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Raphanus sativus, 108852001, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Raphanus sativus, 108817207, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Raphanus sativus, 108814382, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Raphanus sativus, 108814390, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Raphanus sativus, 108819347, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Raphanus sativus, 108860521, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Raphanus sativus, 108819811, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Raphanus sativus, 108822083, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Raphanus sativus, 108821914, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Raphanus sativus, 108820088, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Raphanus sativus, 108819073, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Raphanus sativus, 108819091, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Raphanus sativus, 108816183, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Raphanus sativus, 108837709, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Raphanus sativus, 108849060, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Raphanus sativus, 108832450, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Raphanus sativus, 108811215, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Raphanus sativus, 108816249, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Raphanus sativus, 108810958, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Raphanus sativus, 108825600, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Raphanus sativus, 108856219, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Raphanus sativus, 108854719, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Raphanus sativus, 108814215, cytochrome P450 84A4  [EC], ['EC:1.14.-.-'], KO:K09755
Raphanus sativus, 108816666, LOW QUALITY PROTEIN: cytochrome P450 84A4-like  [EC], ['EC:1.14.-.-'], KO:K09755
Raphanus sativus, 108843707, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Raphanus sativus, 108849143, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Raphanus sativus, 108840420, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Raphanus sativus, 108842003, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Raphanus sativus, 108855334, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Raphanus sativus, 108847745, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Raphanus sativus, 108849034, flavone 3'-O-methyltransferase 1-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Raphanus sativus, 108840209, cinnamyl alcohol dehydrogenase 7  [EC], ['EC:1.1.1.195'], KO:K00083
Raphanus sativus, 108809626, cinnamyl alcohol dehydrogenase 2  [EC], ['EC:1.1.1.195'], KO:K00083
Raphanus sativus, 108821113, cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Raphanus sativus, 108823627, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Raphanus sativus, 108855825, cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Raphanus sativus, 108856788, cinnamyl alcohol dehydrogenase 4  [EC], ['EC:1.1.1.195'], KO:K00083
Raphanus sativus, 108854371, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Raphanus sativus, 108819546, cinnamyl alcohol dehydrogenase 8  [EC], ['EC:1.1.1.195'], KO:K00083
Raphanus sativus, 108830312, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Raphanus sativus, 108839370, flavin-dependent oxidoreductase FOX2  [EC], ['EC:1.1.1.195'], KO:K22395
Raphanus sativus, 108854832, flavin-dependent oxidoreductase FOX2-like  [EC], ['EC:1.1.1.195'], KO:K22395
Raphanus sativus, 108813107, flavin-dependent oxidoreductase FOX2  [EC], ['EC:1.1.1.195'], KO:K22395
Raphanus sativus, 108831983, flavin-dependent oxidoreductase FOX2-like  [EC], ['EC:1.1.1.195'], KO:K22395
Raphanus sativus, 108862180, flavin-dependent oxidoreductase FOX2-like  [EC], ['EC:1.1.1.195'], KO:K22395
Raphanus sativus, 108860944, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Raphanus sativus, 108809975, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108827029, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108821367, peroxidase 2-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108823880, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108826107, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108810717, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108819400, peroxidase 50  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108810931, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108814260, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108823133, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108825694, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108842189, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108829767, peroxidase C2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108832096, peroxidase 41  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108826581, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108831628, peroxidase 34  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108838514, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108839710, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108846257, peroxidase 67-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108849532, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108844285, peroxidase 22-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108844308, peroxidase 22  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108846695, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108840542, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108844948, peroxidase 67-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108856351, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108860722, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108860723, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108849746, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108860949, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108851058, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108858871, peroxidase 49-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108814494, peroxidase 53-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108816787, LOW QUALITY PROTEIN: peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108816805, peroxidase 13-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108819872, peroxidase 49-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108819873, peroxidase 49-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108812503, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108806074, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108844734, peroxidase 37-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108806568, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108823303, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108823311, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108823323, peroxidase 67-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108825704, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108825710, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108852469, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108853674, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108854709, peroxidase 49-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108820816, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108832849, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108840874, LOW QUALITY PROTEIN: peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108834201, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108844182, LOW QUALITY PROTEIN: peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108846302, peroxidase 52-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108849562, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108849600, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108839942, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108834421, peroxidase 34-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108842408, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108826458, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108837202, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108806827, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108854338, peroxidase C3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108849996, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108852257, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108857825, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108833559, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108850461, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108852774, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108813401, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108862910, peroxidase 28-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108860016, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108806163, peroxidase 30  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108807169, peroxidase 69-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108807220, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108837033, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108837043, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108805602, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108813196, peroxidase 34-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108816617, peroxidase 13-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108821516, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108813835, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108813836, peroxidase 20-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108815035, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108815045, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108816178, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108818292, peroxidase 58  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108845168, peroxidase 6  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108850268, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108840928, peroxidase 41  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108830835, peroxidase 71-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108833163, peroxidase 30-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108828626, peroxidase 49  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108828655, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108829896, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108821574, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108806428, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108806441, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108809700, peroxidase 18  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108829208, peroxidase 62  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108844209, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108849648, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108851905, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108851906, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108853060, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108840022, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108840058, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108834483, peroxidase C2  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108839129, peroxidase 71-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108828710, peroxidase 32  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108840273, peroxidase 58-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108842549, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108816436, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108840715, LOW QUALITY PROTEIN: peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108840734, peroxidase 58-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108841925, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108860847, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108860848, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108856671, peroxidase 71  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108850047, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108854641, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108830155, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108855023, peroxidase E5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108858406, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108816030, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108817108, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108860147, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108860154, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Raphanus sativus, 108826095, UDP-glycosyltransferase 72E2-like  [EC], ['EC:2.4.1.111'], KO:K12356
Raphanus sativus, 108852453, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Raphanus sativus, 108840649, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Raphanus sativus, 108809515, UDP-glycosyltransferase 72E2  [EC], ['EC:2.4.1.111'], KO:K12356
Raphanus sativus, 108841875, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Raphanus sativus, 108809850, UDP-glycosyltransferase 72D1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Raphanus sativus, 108842855, UDP-glycosyltransferase 72C1  [EC], ['EC:2.4.1.111'], KO:K12356
Raphanus sativus, 108862217, UDP-glycosyltransferase 72D1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Raphanus sativus, 108829363, UDP-glycosyltransferase 84A2-like  [EC], ['EC:2.4.1.120'], KO:K13068
Raphanus sativus, 108858165, UDP-glycosyltransferase 84A2-like  [EC], ['EC:2.4.1.120'], KO:K13068
Raphanus sativus, 108861420, UDP-glycosyltransferase 84A2-like  [EC], ['EC:2.4.1.120'], KO:K13068
Raphanus sativus, 108805372, beta-glucosidase 16 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108806514, beta-glucosidase 29-like  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108808805, LOW QUALITY PROTEIN: beta-glucosidase 28-like  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108809356, beta-glucosidase 27-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108812705, probable inactive beta-glucosidase 25  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108813009, beta-glucosidase 23-like  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108813391, beta-glucosidase 26, peroxisomal  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108813679, beta-glucosidase 23  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108819075, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108825724, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108825911, beta-glucosidase 15-like  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108829979, beta-glucosidase 27-like  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108829981, beta-glucosidase 16-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108831699, beta-glucosidase 30-like  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108831704, beta-glucosidase 16-like  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108834470, beta-glucosidase 28-like  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108840032, beta-glucosidase 20  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108841204, putative beta-glucosidase 41 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108851762, beta-glucosidase 27-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108851804, beta-glucosidase 27-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108851859, beta-glucosidase 27-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108851918, beta-glucosidase 32-like  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108851961, beta-glucosidase 32-like  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108852022, beta-glucosidase 32-like  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108854814, beta-glucosidase 15  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108855005, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108855234, beta-glucosidase 10-like  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108855783, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108857469, beta-glucosidase 27  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108859886, beta-glucosidase 23-like  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108860492, beta-glucosidase 30  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108861285, beta-glucosidase 15-like  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108861494, beta-glucosidase 13-like  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108862927, beta-glucosidase 23-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108862930, beta-glucosidase 23-like  [EC], ['EC:3.2.1.21'], KO:K01188
