Daucus carota, 108217754, phenylalanine ammonia-lyase 3  [EC], ['EC:4.3.1.24'], KO:K10775
Daucus carota, 108197349, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Daucus carota, 108227433, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Daucus carota, 108224003, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Daucus carota, 108196175, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Daucus carota, 108194156, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Daucus carota, 108193407, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Daucus carota, 108196356, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Daucus carota, 108207577, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Daucus carota, 108213052, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Daucus carota, 108213053, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Daucus carota, 108213057, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Daucus carota, 108220774, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Daucus carota, 108200606, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Daucus carota, 108202076, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Daucus carota, 108201484, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Daucus carota, 108211420, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Daucus carota, 108212209, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Daucus carota, 108211933, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Daucus carota, 108228129, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Daucus carota, 108227809, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Daucus carota, 108196096, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Daucus carota, 108205596, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Daucus carota, 108215465, aldehyde dehydrogenase family 2 member C4-like isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Daucus carota, 108215217, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Daucus carota, 108225223, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Daucus carota, 108224075, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Daucus carota, 108214345, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Daucus carota, 108213212, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Daucus carota, 108214102, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Daucus carota, 108214103, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Daucus carota, 108215346, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Daucus carota, 108215347, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Daucus carota, 108215577, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Daucus carota, 108210405, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Daucus carota, 108213412, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Daucus carota, 108223084, bergaptol O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Daucus carota, 108223086, bergaptol O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Daucus carota, 108221040, bergaptol O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Daucus carota, 108215829, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Daucus carota, 108225755, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Daucus carota, 108215594, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Daucus carota, 108204950, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Daucus carota, 108215375, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Daucus carota, 108218635, probable cinnamyl alcohol dehydrogenase 6 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Daucus carota, 108208425, cannabidiolic acid synthase-like 1  [EC], ['EC:1.1.1.195'], KO:K22395
Daucus carota, 108209693, cannabidiolic acid synthase-like 1  [EC], ['EC:1.1.1.195'], KO:K22395
Daucus carota, 108206997, flavin-dependent oxidoreductase FOX2-like  [EC], ['EC:1.1.1.195'], KO:K22395
Daucus carota, 108206458, flavin-dependent oxidoreductase FOX2-like  [EC], ['EC:1.1.1.195'], KO:K22395
Daucus carota, 108204470, flavin-dependent oxidoreductase FOX2-like  [EC], ['EC:1.1.1.195'], KO:K22395
Daucus carota, 108206543, cannabidiolic acid synthase-like 1  [EC], ['EC:1.1.1.195'], KO:K22395
Daucus carota, 108195583, 1-Cys peroxiredoxin A  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Daucus carota, 108207695, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108206954, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108208381, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108210848, peroxidase 18  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108211894, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108214104, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108211599, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108213393, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108213754, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108213263, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108215542, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108215543, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108215712, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108215746, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108215940, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108216020, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108216255, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108213631, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108214542, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108214543, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108214674, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108220060, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108216403, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108216901, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108220719, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108217574, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108216743, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108217705, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108217770, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108217771, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108219003, peroxidase 63  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108220118, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108220364, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108220388, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108216875, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108221035, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108224440, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108221524, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108221599, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108221610, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108222769, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108222339, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108224555, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108226760, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108226763, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108222261, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108226598, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108227116, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108227768, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108227825, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108228004, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108220765, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108221933, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108225244, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108226370, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108226914, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108226942, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108220972, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108222048, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108226984, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108226100, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108226132, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108226140, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108194230, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108196467, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108200959, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108200997, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108200998, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108204913, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108198791, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108202200, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108194458, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108195593, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108197838, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108193863, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108193896, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108197896, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108199073, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108200201, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108204546, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108193570, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108193620, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108193638, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108194028, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108192430, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108205274, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108194124, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108194882, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108200483, peroxidase 24-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108201576, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108201586, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108194133, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108195250, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108198613, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108194950, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108201594, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108201603, peroxidase N1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108194632, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Daucus carota, 108208103, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Daucus carota, 108208744, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Daucus carota, 108210826, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Daucus carota, 108214221, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Daucus carota, 108214223, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Daucus carota, 108218713, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Daucus carota, 108219413, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Daucus carota, 108227773, beta-glucosidase BoGH3B-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Daucus carota, 108224253, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Daucus carota, 108224254, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Daucus carota, 108192870, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Daucus carota, 108193063, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Daucus carota, 108210921, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Daucus carota, 108218864, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Daucus carota, 108218674, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Daucus carota, 108224956, beta-glucosidase 44-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Daucus carota, 108225106, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Daucus carota, 108224076, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Daucus carota, 108199747, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Daucus carota, 108226415, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Daucus carota, 108198298, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Daucus carota, 108198303, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Daucus carota, 108225740, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Daucus carota, 108197143, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
