Fragaria vesca, 101292546, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Fragaria vesca, 101292180, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Fragaria vesca, 101290723, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Fragaria vesca, 101292475, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Fragaria vesca, 101293257, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Fragaria vesca, 101292765, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Fragaria vesca, 101315202, deacetylvindoline O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Fragaria vesca, 101311694, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Fragaria vesca, 101295724, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Fragaria vesca, 101311200, BAHD acyltransferase At5g47980-like  [EC], ['EC:2.3.1.133'], KO:K13065
Fragaria vesca, 101305857, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Fragaria vesca, 101298438, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Fragaria vesca, 101299970, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Fragaria vesca, 101310387, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Fragaria vesca, 101306831, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Fragaria vesca, 101313960, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Fragaria vesca, 101294795, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Fragaria vesca, 101307630, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Fragaria vesca, 101313674, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Fragaria vesca, 101313700, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Fragaria vesca, 101296965, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Fragaria vesca, 101295967, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Fragaria vesca, 101297250, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Fragaria vesca, 101302900, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Fragaria vesca, 101308793, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Fragaria vesca, 101307171, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Fragaria vesca, 101311417, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Fragaria vesca, 101297735, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Fragaria vesca, 101309080, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Fragaria vesca, 101309377, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Fragaria vesca, 101311294, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Fragaria vesca, 101312002, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Fragaria vesca, 105351761, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Fragaria vesca, 101302179, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Fragaria vesca, 101301128, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Fragaria vesca, 101300557, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Fragaria vesca, 101300274, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Fragaria vesca, 101300842, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Fragaria vesca, 101305825, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Fragaria vesca, 101307828, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Fragaria vesca, 101308514, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Fragaria vesca, 101296734, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Fragaria vesca, 101294295, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Fragaria vesca, 101292655, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Fragaria vesca, 101309770, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Fragaria vesca, 101314680, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Fragaria vesca, 101299636, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Fragaria vesca, 101306559, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Fragaria vesca, 101294538, cannabidiolic acid synthase-like 1  [EC], ['EC:1.1.1.195'], KO:K22395
Fragaria vesca, 101295982, tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Fragaria vesca, 101307289, tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Fragaria vesca, 101306708, tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Fragaria vesca, 101291715, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Fragaria vesca, 101308709, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101304160, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101297323, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101309307, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 105350009, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101310766, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101292774, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101307278, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101312694, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101314263, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101306982, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101307282, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101291128, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101299281, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101306112, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101310254, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101310548, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101302201, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101302491, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101299243, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101312090, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101296138, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101314499, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101312669, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101303510, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101307001, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101300056, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101302562, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101294067, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101292401, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101307000, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101301659, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101307292, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101302245, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101315430, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 105350677, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101310594, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101298598, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101300236, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101306995, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101310392, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101293677, peroxidase 63  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101305841, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 105350882, peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101311779, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101292146, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101310043, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101313359, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101306930, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101296497, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101291358, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101300728, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101301628, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101304986, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101298258, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101309303, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101311154, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101311439, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101313615, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101299604, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101305969, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101298940, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101310622, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101301085, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101297674, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101313969, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101302460, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Fragaria vesca, 101296671, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Fragaria vesca, 101311007, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Fragaria vesca, 101311874, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Fragaria vesca, 101311585, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Fragaria vesca, 101312164, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Fragaria vesca, 101308031, beta-glucosidase 17-like  [EC], ['EC:3.2.1.21'], KO:K01188
Fragaria vesca, 101300711, beta-glucosidase 13-like  [EC], ['EC:3.2.1.21'], KO:K01188
Fragaria vesca, 101290754, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Fragaria vesca, 101310768, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Fragaria vesca, 101315216, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Fragaria vesca, 101306214, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Fragaria vesca, 101307288, beta-glucosidase 13-like  [EC], ['EC:3.2.1.21'], KO:K01188
Fragaria vesca, 101291030, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Fragaria vesca, 101292823, beta-glucosidase 24-like  [EC], ['EC:3.2.1.21'], KO:K01188
Fragaria vesca, 101290740, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Fragaria vesca, 101296690, beta-glucosidase 24-like  [EC], ['EC:3.2.1.21'], KO:K01188
Fragaria vesca, 101297272, beta-glucosidase 13-like  [EC], ['EC:3.2.1.21'], KO:K01188
Fragaria vesca, 101303713, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Fragaria vesca, 101307573, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Fragaria vesca, 101313585, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Fragaria vesca, 101305763, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Fragaria vesca, 101301952, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Fragaria vesca, 101299659, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Fragaria vesca, 101311178, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Fragaria vesca, 101305668, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Fragaria vesca, 101311312, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Fragaria vesca, 101296718, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Fragaria vesca, 101312701, beta-glucosidase 47  [EC], ['EC:3.2.1.21'], KO:K05350
Fragaria vesca, 101312349, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Fragaria vesca, 101312635, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Fragaria vesca, 101291326, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Fragaria vesca, 101304787, UDP-glucose flavonoid 3-O-glucosyltransferase 7  [EC], ['EC:2.4.1.128'], KO:K23260
Fragaria vesca, 101305089, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Fragaria vesca, 101299316, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Fragaria vesca, 101296902, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Fragaria vesca, 101305722, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Fragaria vesca, 101306252, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Fragaria vesca, 101306543, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Fragaria vesca, 101301417, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Fragaria vesca, 101301997, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Fragaria vesca, 105352714, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
