org_id	org_name	org_tax_level	org_tax_id	subspecies_tax_id	subspecies_name	species_tax_id	species_name	genus_tax_id	genus_name	family_tax_id	family_name	kingdom_tax_id	kingdom_name	superkingdom_tax_id	superkingdom_name
NPO10009	Oxylobus arbutifolius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NPO1001	Diplogelasinospora grovesii	Species	303347	NA	NA	303347	Diplogelasinospora grovesii	303324	Diplogelasinospora	5148	Sordariaceae	4751	Fungi	2759	Eukaryota
NPO10010	Evernia vulpina	Species	NA	NA	NA	NA	NA	87256	Evernia	78060	Parmeliaceae	4751	Fungi	2759	Eukaryota
NPO10011	Myrsine capitellata	Species	NA	NA	NA	NA	NA	59981	Myrsine	4335	Primulaceae	33090	Viridiplantae	2759	Eukaryota
NPO10012	Triaenophora rupestris	Species	441503	NA	NA	441503	Triaenophora rupestris	441502	Triaenophora	91896	Orobanchaceae	33090	Viridiplantae	2759	Eukaryota
NPO10014	Rubia tinctorum	Species	29802	NA	NA	29802	Rubia tinctorum	25473	Rubia	24966	Rubiaceae	33090	Viridiplantae	2759	Eukaryota
NPO10016	Rollinia laurifolia	Species	NA	NA	NA	NA	NA	301698	Rollinia	22140	Annonaceae	33090	Viridiplantae	2759	Eukaryota
NPO10017	Echium pininana	Species	113444	NA	NA	113444	Echium pininana	21610	Echium	21571	Boraginaceae	33090	Viridiplantae	2759	Eukaryota
NPO10019	Ilex oblonga	Species	NA	NA	NA	NA	NA	4295	Ilex	4294	Aquifoliaceae	33090	Viridiplantae	2759	Eukaryota
NPO1002	Haplophyllum perforatum	Species	NA	NA	NA	NA	NA	266078	Haplophyllum	23513	Rutaceae	33090	Viridiplantae	2759	Eukaryota
NPO10021	Nerium oleander	Species	63479	NA	NA	63479	Nerium oleander	63461	Nerium	4056	Apocynaceae	33090	Viridiplantae	2759	Eukaryota
NPO10023	Francoeuria undulata	Species	119186	NA	NA	119186	Francoeuria undulata	1548540	Francoeuria	4210	Asteraceae	33090	Viridiplantae	2759	Eukaryota
NPO10024	Tylecodon wallichii	Species	91165	NA	NA	91165	Tylecodon wallichii	91163	Tylecodon	3781	Crassulaceae	33090	Viridiplantae	2759	Eukaryota
NPO10026	Mitracarpus scaber	Species	NA	NA	NA	NA	NA	60380	Mitracarpus	24966	Rubiaceae	33090	Viridiplantae	2759	Eukaryota
NPO10027	Cannabis indica	Species	NA	NA	NA	NA	NA	3482	Cannabis	3481	Cannabaceae	33090	Viridiplantae	2759	Eukaryota
NPO10029	Prunus dulcis	Species	3755	NA	NA	3755	Prunus dulcis	3754	Prunus	3745	Rosaceae	33090	Viridiplantae	2759	Eukaryota
NPO10029.1	Prunus dulcis var. amara	Varieties	3756	3756	prunus dulcis var. amara	3755	Prunus dulcis	3754	Prunus	3745	Rosaceae	33090	Viridiplantae	2759	Eukaryota
NPO10031	Euphorbia antiquorum	Species	334664	NA	NA	334664	Euphorbia antiquorum	3990	Euphorbia	3977	Euphorbiaceae	33090	Viridiplantae	2759	Eukaryota
NPO10032	Backhousia citriodora	Species	39976	NA	NA	39976	Backhousia citriodora	39975	Backhousia	3931	Myrtaceae	33090	Viridiplantae	2759	Eukaryota
NPO10033	Turraea pubescens	Species	1382023	NA	NA	1382023	Turraea pubescens	201020	Turraea	43707	Meliaceae	33090	Viridiplantae	2759	Eukaryota
NPO10034	Penstemon mucronatus	Species	1811924	NA	NA	1811924	Penstemon mucronatus	69923	Penstemon	156152	Plantaginaceae	33090	Viridiplantae	2759	Eukaryota
NPO10035	Ficus pantoniana	Species	479811	NA	NA	479811	Ficus pantoniana	3493	Ficus	3487	Moraceae	33090	Viridiplantae	2759	Eukaryota
NPO10036	Bruguiera cylindrica	Species	106616	NA	NA	106616	Bruguiera cylindrica	39983	Bruguiera	40029	Rhizophoraceae	33090	Viridiplantae	2759	Eukaryota
NPO10038.1	Abies pinsapo var. marocana	Varieties	928731	928731	abies pinsapo var. marocana	56046	Abies pinsapo	3319	Abies	3318	Pinaceae	33090	Viridiplantae	2759	Eukaryota
NPO10038.2	Abies pinsapo var. tazaotana	Varieties	928733	928733	abies pinsapo var. tazaotana	56046	Abies pinsapo	3319	Abies	3318	Pinaceae	33090	Viridiplantae	2759	Eukaryota
NPO10039	Podosphaera fuliginea	Species	92473	NA	NA	92473	Podosphaera fuliginea	62701	Podosphaera	34371	Erysiphaceae	4751	Fungi	2759	Eukaryota
NPO1004	Consolida scleroclada	Species	NA	NA	NA	NA	NA	37493	Consolida	3440	Ranunculaceae	33090	Viridiplantae	2759	Eukaryota
NPO10040	Ardisia sieboldii	Species	1265926	NA	NA	1265926	Ardisia sieboldii	13344	Ardisia	4335	Primulaceae	33090	Viridiplantae	2759	Eukaryota
NPO10043	Phebalium ozothamnoides	Species	NA	NA	NA	NA	NA	77003	Phebalium	23513	Rutaceae	33090	Viridiplantae	2759	Eukaryota
NPO10044	Bombina maxima	Species	161274	NA	NA	161274	Bombina maxima	8344	Bombina	30312	Bombinatoridae	33208	Metazoa	2759	Eukaryota
NPO10047	Psychotria correae	Species	1129518	NA	NA	1129518	Psychotria correae	25443	Psychotria	24966	Rubiaceae	33090	Viridiplantae	2759	Eukaryota
NPO10048	Pyrus bourgaeana	Species	NA	NA	NA	NA	NA	3766	Pyrus	3745	Rosaceae	33090	Viridiplantae	2759	Eukaryota
NPO10049	Coleophoma empetri	Species	582885	NA	NA	582885	Coleophoma empetri	453209	Coleophoma	NA	NA	4751	Fungi	2759	Eukaryota
NPO1005	Pycnarrhena novoguineensis	Species	461620	NA	NA	461620	Pycnarrhena novoguineensis	432635	Pycnarrhena	3455	Menispermaceae	33090	Viridiplantae	2759	Eukaryota
NPO10051	Phyla nodiflora	Species	222877	NA	NA	222877	Phyla nodiflora	86858	Phyla	21910	Verbenaceae	33090	Viridiplantae	2759	Eukaryota
NPO10052	Penicillium aethiopicum	Species	36650	NA	NA	36650	Penicillium aethiopicum	5073	Penicillium	1131492	Aspergillaceae	4751	Fungi	2759	Eukaryota
NPO10053	Peperomia blanda	Species	352167	NA	NA	352167	Peperomia blanda	13196	Peperomia	16739	Piperaceae	33090	Viridiplantae	2759	Eukaryota
NPO10054	Panus conchatus	Species	60114	NA	NA	60114	Panus conchatus	38807	Panus	83234	Lentinaceae	4751	Fungi	2759	Eukaryota
NPO10055	Stichoneuron caudatum	Species	50540	NA	NA	50540	Stichoneuron caudatum	50539	Stichoneuron	49662	Stemonaceae	33090	Viridiplantae	2759	Eukaryota
NPO10056	Nicotiana sylvestris	Species	4096	NA	NA	4096	Nicotiana sylvestris	4085	Nicotiana	4070	Solanaceae	33090	Viridiplantae	2759	Eukaryota
NPO10058	Salvia aurea	Species	NA	NA	NA	NA	NA	21880	Salvia	4136	Lamiaceae	33090	Viridiplantae	2759	Eukaryota
NPO10059	Hyoscyamus pusillus	Species	540805	NA	NA	540805	Hyoscyamus pusillus	4078	Hyoscyamus	4070	Solanaceae	33090	Viridiplantae	2759	Eukaryota
NPO1006	Ipomoea asarifolia	Species	89639	NA	NA	89639	Ipomoea asarifolia	4119	Ipomoea	4118	Convolvulaceae	33090	Viridiplantae	2759	Eukaryota
NPO10061	Sideritis ozturkii	Species	NA	NA	NA	NA	NA	155231	Sideritis	4136	Lamiaceae	33090	Viridiplantae	2759	Eukaryota
NPO10064	Diospyros canaliculata	Species	NA	NA	NA	NA	NA	13492	Diospyros	19955	Ebenaceae	33090	Viridiplantae	2759	Eukaryota
NPO10065	Streptomyces psammoticus	Species	67349	NA	NA	67349	Streptomyces psammoticus	1883	Streptomyces	2062	Streptomycetaceae	NA	NA	2	Bacteria
NPO10066	Renealmia exaltata	Species	NA	NA	NA	NA	NA	105703	Renealmia	4642	Zingiberaceae	33090	Viridiplantae	2759	Eukaryota
NPO10067	Boenninghausenia sp.	Species	NA	NA	NA	NA	NA	452762	Boenninghausenia	23513	Rutaceae	33090	Viridiplantae	2759	Eukaryota
NPO10068	Streptomyces hebeiensis	Species	229486	NA	NA	229486	Streptomyces hebeiensis	1883	Streptomyces	2062	Streptomycetaceae	NA	NA	2	Bacteria
NPO10069	Chaptalia nutans	Species	130248	NA	NA	130248	Chaptalia nutans	130245	Chaptalia	4210	Asteraceae	33090	Viridiplantae	2759	Eukaryota
NPO1007	Crotalaria paniculata	Species	1735020	NA	NA	1735020	Crotalaria paniculata	3828	Crotalaria	3803	Fabaceae	33090	Viridiplantae	2759	Eukaryota
NPO10070	Scorzonera latifolia	Species	261608	NA	NA	261608	Scorzonera latifolia	114288	Scorzonera	4210	Asteraceae	33090	Viridiplantae	2759	Eukaryota
NPO10071	Ipomopsis aggregata	Species	40742	NA	NA	40742	Ipomopsis aggregata	40741	Ipomopsis	24584	Polemoniaceae	33090	Viridiplantae	2759	Eukaryota
NPO10073	Clusia torresii	Species	209610	NA	NA	209610	Clusia torresii	72403	Clusia	55961	Clusiaceae	33090	Viridiplantae	2759	Eukaryota
NPO10074	Asterospicularia randalli	Species	205092	NA	NA	205092	Asterospicularia randalli	205091	Asterospicularia	86538	Xeniidae	33208	Metazoa	2759	Eukaryota
NPO10077	Artemisia californica	Species	86309	NA	NA	86309	Artemisia californica	4219	Artemisia	4210	Asteraceae	33090	Viridiplantae	2759	Eukaryota
NPO10079	Chloropyron maritimum	Species	428906	NA	NA	428906	Chloropyron maritimum	1336285	Chloropyron	91896	Orobanchaceae	33090	Viridiplantae	2759	Eukaryota
NPO10080	Teucrium betonicum	Species	1209843	NA	NA	1209843	Teucrium betonicum	21896	Teucrium	4136	Lamiaceae	33090	Viridiplantae	2759	Eukaryota
NPO10081	Othonna sedifolia	Species	405100	NA	NA	405100	Othonna sedifolia	109566	Othonna	4210	Asteraceae	33090	Viridiplantae	2759	Eukaryota
NPO10082	Citrus unshiu	Species	55188	NA	NA	55188	Citrus unshiu	2706	Citrus	23513	Rutaceae	33090	Viridiplantae	2759	Eukaryota
NPO10083	Polygala paenea	Species	NA	NA	NA	NA	NA	4275	Polygala	4274	Polygalaceae	33090	Viridiplantae	2759	Eukaryota
NPO10084	Equisetum hyemale	Species	3262	NA	NA	3262	Equisetum hyemale	3257	Equisetum	3256	Equisetaceae	33090	Viridiplantae	2759	Eukaryota
NPO10085	Aspergillus varians	Species	176181	NA	NA	176181	Aspergillus varians	5052	Aspergillus	1131492	Aspergillaceae	4751	Fungi	2759	Eukaryota
NPO10086	Scrophularia scorodonia	Species	1053394	NA	NA	1053394	Scrophularia scorodonia	39249	Scrophularia	4149	Scrophulariaceae	33090	Viridiplantae	2759	Eukaryota
NPO10088	Uncaria attenuata	Species	1840405	NA	NA	1840405	Uncaria attenuata	43574	Uncaria	24966	Rubiaceae	33090	Viridiplantae	2759	Eukaryota
NPO10089	Polyalthia barnesii	Species	NA	NA	NA	NA	NA	105756	Polyalthia	22140	Annonaceae	33090	Viridiplantae	2759	Eukaryota
NPO1009	Stentor coeruleus	Species	5963	NA	NA	5963	Stentor coeruleus	5962	Stentor	219169	Stentoridae	NA	NA	2759	Eukaryota
NPO10092	Hesperocyparis bakeri	Species	329080	NA	NA	329080	Hesperocyparis bakeri	634378	Hesperocyparis	3367	Cupressaceae	33090	Viridiplantae	2759	Eukaryota
NPO10093	Castanopsis hystrix	Species	167390	NA	NA	167390	Castanopsis hystrix	114815	Castanopsis	3503	Fagaceae	33090	Viridiplantae	2759	Eukaryota
NPO10094	Daphne gnidioides	Species	NA	NA	NA	NA	NA	66679	Daphne	39987	Thymelaeaceae	33090	Viridiplantae	2759	Eukaryota
NPO10096	Streptomyces flaveolus	Species	67297	NA	NA	67297	Streptomyces flaveolus	1883	Streptomyces	2062	Streptomycetaceae	NA	NA	2	Bacteria
NPO10096.1	Streptomyces flaveolus dsm 9954	Subspecies	NA	NA	Streptomyces flaveolus DSM 9954	67297	Streptomyces flaveolus	1883	Streptomyces	2062	Streptomycetaceae	NA	NA	2	Bacteria
NPO10098	Glycosmis pseudoracemosa	Species	159049	NA	NA	159049	Glycosmis pseudoracemosa	68543	Glycosmis	23513	Rutaceae	33090	Viridiplantae	2759	Eukaryota
NPO1010	Dacrydium sp.	Species	NA	NA	NA	NA	NA	182749	Dacrydium	6547	Mytilidae	33208	Metazoa	2759	Eukaryota
NPO10101	Rothmannia macrophylla	Species	NA	NA	NA	NA	NA	58452	Rothmannia	24966	Rubiaceae	33090	Viridiplantae	2759	Eukaryota
NPO10102	Pithecellobium albicans	Species	NA	NA	NA	NA	NA	58875	Pithecellobium	3803	Fabaceae	33090	Viridiplantae	2759	Eukaryota
NPO10103	Senecio iodanthus	Species	NA	NA	NA	NA	NA	18794	Senecio	4210	Asteraceae	33090	Viridiplantae	2759	Eukaryota
NPO10104	Laurencia chilensis	Species	NA	NA	NA	NA	NA	99900	Laurencia	2803	Rhodomelaceae	NA	NA	2759	Eukaryota
NPO10107	Melaleuca alternifolia	Species	164405	NA	NA	164405	Melaleuca alternifolia	164925	Melaleuca	3931	Myrtaceae	33090	Viridiplantae	2759	Eukaryota
NPO10108	Fomitopsis officinalis	Species	270279	NA	NA	270279	Fomitopsis officinalis	34474	Fomitopsis	1769247	Fomitopsidaceae	4751	Fungi	2759	Eukaryota
NPO10109	Haemanthus natalensis	Species	NA	NA	NA	NA	NA	39968	Haemanthus	4668	Amaryllidaceae	33090	Viridiplantae	2759	Eukaryota
NPO10112	Teucrium pernyi	Species	NA	NA	NA	NA	NA	21896	Teucrium	4136	Lamiaceae	33090	Viridiplantae	2759	Eukaryota
NPO10113	Virola venezuelensis	Species	NA	NA	NA	NA	NA	224865	Virola	22274	Myristicaceae	33090	Viridiplantae	2759	Eukaryota
NPO10114	Micromonospora rosaria	Species	47874	NA	NA	47874	Micromonospora rosaria	1873	Micromonospora	28056	Micromonosporaceae	NA	NA	2	Bacteria
NPO10115	Merendera caucasica	Species	NA	NA	NA	NA	NA	217491	Merendera	41218	Colchicaceae	33090	Viridiplantae	2759	Eukaryota
NPO10116	Sphaeranthus indicus	Species	1205786	NA	NA	1205786	Sphaeranthus indicus	81519	Sphaeranthus	4210	Asteraceae	33090	Viridiplantae	2759	Eukaryota
NPO10118	Rhizoglyphus robini	Species	223528	NA	NA	223528	Rhizoglyphus robini	150114	Rhizoglyphus	41442	Acaridae	33208	Metazoa	2759	Eukaryota
NPO10119	Aptosimum spinescens	Species	NA	NA	NA	NA	NA	91330	Aptosimum	4149	Scrophulariaceae	33090	Viridiplantae	2759	Eukaryota
NPO1012	Hymenocallis occidentalis	Species	NA	NA	NA	NA	NA	59039	Hymenocallis	4668	Amaryllidaceae	33090	Viridiplantae	2759	Eukaryota
NPO10120	Nuxia floribunda	Species	257431	NA	NA	257431	Nuxia floribunda	69069	Nuxia	41867	Stilbaceae	33090	Viridiplantae	2759	Eukaryota
NPO10121	Bothrops jararaca	Species	8724	NA	NA	8724	Bothrops jararaca	8721	Bothrops	8689	Viperidae	33208	Metazoa	2759	Eukaryota
NPO10122	Deprea subtriflora	Species	115739	NA	NA	115739	Deprea subtriflora	115725	Deprea	4070	Solanaceae	33090	Viridiplantae	2759	Eukaryota
NPO10124	Berberis heterobotrys	Species	NA	NA	NA	NA	NA	22774	Berberis	41773	Berberidaceae	33090	Viridiplantae	2759	Eukaryota
NPO10125	Ambrosia psilostachya	Species	29715	NA	NA	29715	Ambrosia psilostachya	4211	Ambrosia	4210	Asteraceae	33090	Viridiplantae	2759	Eukaryota
NPO10126	Asterias tenuispina	Species	NA	NA	NA	NA	NA	7601	Asterias	7600	Asteriidae	33208	Metazoa	2759	Eukaryota
NPO10128	Aplysia punctata	Species	71498	NA	NA	71498	Aplysia punctata	6499	Aplysia	6498	Aplysiidae	33208	Metazoa	2759	Eukaryota
NPO10132	Schizophyllum lobatum	Species	NA	NA	NA	NA	NA	5333	Schizophyllum	5332	Schizophyllaceae	4751	Fungi	2759	Eukaryota
NPO10133	Sinularia microclavata	Species	NA	NA	NA	NA	NA	51814	Sinularia	40678	Alcyoniidae	33208	Metazoa	2759	Eukaryota
NPO10135	Tripteris microcarpa	Species	662753	NA	NA	662753	Tripteris microcarpa	378870	Tripteris	4210	Asteraceae	33090	Viridiplantae	2759	Eukaryota
NPO10136	Miconia fallax	Species	NA	NA	NA	NA	NA	263288	Miconia	39998	Melastomataceae	33090	Viridiplantae	2759	Eukaryota
NPO10139	Sarcomelicope follicularis	Species	1487147	NA	NA	1487147	Sarcomelicope follicularis	76971	Sarcomelicope	23513	Rutaceae	33090	Viridiplantae	2759	Eukaryota
NPO10140	Genista raetam	Species	NA	NA	NA	NA	NA	49818	Genista	3803	Fabaceae	33090	Viridiplantae	2759	Eukaryota
NPO10141	Alstonia lenormandii	Species	NA	NA	NA	NA	NA	52821	Alstonia	4056	Apocynaceae	33090	Viridiplantae	2759	Eukaryota
NPO10144	Kadsura matsudai	Species	NA	NA	NA	NA	NA	105749	Kadsura	16733	Schisandraceae	33090	Viridiplantae	2759	Eukaryota
NPO10145	Diospyros heterotricha	Species	NA	NA	NA	NA	NA	13492	Diospyros	19955	Ebenaceae	33090	Viridiplantae	2759	Eukaryota
NPO10146	Bassia parkii	Species	NA	NA	NA	NA	NA	645411	Bassia	316207	Abylidae	33208	Metazoa	2759	Eukaryota
NPO10148	Cotoneaster spp.	Species	NA	NA	NA	NA	NA	36607	Cotoneaster	3745	Rosaceae	33090	Viridiplantae	2759	Eukaryota
NPO10149	Lespedeza bicolor	Species	556514	NA	NA	556514	Lespedeza bicolor	53892	Lespedeza	3803	Fabaceae	33090	Viridiplantae	2759	Eukaryota
NPO10150	Anemone raddeana	Species	387928	NA	NA	387928	Anemone raddeana	22868	Anemone	3440	Ranunculaceae	33090	Viridiplantae	2759	Eukaryota
NPO10151	Streptomyces cinerochromogenes	Species	66422	NA	NA	66422	Streptomyces cinerochromogenes	1883	Streptomyces	2062	Streptomycetaceae	NA	NA	2	Bacteria
NPO10152	Artemisia parviflora	Species	466059	NA	NA	466059	Artemisia parviflora	4219	Artemisia	4210	Asteraceae	33090	Viridiplantae	2759	Eukaryota
NPO10154	Pseudolmedia laevigata	Species	241915	NA	NA	241915	Pseudolmedia laevigata	241914	Pseudolmedia	3487	Moraceae	33090	Viridiplantae	2759	Eukaryota
NPO10155	Stauntonia obovatifoliola	Species	161271	NA	NA	161271	Stauntonia obovatifoliola	41787	Stauntonia	22788	Lardizabalaceae	33090	Viridiplantae	2759	Eukaryota
NPO10159	Sclerotinia minor	Species	38451	NA	NA	38451	Sclerotinia minor	5179	Sclerotinia	28983	Sclerotiniaceae	4751	Fungi	2759	Eukaryota
NPO10161	Macaranga pleiostemona	Species	NA	NA	NA	NA	NA	109810	Macaranga	3977	Euphorbiaceae	33090	Viridiplantae	2759	Eukaryota
NPO10162	Cyclea burmanni	Species	NA	NA	NA	NA	NA	152372	Cyclea	3455	Menispermaceae	33090	Viridiplantae	2759	Eukaryota
NPO10163	Oreoherzogia fallax	Species	1441791	NA	NA	1441791	Oreoherzogia fallax	1948872	Oreoherzogia	3608	Rhamnaceae	33090	Viridiplantae	2759	Eukaryota
NPO10164	Convolvulus scammonia	Species	1428931	NA	NA	1428931	Convolvulus scammonia	4122	Convolvulus	4118	Convolvulaceae	33090	Viridiplantae	2759	Eukaryota
NPO10165	Haematomma porphyrium	Species	NA	NA	NA	NA	NA	312189	Haematomma	107434	Haematommataceae	4751	Fungi	2759	Eukaryota
NPO10166.1	Quercus petraea subsp. iberica	Subspecies	524999	524999	quercus petraea subsp. iberica	38865	Quercus petraea	3511	Quercus	3503	Fagaceae	33090	Viridiplantae	2759	Eukaryota
NPO10167	Collinsonia canadensis	Species	39289	NA	NA	39289	Collinsonia canadensis	39165	Collinsonia	4136	Lamiaceae	33090	Viridiplantae	2759	Eukaryota
NPO10169	Hypogymnia physodes	Species	87259	NA	NA	87259	Hypogymnia physodes	87258	Hypogymnia	78060	Parmeliaceae	4751	Fungi	2759	Eukaryota
NPO1017	Dendrobium gibsonii	Species	426116	NA	NA	426116	Dendrobium gibsonii	37818	Dendrobium	4747	Orchidaceae	33090	Viridiplantae	2759	Eukaryota
NPO10173	Billbergia buchholtzii	Species	NA	NA	NA	NA	NA	15119	Billbergia	4613	Bromeliaceae	33090	Viridiplantae	2759	Eukaryota
NPO10175	Anaptychia obscura	Species	NA	NA	NA	NA	NA	116787	Anaptychia	50934	Physciaceae	4751	Fungi	2759	Eukaryota
NPO10176	Chrozophora prostrata	Species	NA	NA	NA	NA	NA	316752	Chrozophora	3977	Euphorbiaceae	33090	Viridiplantae	2759	Eukaryota
NPO10177	Eria linearifolia	Species	NA	NA	NA	NA	NA	38200	Eria	4747	Orchidaceae	33090	Viridiplantae	2759	Eukaryota
NPO10178	Achillea chamaemelifolia	Species	282725	NA	NA	282725	Achillea chamaemelifolia	13328	Achillea	4210	Asteraceae	33090	Viridiplantae	2759	Eukaryota
NPO10181	Moullava digyna	Species	1712202	NA	NA	1712202	Moullava digyna	191941	Moullava	3803	Fabaceae	33090	Viridiplantae	2759	Eukaryota
NPO10183	Pinus peuce	Species	71646	NA	NA	71646	Pinus peuce	3337	Pinus	3318	Pinaceae	33090	Viridiplantae	2759	Eukaryota
NPO10187	Protoblastenia incrustans	Species	258895	NA	NA	258895	Protoblastenia incrustans	258891	Protoblastenia	258890	Psoraceae	4751	Fungi	2759	Eukaryota
NPO10188	Verbascum spinosum	Species	NA	NA	NA	NA	NA	39257	Verbascum	4149	Scrophulariaceae	33090	Viridiplantae	2759	Eukaryota
NPO10189	Abutilon theophrasti	Species	3631	NA	NA	3631	Abutilon theophrasti	3630	Abutilon	3629	Malvaceae	33090	Viridiplantae	2759	Eukaryota
NPO1019	Citrus hybr	Species	NA	NA	NA	NA	NA	2706	Citrus	23513	Rutaceae	33090	Viridiplantae	2759	Eukaryota
NPO10191	Ormosia balansae	Species	NA	NA	NA	NA	NA	1720826	Ormosia	43823	Limoniidae	33208	Metazoa	2759	Eukaryota
NPO10192	Anredera diffusa	Species	NA	NA	NA	NA	NA	46149	Anredera	3587	Basellaceae	33090	Viridiplantae	2759	Eukaryota
NPO10193	Agave tequilana	Species	386106	NA	NA	386106	Agave tequilana	39509	Agave	40552	Asparagaceae	33090	Viridiplantae	2759	Eukaryota
NPO10195	Hypomyces odoratus	Species	76883	NA	NA	76883	Hypomyces odoratus	5130	Hypomyces	5129	Hypocreaceae	4751	Fungi	2759	Eukaryota
NPO10196	Echinocereus blanckii	Species	NA	NA	NA	NA	NA	153853	Echinocereus	3593	Cactaceae	33090	Viridiplantae	2759	Eukaryota
NPO10197	Salvia roborowskii	Species	392684	NA	NA	392684	Salvia roborowskii	21880	Salvia	4136	Lamiaceae	33090	Viridiplantae	2759	Eukaryota
NPO10198	Protea barbigera	Species	NA	NA	NA	NA	NA	4331	Protea	4328	Proteaceae	33090	Viridiplantae	2759	Eukaryota
NPO10199	Leuconotis griffithii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NPO102	Fritillariae thunbrgii bulbus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NPO1020	Petrosimonia monandra	Species	NA	NA	NA	NA	NA	240099	Petrosimonia	1804623	Chenopodiaceae	33090	Viridiplantae	2759	Eukaryota
NPO10200	Pourouma cecropiifolia	Species	NA	NA	NA	NA	NA	241851	Pourouma	3499	Urticaceae	33090	Viridiplantae	2759	Eukaryota
NPO10205	Aspergillus puniceus	Species	41744	NA	NA	41744	Aspergillus puniceus	5052	Aspergillus	1131492	Aspergillaceae	4751	Fungi	2759	Eukaryota
NPO10206	Anthemis fuscata	Species	NA	NA	NA	NA	NA	99027	Anthemis	4210	Asteraceae	33090	Viridiplantae	2759	Eukaryota
NPO10207.1	Olea europaea subsp. cuspidata	Subspecies	129566	129566	olea europaea subsp. cuspidata	4146	Olea europaea	4145	Olea	4144	Oleaceae	33090	Viridiplantae	2759	Eukaryota
NPO1021	Centrosema haitiense	Species	NA	NA	NA	NA	NA	167616	Centrosema	3803	Fabaceae	33090	Viridiplantae	2759	Eukaryota
NPO10210	Artabotrys uncinatus	Species	NA	NA	NA	NA	NA	225832	Artabotrys	22140	Annonaceae	33090	Viridiplantae	2759	Eukaryota
NPO10211	Pajanelia multijuga	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NPO10212	Centaurea pullata	Species	347528	NA	NA	347528	Centaurea pullata	41503	Centaurea	4210	Asteraceae	33090	Viridiplantae	2759	Eukaryota
NPO10214	Epimedium wanshanense	Species	NA	NA	NA	NA	NA	63350	Epimedium	41773	Berberidaceae	33090	Viridiplantae	2759	Eukaryota
NPO10215	Thermopsis montana	Species	183296	NA	NA	183296	Thermopsis montana	49852	Thermopsis	3803	Fabaceae	33090	Viridiplantae	2759	Eukaryota
NPO10216	Leptocereus quadricostatus	Species	176266	NA	NA	176266	Leptocereus quadricostatus	153870	Leptocereus	3593	Cactaceae	33090	Viridiplantae	2759	Eukaryota
NPO10218	Gracilariopsis longissima	Species	172976	NA	NA	172976	Gracilariopsis longissima	2781	Gracilariopsis	31469	Gracilariaceae	NA	NA	2759	Eukaryota
NPO10219	Juniperus communis	Species	58039	NA	NA	58039	Juniperus communis	13100	Juniperus	3367	Cupressaceae	33090	Viridiplantae	2759	Eukaryota
NPO10219.1	Juniperus communis var. depressa	Varieties	884034	884034	Juniperus communis var. depressa	58039	Juniperus communis	13100	Juniperus	3367	Cupressaceae	33090	Viridiplantae	2759	Eukaryota
NPO10220	Lobelia davidii	Species	1715890	NA	NA	1715890	Lobelia davidii	4382	Lobelia	4381	Campanulaceae	33090	Viridiplantae	2759	Eukaryota
NPO10221	Streptomyces alboniger	Species	132473	NA	NA	132473	Streptomyces alboniger	1883	Streptomyces	2062	Streptomycetaceae	NA	NA	2	Bacteria
