Fraxinus americana
Pueraria candollei var. mirifica
Muntingia calabura 
Anaxagorea luzonensis A.GRAY
Anomianthus dulcis 
Artemisia campestris ssp. glutinosa 
Baccharis viminea
Centaurea pseudoscabiosa subsp.pseudoscabiosa Boiss.et aBuhse
Flourensia resinosa
Mikania hirsutissima 
Pajanelia multijuga
Heliotropium pycnophyllum
Lonicera japonica 
Chenopodium graveolens
Cistus populifolius
Escallonia spp.
Acacia constricta
Acacia neovernicosa
Ononis vaginalis
Oxytropis pseudoglandulosa
Spartium junceum 
Eriodictyon sessilifolium
Elsholtzia bodinieri
Scutellaria discolor 
Scutellaria orientalis 
Scutellaria strigillosa
Cypripedium macranthos var. rebunense
Passiflora caerulea 
Passiflora serratodigitata
Mimulus moschatus
Pinus aristata
Pinus excelsa 
Pinus monticola
Pinus spp. 
Pseudotsuga wilsoniana
Cheilanthes kaulfussii
Malus doumeri varl formosana
Prunus cerasus 
Adina cordifolia Roxb. 
Populus alba 
Populus alba var.pyramdalis 
Populus bejingensis
Populus canadensis
Populus davidiana
Populus pseudo
Populus spp.
Populus tomentosa
Populus xiaohei
Taxus chinensis
Ulmus sieboldiana
Apis mellifera ligustica 
Adenothamnus validus
Arnica longifolia
Artemisia barrelieri
Dubautia arborea
Hazardia squarrosa var. grindelioides
Wunderlichia crulsiana
Heliotropium stenophyllum
Nonea lutea
Nonea pulla
Eucryphia jinksii
Eucryphia lucida
Salvia euphratica
Salvia hypoleuca
Salvia lavandulaefolia
Salvia moorcroftiana 
Salvia officinalis 
Salvia sclarea 
Sideritis spp.
Teucrium marum 
Thymus membranaceus
Antirrhinum spp.
Sorghum durra
Notholaena californica
Petunia parviflora
Daphne sericea
Anthurium spp.
Brickellia vernicosa
Rhaponticum carthamoides 
Isatis indigotica 
Dalbergia parviflora 
Mentha aquatica L. 
Mentha spp. 
Rosmarinus officinalis 
Prunus persica 
Citrus aurantium L. var. amara 
Citrus spp.
Taxus fuana
Taxus yunnanensis
Mentha
Cryptotympana sp.
Chaetomium globasum
Cladosporium cladosporioides
Microascus tardifaciens
Angelica archangelica 
Angelica ursina Maxim
Cnidium monnieri 
Ferula sumbul 
Ferulago capillaris
Ferulago turcomanica
Heracleum canescens
Heracleum pinnatum
Peucedanum ostruthium 
Peucedanum rubricaule
Prangos bucharica
Prangos pabularia 
Seseli gummiferum subsp.corymbosum
Seseli sibiricum 
Agrimonia pilosa var.japonica 
Citrus maxima 
Citrus sinensis 
Cneoridium spp.
Flindersia bennettiana
Haplophyllum spp.
Melicope semecarpifolia
Murraya paniculata 
Archangelicia tschimganica
Clausenia spp.
Rhus parviflora 
Annona purpurea 
Guatteria rupestris
Trachelospermum asiaticum var.intermedium 
Tetrapanax papyriferus
Clibadium spp.
Epimedium sagittatum 
Alnus japonica 
Warburgia stuhlmannii 
Chenopodium murale 
Garcinia bancana MIQ 
Cornus controversa 
Cornus kousa
Kalanchoe spathulata
Raphanus sativus 
Davidsonia pruriens 
Dryopteris crassirhizoma
Ephedra sinica 
Euphorbia lunulata 
Excoecaria cochinchinensis var.viridis 
Mallotus metcalfianus
Afzelia spp.
Flemingia stricta 
Millettia zechiana
Sindora siamensis
Geranium rotundifolium 
Dicranopteris pedata
Dicranopteris spp.
Juglans mandshurica
Ajuga remota 
Beilschmiedia miersii
Dendrophthoe falcata 
Hyphear tanakae
Nymphaea caerulea
Nymphaea odorata 
Ochna beddomei 
Heterogaura heterandra
Phyllanthus emblica 
Abies amabilis
Piper umbellatum 
Platanus acerifolia
Polygala chinensis 
Ochradenus baccatus 
Agrimonia eupatoria 
Euodia alata
Leptothyrsa sprucei
Zanthoxylum culantrillo
Houttuynia cordata 
Heuchera spp.
Lithophragma spp.
Rodgersia podophylla 
Zingiber aromaticum 
Zingiber zerumbet 
Sarcolaeana multiflora
Aspergillus flavus
Aspergillus nomius
Aspergillus parasiticus
Acanthus ilicifolius 
Blepharis sindica
Allium Sativum
Mangifera indica 
Artabotrys uncinatus 
Apium graveolens 
Asparagus officinalis 
Asphodeline globifera
Bulbine capitata
Achillea atrata L.ssp.multifida
Achillea clavennae
Achillea millefolium 
Amberboa ramosa 
Anthemis altissima 
Artemisia vestita 
Baccharis gaudichaudiana
Bellis perennis 
Bidens tripartita 
Chamomilla recutina
Chamomilla recutita (L.) Rauschert 
Chrysanthemum boreale
Chrysanthemum cineraiaefolium
Chrysothamnus nauseosus
Gaillardia aristata Pursh.
Gnaphalium affine 
Helichrysum graveolen
Lactuca indica 
Laennecia sophiifolia (Kunth) G.L.Nesom
Onopordum acanthium 
Picris cyanocarpa
Picris kamtschatica
Santolina chamaecyperissus
Saussurea medusa
Scorzonera divaricata
Sonchus arvensis 
Tanacetum parthenium (L.) Schulz Bip. 
Tanacetum vulgare L. 
Taraxacum officinale 
Epimedium acuminatum
Epimedium brevicornum 
Epimedium davidii
Epimedium dolichostemen
Epimedium fargesii
Epimedium franchetii
Epimedium koreanum 
Epimedium leishanense
Epimedium leptorrhizum
Epimedium membranaceum
Epimedium myrianthum
Epimedium pauciflorum
Epimedium pubescens 
Epimedium stellatum
Epimedium wushanense 
Epimedium zhenbaense
Epimedium zhushanense
Betula nigra 
Campsis grandiflora
Newbouldia laevis 
Onosma hispida 
Aechmea glomerata
Buddleja officinalis 
Calophyllum pinetorum
Cannabis indica
Cannabis inflorescences
Cannabis sativa 
Capparis himalayensis
Lychnis flos
Melandrium album 
Cephalotaxus fortunei
Cephalotaxus koreana
Cephalotaxus wilsoniana
Cochlospermum gillivraei
Garcinia bracteata
Garcinia dulcis 
Garcinia multiflora 
Garcinia neglecta
Rhodiola kirilowii
Rhodiola rosea 
Brassica oleracea 
Chamaecyparis pisifera
Leiothrix curvifolia
Cladogynos orientalis
Acacia aroma 
Cadia purpurea
Genista ephedroides
Indigofera tetrantha
Kummerowia striata 
Lespedeza virgata
Medicago truncatula
Mimosa hostilis
Gentiana triflora
Xiphidium caeruleum 
Enhalus acoroides
Halophila johnsonii
Halophila stipulacea
Thalassia testudinum
Anisomeles indica 
Leucas aspera 
Mentha pulegium 
Mentha x piperita
Microtoena prainiana
Ocimum americanum L.var.pilosum (Willd.) Paton 
Ocimum kilimandscharicum L. 
Ocimum minimum L. 
Ocimum sanctum 
Ocimum tenuiflorum L. 
Ocimum x citriodorum Vis.
Phlomis nissolii
Pogostemon cablin 
Salvia aegyptiaca 
Salvia albimaculata
Salvia glutinosa 
Salvia horminum 
Salvia kopolnovii
Salvia lavandulifolia 
Salvia limbata
Salvia nemorosa
Salvia palaestina
Salvia pedicellata
Salvia pinnata
Salvia pratensis 
Salvia staminea
Salvia verbenaca 
Salvia yosgadensis
Satureja subspicata 
Schnabelia tetradonta
Scutellaria barbata 
Scutellaria karjagini
Sideritis argosphacelus var. spicata
Thymus serpyllum 
Punica granatum 
Theobroma cacao L. 
Ibicella lutea
Ficus formosana
Ficus hirta 
Nymphaea alba 
Bletilla formosana
Pinus sibirica
Antirrhinum majus 
Bacopa monniera
Veronica spicata
Zea mays 
Podocarpus fasciculus
Polygonum cuspidatum 
Cheilanthes bullosa
Notholaena candida
Aquilegia ecalcarata
Reseda muricata C.Presl.
Agrimonia pilosa 
Physocarpus capitatus
Prunus avium 
Spiraea hypericifolia
Casearia ilicifolia
Sapindus mukorossi 
Leucophyllum ambiguum
Verbascum lychnitis
Petunia hybrida
Daphne genkwa Sieb.et Zucc. 
Boehmeria nivea
Vittaria anguste
Larrea divaricata 
Larrea tridentata 
Echinop ritro
Paraburkholderia phymatum
Sabina chinensis
Selaginella tamariscina 
Silybum marianum 
Begonia nantoensis
Arachis hypogaea 
Morus alba 
Cneorum pulverulentum
Cneorum tricoccum
Viscum coloratum 
Rhus javanica 
Toxicodendron semilata
Toxicodendron vernicifluum
Baeria chrysostoma
Bidens spp.
Coreopsis maritima
Dahlia variabilis 
Viguiera eriophora
Viguiera multiflora
Acacia spp. 
Butea frondosa 
Caesalpinia japonica
Robinia pseudoacacia 
Homo sapiens (Urine)
Semecarpus vitiensis
Conyza bonariensis 
Erigeron breviscapus 
Betula luminifera
Cercidiphyllum japonicum var.sinense
Terminalia chebula 
Luffa cylindrica 
Gaultheria spp.
Illicium fargesii
Persea americana 
Nelumbo nucifera 
Gymnadenia conopsea R.BR.
Posidonia oceanica 
Ziziphus jujuba 
Uncaria gambir 
Vitis vinifera 
FOOD SAKE
Datisca cannabina 
Hydrocotyle sibthorpioides 
Artemisia annua 
Eupatorium odoratum 
Liatris squarrosa
Impatiens siculifer
Scabiosa comosa
Amburana cearensis
Dalea tuberculata
Dipteryx odorata 
Dipteryx punctata 
Hypericum japonicum 
Cinnamomum burmannii Nees ex BI 
Cinnamomum cassia 
Cinnamomum loureirii 
Ficus simplicissima
Picea abies 
Verbascum thapsus 

Alyxia lucida
Torresea cearensis
Spinacia oleracea 
Bituminaria morisiana
Cullen corylifolium
Dolichos biflorus 
Glycine canescens
Glycine clandestina
Glycine falcata
Glycine latifolia
Glycine max 
Glycine tabacina
Glycine tomentella
Medicago spp.
Melilotus messanensis
Phaseolus coccineus 
Phaseolus lunatus 
Phaseolus spp.
Pisum sativum 
Pueraria lobata 
Pueraria mirifica 
Pueraria montana var. lobata
Trifolium fragiferum
Vigna unguiculata 
Pseudomonas putida
Inonotus obliquus 
Phellinus igniarius 
Actinidia arguta 
Actinidia callosa var.henryi 
Actinidia chinensis 
Actinidia chrysantha
Actinidia deliciosa 
Actinidia eriantha
Actinidia glaucophylla
Actinidia latifolia
Actinidia polygama 
Actinidia rubricaulis var.coriacea
Ligusticum chuanxiong 
Ostericum koreanum
Cryptolepis sinensis
Ilex chinensis 
Amorphophallus konjac K.Koch 
Pinellia ternata 
Blumea balsamifera 
Centaurea bracteata Scop.
Inula britannica 
Opuntia dillenii HAW. 
Calophyllum polyanthum
Carica papaya 
Cibotium barometz 
Hylotelephium mingjinianum
Amphibolis antarctica
Amphibolis griffithii
Cymodocea rotundata
Cymodocea serrulata
Halodule uninervis
Halodule wrightii
Syringodium filiforme
Syringodium isoetifolium
Thalassodendron ciliatum
Cyperus rotundus L. 
Hippophae rhamnoides 
Ephedra aphylla
Ephedra equisetina 
Erica australis
Pyrola calliantha 
Eriocaulon buergerianum
Eucommia ulmoides Oliver 
Lespedeza bicolor 
Pelargonium reniforme
Pelargonium sidoides 
Halophila engelmannii
Halophila hawaiiana
Thalassia ciliatum
Thalassia hemprichii
Curculigo pilosa 
Crocus sativus 
Orthosiphon stamineus 
Salvia bowleyana
Salvia bulleyana 
Salvia castanea 
Salvia digitaloides 
Salvia flava 
Salvia plebeia 
Salvia prionitis 
Salvia przewalskii 
Salvia sinica
Salvia sonchifolia
Salvia trijuga
Salvia yunnanensis
Taxillus levinei
Gossypium hirsutum L. 
Hibiscus sabdariffa L. 
Brosimopsis acutifolium
Eucalyptus grandis 
Eugenia edulis 
Myrciaria cauliflora 
Bulbophyllum vaginatum
Trachycarpus fortunei 
Picea ajanensis
Picea koraiensis
Picea obovata
Pinus roxburghii 
Pseudolarix kaempferi Gord. 
Picrorhiza kurrooa
Picrorhiza kurrosa
Plantago lanceolata 
Plantago media 
Veronica peregrina L. 
Oryza sativa cv. Heugjinjubyeo 
Fagopyrum spp
Fagopyrum spp.
Pyrrosia sheareri
Actaea racemosa 
Rhamnus disperma
Cowania mexicana 
Mespilus germanica 
Rosa canina 
Zanthoxylum piperitum 
Viscum articulactum
Taxus baccata 
Typha angustata 
Alpinia oxyphylla 
Phyllospadix scouleri
Zostera capricorni
Zostera marina
Monascus pilosus BCRC38072
Andrographis paniculata 
Actinidia polygana
Sambucus formosana
Conium maculatum 
Eryngium yuccifolium
Glehnia littoralis 
Sanicula europaea 
Ilex paraguariensis 
Adenocaulon adhaerescens
Anthemis nobilis 
Artemisia capillaris 
Aster salignus
Conyza blinii
Dichrocephala bicolor 
Pterocaulon virgatum 
Solidago altissima L.
Solidago virgaurea var.leiocarpa 
Taraxacum formosanum
Taraxacum mongolicum 
Xanthium strumarium 
Balanophora japonica
Blechnum orientale 
Brainea insignis
Woodwardia orientalis
Woodwardia prolifera
Lithospermum erythrorhizon 
Humulus lupulus 
Lonicera fulvotomentosa
Lonicera similis
Beta vulgaris 
Sarcandra glabra 
Cuscuta australis 
Evolvulus alsinoides 
Pharbitis nil 
Bryophyllum pinnatum 
Rhodiola crenulata (HOOK.f.et Thoms.) H.OHBA
Rhodiola sachalinensis 
Sedum takesimense Nakai
Arabidopsis thaliana
Brassica oleracea var. gongylodes 
Momordica charantia 
Dipsacus asper
Equisetum hiemale
Eucommia ulmoides 
Aeschynomene americana
Arachis glabrata
Astragalus arguricus
Astragalus ciceroides
Astragalus flexus
Astragalus floccosifolius
Astragalus levieri
Astragalus onobrychis
Astragalus quisqualis
Astragalus saganlugensis
Cicer arietinum 
Erythrina variegata 
Lathyrus spp.
Lotus corniculatus 
Lotus japonicus
Melilotus officinalis 
Onobrychis arenaria
Pueraria phaseoloides 
Sophora flavescens 
Sophora japonica 
Tephrosia candida
Tephrosia purpurea 
Tetrapleura tetraptera 
Anigozanthos preissii
Halophila minor
Hypericum laricifolium
Elsholtzia rugulosa Hemsl.
Mentha haplocalyx 
Mentha piperitae
Ocimum basilicum 
Perilla frutescens var.acuta. 
Phlomis tuberosa
Salvia calycina
Salvia chinensis
Salvia triloba 
Scutellaria albida subsp.albida
Sideritis catillaris
Thymus vulgaris 
Magnolia denudata 
Magnolia liliiflora 
Gossypium barbadense 
Hibiscus taiwanensis
Eucalyptus globulus 
Forsythia intermedia
Papaver somniferum 
Harpagophytum procumbens 
Pellia epiphylla
Digitalis purpurea 
Ceratostigma willmottianum
Panicum virgatum
Triticum aestivum 
Calligonum leucocladum
Polygonum aviculare 
Posidonia australis
Pteris multifida 
Cimicifuga dahurica 
Cimicifuga foetida 
Ranunculus baudotii
Aruncus diocus
Crataegus pinnatifida 
Cinchona cuprea
Coffea arabica 
Uncaria sinensis 
Populus deltoides
Populus pseudosimonii
Populus trichocarpa
Salvinia molesta D.S.Mitch.
Dodonaea viscosa 
Leptolaena diospyroidea
Leptolaena pauciflora
Scrophularia buergeriana
Datura innoxia 
Solanum acaule
Solanum bulbocastanum
Solanum canasense
Solanum cardiophyllum
Solanum chacoense
Solanum commersonii 
Solanum fendleri 
Solanum habrochaites
Solanum hougasii
Solanum lycopersicum 
Solanum multidissectum
Solanum neorickii
Solanum parviflorum
Solanum pennellii
Solanum phureja
Solanum pimpinellifollium
Solanum pinnacritisectum
Solanum tarijense
Typha domingensis P. 
Boehmeria holosericea
Boehmeria tricuspis
Urtica dioica 
Valeriana jatamansii 
Valeriana officinalis 
Phyllospadix serrulatus
Phyllospadix torreyi
Zostera muelleri
Zostera noltii
Acinidia rubricaulis var.coriacea
Antitoxicum scanden
Bergera koenegii
Equsetum arvense
Struthiopteris amabilis
Struthiopteris niponica
Streptoverticillium album K
Froelichia floridana
Bituminaria acaulis
Genista lydia
Pueraria spp.
Pueraria tuberosa 
Retama sphaerocarpa 
Chrysothamnus viscidiflorus
Eupatorium subhastatum 
Filifolium sibiricum
Helichrysum bracteatum (Vent.)Andr.
Tessaria dodoneifolia
Garcinia conrauana
Garcinia livingstonei 
Lyonia ovalifolia 
Eysenhardtia subcoriacea Pennell
Eriodictyon californicum 
Mentha longifolia 
Prunus armygdalus
Citrus unshiu Markovich 
Euscaphis konishii
Saracha punctata
Pseudomonas pseudoalcaligenes
Allium cepa 
Angelica acutiloba (Hokkado) 
Angelica acutiloba (Toyama) 
Angelica sinensis 
Ferula assafoetida 
Ferula foetida 
Levisticum officinale 
Ligusticum brachylobum 
Ligusticum chuanxiong HORT. 
Ligusticum jeholense
Ligusticum sinense 
Ligusticum sinense cv.chaxiong 
Notopterygium incisum 
Opopanax chironicum
Cynanchum thesioides 
Periploca graeca 
Aristolochia heterophylla Hemsl 
Aristolochia manshuriensis
Conyza schimperi
Petasites formosanus 
Catalpa ovata 
Ananas comosus 
Opuntia dellenii
Opuntia ficus
Codonopsis pilosula 
Capparis spinosa 
Arenaria kansuensis var.ovatipeatala
Dichorisandra thyrsiflora
Brassica oleracea L. ssp. Botrytis 
Isatis tinctoria 
Cyperus papyrus 
Macaranga triloba
Lens esculenta 
Corydalis decumbens 
Aeschynanthus bracteatus 
Juncus inflexus
Ajuga iva 
Cinnamomum subavenium
Cinnamomum tenuifolium
Notholirion hyacinthinum
Huperzia selago
Lycopodium japonicum
Malva silvestris 
Azadirachta indica 
Phoenix canariensis 
Pinus laricio
Tsuga heterophylla 
Picrorhiza scrophulariiflora 
Gynerium sagittatum 
Maize bran
Oryza sativa 
Phleum pratense 
Phyllostachys edulis
Cimicifuga heracleifolia 
Cimicifuga racemosa 
Coptis chinensis 
Baloskion tetraphyllum
Elegia capensis
Colubrina faralaotra subsp.trichocarpa.
Ziziphus jujuba var.spinosa 
Citrus limonia 
Citrus sudachi 
Capsicum annuum 
Nicotiana tabacum 
Solanum stoloniferum
Strelitzia reginae 
Typha orientalis 
Sparganium stoloniferum
Valeriana laxiflora
Hedychium gardnerianum
Tribulus terrestris 
Aganosma caryophyllata
Conioselium vaginatum
Siegesbeckia orientalis var.glabrescens 
Wachendorfa thyrsiflora
Acca sellowiana
Feijoa sellowiana 
Dionysia spp.
Primula spp.
Pimelea decora
Pimelea simplex
Pistacia chinensis 
Rhus cotinus
Rhus spp.
Rhus sylvestris
Schinopsis spp.
Toxicodendron succedaneum
Garcinia kola 
Acacia adunca
Acacia baileyana
Acacia berlandieri
Acacia buxifolia
Acacia calamifolia
Acacia cardiophylla
Acacia carnei
Acacia catechu 
Acacia chrysotricha
Acacia clunies
Acacia constablei
Acacia crombei
Acacia dealbata
Acacia deanei
Acacia decora
Acacia elata
Acacia falciformis
Acacia filicifolia
Acacia greggii
Acacia irrorata
Acacia kettlewelliae
Acacia lanigera
Acacia leucoclada
Acacia mabellae
Acacia mearnsii 
Acacia mollifolia
Acacia montana
Acacia oshanesii
Acacia parramattensis
Acacia peuce
Acacia pycnantha
Acacia rubida
Acacia silvestris
Acacia trachyphloia
Albizia pedicellata
Albizia splendens
Anthyllis vulneraria 
Archidendron clypearia 
Colophospermum mopane Kirk ex.J.Leonard 
Cytisus albus
Cytisus austriacus
Cytisus cantabricus
Cytisus commutatus
Cytisus eriocarpus
Cytisus procumbens
Cytisus proliferus
Cytisus striatus
Genista canariensis
Genista cinerea
Genista florida
Genista microphylla
Genista obtusiramea
Genista pulchella
Genista ramosissima
Genista sericea
Genista sessilifolia
Genista stenopetala
Genista subcapitata
Genista valentina
Genista versicolor
Gleditsia spp.
Gleditsia triacanthos 
Hesperolaburnum platycarpum
Lembotropis nigricans
Millettia racemosa 
Myroxylon peruiferum 
Petteria ramentacea
Sophora secundiflora 
Umtiza listerana
Virgilia oroboides
Xanthocercis zambesiaca
Quebracho colorado
Bupleurum scorzonerifolium 
Aloe vera 
Erythroxylum ulei
Acacia binervata
Acacia concurrens
Acacia cultriformis
Acacia decurrens
Acacia fimbriata
Acacia holosericea 
Acacia longifolia
Acacia melanoxylon 
Acacia neriifolia
Acacia obtusifolia
Acacia oswaldii
Acacia retinodes
Acacia rigens
Acacia terminalis
Acacia verniciflua
Acacia vestita
Adenocarpus decorticans
Adenocarpus foliolosus
Amphicarpaea bracteata
Andira inermis 
Apios americana 
Baptisia alba
Baptisia tinctoria 
Bowdichia nitida
Cajanus cajan 
Cajanus scarabaeoides
Calicotome spinosa
Calicotome villosa 
Calopogonium caeruleum
Camptosema rubicundum
Canavalia eurycarpa
Canavalia gladiata 
Clitoria falcata
Clitoria ternatea 
Crotalaria juncea 
Cytisus baeticus
Cytisus fontanesii
Cytisus ratisbonensis
Cytisus scoparius 
Derris scandens 
Desmodium gangeticum 
Desmodium uncinatum
Dipogon lignosus
Dunbaria villosa
Echinosophora koreensis
Echinospartum horridum
Erinacea anthyllis
Eriosema glomeratum 
Eriosema nutans
Eriosema psoraleoides
Erythrina burttii
Erythrina indica 
Erythrina latissima
Euchresta formosana
Flemingia macrophylla 
Flemingia philippinensis
Flemingia strobilifera 
Galactia jussiaeana
Genista acanthoclada
Genista albida
Genista anglica
Genista cupanii
Genista depressa
Genista hispanica
Genista hystrix
Genista linifolia
Genista lobelii
Genista monspessulana
Genista morisii
Genista radiata
Genista sagittalis
Genista salzmannii
Genista scorpius
Genista spartioides
Genista tinctoria 
Genista triacanthos
Genista tridens
Genista tridentata
Genista ulicina
Hardenbergia violacea
Kennedia coccinea
Kennedia nigricans
Kennedia procurrens
Kennedia rubicunda
Lablab purpureus 
Laburnum anagyroides 
Lespedeza cyrtobotrya
Lespedeza juncea
Lupinus albus 
Lupinus arboreus
Lupinus arcticus
Lupinus elegans
Lupinus luteus 
Lupinus mutabilis
Lupinus nanus
Lupinus pilosus
Lupinus sericeus
Lupinus subcarnosus
Lupinus texensis
Maackia amurensis 
Macroptilium bracteatum
Macroptilium lathyroides
Macroptilium martii
Millettia dielsiana
Mucuna pruriens 
Neonotonia wightii
Neorautanenia amboensis
Ononis spinosa 
Ormosia monosperma
Otholobium bolusii
Otholobium bracteolatum
Otholobium candicans
Otholobium hirtum
Otholobium spicatum
Otholobium striatum
Otholobium uncinatum
Otholobium wilmsii
Pericopsis laxiflora 
Piptanthus nepalensis
Pseudeminia comosa
Pseudoeriosema borianii
Pseudovigna argentea 
Psoralea aculeata
Psoralea arborea
Psoralea axillaris
Psoralea corylifolia 
Psoralea effusa
Psoralea fascicularis
Psoralea laxa
Psoralea oligophylla
Psoralea repens
Pterocarpus angolensis 
Pterocarpus marsupium 
Retama monosperma
Retama raetam 
Rhynchosia caribaea
Rhynchosia densiflora
Rhynchosia hirsuta
Rhynchosia phaseoloides
Rhynchosia pyramidalis
Sophora subprostrata
Strongylodon macrobotrys
Tephrosia toxicaria
Teyleria koordersii
Thermopsis alterniflora
Trifolium campestre
Trifolium globosum
Trifolium pannonicum 
Trifolium spp.
Ulex boivinii
Ulex europaeus 
Ulex gallii
Ulex genistoides
Ulex micranthus
Ulex minor
Ulex parviflorus
Vandasina retusa
Vigna angularis 
Vigna mungo 
Vigna subterranea 
Wisteria brachybotrys
Hypericum scabrum 
Cudrania cochinchinensis 
Cudrania cochinchinensis var. gerontogea 
Ficus cordata
Ficus nymphaeifolia 
Ficus septica
Zea mays L. 
Securidaca inappendiculata
Prunus spp. 
Zingiber officinale 
Fagelia bituminosa
Halotydeus destructor
Sarcolobus globosus
Slackia isoflavoniconvertens
Stemphilium sp. No. 644
Agapanthus africanus 
Allium ascalonicum 
Allium chinense 
Crinum bulbispermum Milne
Pancratium maritimum L.
Tithonia  brachypappa
Viguiera spp.
Dracaena draco 
Acacia rhodoxylon
Bauhinia manca
Dalbergia ecastaphyllum 
Dalbergia sericea
Dalbergia stevensonii
Flemingia chappar
Glycyrrhiza glara
Glycyrrhiza pallidiflora
Glycyrrhiza sp.
Glycyrrhiza yunnanensis
Millettia usaramensis subsp. usaramensis 
Onobrychis viciifolia Scop. 
Psorothamnus arborescens
Pterocarpus santalinus 
Robinia paeudoacacia
Sophora gypsophila
Sophora tomentosa 
Zollernia paraensis
Brosimum acutifolium 
Broussonetia papyrifera 
Petroselinum spp.
Pimpinella anisum 
Xanthium canadense
Arbutus unedo 
Vaccinium vitis
Gastrodia elata 
Pinus resinosa
Decussocarpus wallichianus
Protea mellifera 
Pyrus communis 
Dysidea cf.cristagalli
Ageratina tomentella
Ambrosia hispida 
Arnica montana cv.ARBO 
Baccharis gaudichaudiana DC
Centaurea clementei
Centaurea hierapolitana
Cirsium oligophyllum
Eriocephalus punctulatus
Inula viscosa 
Iva frutescens
Jasonia tuberosa 
Plummera ambigens
Plummera floribunda
Ratibida columnaris
Tithonia diversifolia 
Euphorbia larica
Ononis leiosperma
Belamcanda chinensis 
Clerodendrum phlomidis 
Scutellaria irzewalskii
Digitalis lanata 
Digitalis orientalis
Lantana camera L.
Phyllospadix iwatensis
Phyllospadix japonicus
Annona crassiflora 
Annona monticola
Annona muricata 
Annona tomentosa
Annona warmingiana
Bocagea sp.nov.
Guatteria australis
Guatteria notabilis
Guatteria villosissima
Porcelia macrocarpa
