ACANTHACEAE#DICLIPTERA ROXBURGHIANA#KAEMPFEROL
AMARANTHACEAE#AERVA JAVANICA_VAR.BOVI#KAEMPFEROL-3-O-ROBINOSIDE
AMARANTHACEAE#AMARANTHUS BLITOIDES#KAEMPFEROL-3-GLUCOSIDE-7-RHAMNOSIDE
AMARANTHACEAE#AMARANTHUS GRAECIZANS#KAEMPFEROL-3-GLUCOSIDE-7-RHAMNOSIDE
AMARANTHACEAE#AMARANTHUS HYBRIDUS#KAEMPFEROL-3-GLUCOSIDE-7-RHAMNOSIDE
AMARANTHACEAE#AMARANTHUS VIRIDIS#KAEMPFEROL-3-GLUCOSIDE-7-RHAMNOSIDE
AMARANTHACEAE#FROELICHIA FLORIDANA#KAEMPFEROL,3-O-(CIS-PARA-COUMAROYL)-BETA-D-GLUCOSIDE:
AMARYLLIDACEAE#CRINUM BULBISPERMUM#KAEMPFEROL-3-XYLOSIDE
AMARYLLIDACEAE#HIPPEASTRUM VITTATUM#KAEMPFEROL-3-XYLOSIDE
AMARYLLIDACEAE#PANCRATIUM MARITIMUM#KAEMPFEROL-3-4'-DIXYLOSIDE#KAEMPFEROL-3-XYLOSIDE
AMARYLLIDACEAE#ZEPHYRANTHES CANDIDA#KAEMPFEROL-3-O-ALPHA-L-RHAMNOSIDE
ANACARDIACEAE#ACTINOCHEITA FILICINA#RESOKAEMPFEROL
ANACARDIACEAE#ANACARDIUM OCCIDENTALE#KAEMPFEROL
ANACARDIACEAE#CHOEROSPONDIAS AXILLARIS#KAEMPFEROL#KAEMPFEROL-5-O-ARABINOSIDE
ANACARDIACEAE#HOLIGARNA ARNOTTIANA#KAEMPFEROL
ANACARDIACEAE#LANNEA COROMANDELICA#KAEMPFEROL,DIHYDRO: 4'-7-DI-O-METHYL: (+): (2R-3R):
ANACARDIACEAE#MALOSMA LAURINA#RESOKAEMPFEROL
ANACARDIACEAE#MANGIFERA INDICA#KAEMPFEROL#KAEMPFEROL METHYL ETHER
ANACARDIACEAE#METOPIUM BROWNEI#RESOKAEMPFEROL
ANACARDIACEAE#METOPIUM TOXIFERUM#RESOKAEMPFEROL
ANACARDIACEAE#POUPARTIA BIRREA#KAEMPFEROL-3-GALLOYL-GLUCOSIDE
ANACARDIACEAE#RHUS CHONDROLOMA#RESOKAEMPFEROL
ANACARDIACEAE#RHUS COPALLINA#RESOKAEMPFEROL
ANACARDIACEAE#RHUS CORIARIA#KAEMPFEROL
ANACARDIACEAE#RHUS GLABRA#RESOKAEMPFEROL
ANACARDIACEAE#RHUS LANCEA#KAEMPFEROL
ANACARDIACEAE#RHUS MICROPHYLLA#RESOKAEMPFEROL
ANACARDIACEAE#RHUS MYSORENSIS#KAEMPFEROL#KAEMPFEROL-3-O-RHAMNOSIDE
ANACARDIACEAE#RHUS PARVIFLORA#KAEMPFEROL
ANACARDIACEAE#RHUS RUBIFOLIA#RESOKAEMPFEROL
ANACARDIACEAE#RHUS SALICIFOLIA#KAEMPFEROL
ANACARDIACEAE#RHUS SEMIALATA#RESOKAEMPFEROL
ANACARDIACEAE#RHUS SUCCEDANEA#RESOKAEMPFEROL
ANACARDIACEAE#RHUS TYPHINA#KAEMPFEROL
ANACARDIACEAE#RHUS VIRENS#RESOKAEMPFEROL
ANACARDIACEAE#RHUS WALLICHII#KAEMPFEROL
ANACARDIACEAE#SCHINUS POLYGAMUS#KAEMPFEROL
ANACARDIACEAE#SEARSIA POTANINI#KAEMPFEROL
ANACARDIACEAE#SEARSIA SALICIFOLIA#KAEMPFEROL
ANACARDIACEAE#SEARSIA UNDULATA#KAEMPFEROL
ANACARDIACEAE#SEMECARPUS KURZII#KAEMPFEROL-3-O-BETA-D-GLUCOPYRANOSIDE-4'-O-ALPHA-L-RHAMNOPYRANOSIDE
ANACARDIACEAE#SEMECARPUS VITIENSIS#KAEMPFEROL
ANACARDIACEAE#TOXICODENDRON RADICANS#KAEMPFEROL
ANACARDIACEAE#TOXICODENDRON SEMIALATUM#RESOKAEMPFEROL
ANACARDIACEAE#TOXICODENDRON SUCCEDANEUM#RESOKAEMPFEROL
ANACARDIACEAE#TOXICODENDRON VERNICIFLUUM#KAEMPFEROL
ANNONACEAE#ANAXAGOREA LUZONENSIS#KAEMPFEROL#KAEMPFEROL-3-7-DI-O-BETA-D-GLUCOSIDE
ANNONACEAE#ANNONA AMBOTAY#KAEMPFEROL#KAEMPFEROL,DIHYDRO: (-):
ANNONACEAE#ANNONA TOMENTOSA#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
ANNONACEAE#ANNONA WARMINGIANA#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
ANNONACEAE#ARTABOTRYS ODORATISSIMUS#KAEMPFEROL
ANNONACEAE#BOCAGEA LONGIPEDUNCULATA#KAEMPFEROL-3-O-GLUCOSYL-GLUCOSIDE#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
ANNONACEAE#CANANGA LATIFOLIA#KAEMPFEROL-3-O-BETA-D-GLUCOSYL-RHAMNOSIDE#KAEMPFEROL-PARA-COUMAROYL-ARABINOSIDE
ANNONACEAE#CARDIOPETALUM CALOPHYLLUM#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
ANNONACEAE#CYMBOPETALUM ENEURUM#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
ANNONACEAE#DUGUETIA BAHIENSIS#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
ANNONACEAE#DUGUETIA CHRYSOCARPA#KAEMPFEROL-3-O-GLUCOSYL-GLUCOSIDE
ANNONACEAE#DUGUETIA FURFURACEA#KAEMPFEROL,3-O-GALACTOSIDE:
ANNONACEAE#FISSISTIGMA CAPITATUM#KAEMPFEROL-3-7-DI-ALPHA-L-RHAMNOPYRANOSIDE
ANNONACEAE#GUATTERIA AUSTRALIS#KAEMPFEROL,3-O-GALACTOSIDE:
ANNONACEAE#GUATTERIA RUPESTRIS#KAEMPFEROL-3-O-ARABINOSIDE#KAEMPFEROL-3-O-GLUCOSYL-RHAMNOSIDE#KAEMPFEROL-3-O-RHAMNOSIDE#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
ANNONACEAE#GUATTERIA VILLOSISSIMA#KAEMPFEROL-3-O-ARABINOSIDE#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
ANNONACEAE#HORNSCHUCHIA MYRTILUS#KAEMPFEROL-3-O-GALACTOSYL-RHAMNOSIDE#KAEMPFEROL-3-O-RHAMNOSYL-GALACTOSIDE#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
ANNONACEAE#PORCELIA MACROCARPA#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
ANNONACEAE#TRIGYNAEA OBLONGIFOLIA#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
ANNONACEAE#XYLOPIA AROMATICA#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
ANNONACEAE#XYLOPIA EMARGINATA#KAEMPFEROL-3-O-ARABINOSIDE
APIACEAE#AMMI MAJUS#KAEMPFEROL-3-O-BETA-D-GLUCURONIDE#KAEMPFEROL-3-O-[2''-(4''-ACETYL-RHAMNOSYL)(1-2)-6''-GLUCOSYL]-GLUCOSIDE
APIACEAE#AMMI VISNAGA#KAEMPFEROL
APIACEAE#ANETHUM GRAVEOLENS#KAEMPFEROL GLYCOFLAVONE#KAEMPFEROL,4'-METHOXY:#KAEMPFEROL-3-O-BETA-D-GLUCURONIDE
APIACEAE#ANGELICA GIGAS#KAEMPFEROL
APIACEAE#APIUM LEPTOPHYLLUM#KAEMPFEROL-3-O-BETA-D-GLUCURONIDE
APIACEAE#ARTEDIA SQUAMATA#KAEMPFEROL GLUCOSIDE
APIACEAE#BUPLEURUM ACIPHYLLUM#KAEMPFEROL GLYCOSIDE
APIACEAE#BUPLEURUM AJANENSE#KAEMPFEROL
APIACEAE#BUPLEURUM AMERICANUM#KAEMPFEROL
APIACEAE#BUPLEURUM ARCTICUM#KAEMPFEROL
APIACEAE#BUPLEURUM CHINENSE#ANALGESIC ACTIVITY#KAEMPFEROL#KAEMPFEROL-3-O-ALPHA-L-FURANOARABINOSIDE-7-O-ALPHA-L-PYRANORHAMNOSIDE#KAEMPFEROL-7-O-ALPHA-L-RHAMNOSIDE#KAEMPFEROL-7-RHAMNOSIDE
APIACEAE#BUPLEURUM HAMILTONII#KAEMPFEROL
APIACEAE#BUPLEURUM SCORZONERIFOLIUM#ANALGESIC ACTIVITY#KAEMPFEROL-7-O-ALPHA-L-RHAMNOSIDE
APIACEAE#CAPNOPHYLLUM PEREGRINUM#KAEMPFEROL
APIACEAE#CARUM CARVI#KAEMPFEROL
APIACEAE#CENTELLA ASIATICA#KAEMPFEROL#KAEMPFEROL-3-O-BETA-D-GLUCURONIDE
APIACEAE#CICUTA VIROSA#KAEMPFEROL
APIACEAE#CORIANDRUM SATIVUM#KAEMPFEROL-3-O-ALPHA-L-(2-3-DI-TRANS-PARA-COUMAROYL-RHAMNOPYRANOSIDE):#KAEMPFEROL-3-O-ALPHA-L-(3-TRANS-PARA-COUMAROYL-RHAMNOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCURONIDE
APIACEAE#CRITHMUM MARITIMUM#KAEMPFEROL
APIACEAE#DAUCUS CAROTA#KAEMPFEROL
APIACEAE#DAUCUS DURIEUA#KAEMPFEROL
APIACEAE#ERYNGIUM CAMPESTRE#KAEMPFEROL#KAEMPFEROL-3-7-DI-O-RHAMNOSIDE-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-(2'-CIS-PARA-COUMAROYL)-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-(2'-TRANS-PARA-COUMAROYL)-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOSIDE-7-O-ALPHA-L-RHAMNOSIDE#KAEMPFEROL-3-O-CAFFEOYL-GLUCOSIDE#KAEMPFEROL-3-O-DI-PARA-COUMAROYL-GLUCOSIDE#KAEMPFEROL-7-O-ALPHA-L-RHAMNOSIDE
APIACEAE#ERYNGIUM PLANUM#KAEMPFEROL#KAEMPFEROL-3-O-(6-O-BETA-D-GLUCOSYL)-BETA-D-GLUCOSIDE
APIACEAE#FOENICULUM DULCE#KAEMPFEROL-3-O-ALPHA-L-(2''-3''-DI-TRANS-PARA-COUMAROYL)-RHAMNOSIDE
APIACEAE#FOENICULUM VULGARE#KAEMPFEROL#KAEMPFEROL-3-O-ALPHA-L-(2''-3''-DI-TRANS-PARA-COUMAROYL)-RHAMNOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCURONIDE
APIACEAE#FOENICULUM VULGARE_SSP.PIPERITUM#KAEMPFEROL-3-O-BETA-D-GLUCURONIDE
APIACEAE#FOENICULUM VULGARE_SSP.VULGARE#KAEMPFEROL-3-O-BETA-D-GLUCURONIDE
APIACEAE#HEPTAPTERA TRIQUETRA#KAEMPFEROL
APIACEAE#HERACLEUM MANTEGAZZIANUM#KAEMPFEROL
APIACEAE#HERACLEUM SPHONDYLIUM#KAEMPFEROL
APIACEAE#HETEROMORPHA ARBORESCENS#KAEMPFEROL
APIACEAE#HYDROCOTYLE VULGARIS#KAEMPFEROL-3-O-(6-O-ALPHA-L-ARABINOPYRANOSYL)-BETA-D-GALACTOPYRANOSIDE#KAEMPFEROL-3-O-ROBINOSIDE
APIACEAE#MEUM ATHAMANTICUM#KAEMPFEROL
APIACEAE#ORLAYA DAUCORLAYA#KAEMPFEROL-3-O-BETA-D-GLUCURONIDE
APIACEAE#ORLAYA GRANDIFLORA#KAEMPFEROL-3-O-BETA-D-GLUCURONIDE
APIACEAE#OSTERICUM SIEBOLDII#KAEMPFEROL-3-7-DIGLUCOSIDE#KAEMPFEROL-3-GLUCOSIDE-7-RHAMNOSIDE#KAEMPFEROL-7-GLUCOSIDE-3-RHAMNOSIDE
APIACEAE#PASTINACA SATIVA_SSP.SATIVA#KAEMPFEROL
APIACEAE#PETROSELINUM CRISPUM#KAEMPFEROL
APIACEAE#PETROSELINUM HORTENSE#KAEMPFEROL
APIACEAE#PEUCEDANUM CERVARIA#KAEMPFEROL GLYCOSIDE
APIACEAE#PEUCEDANUM LONGIFOLIUM#KAEMPFEROL
APIACEAE#PEUCEDANUM OFFICINALE#KAEMPFEROL GLYCOSIDE
APIACEAE#PEUCEDANUM OREOSELINUM#KAEMPFEROL GLYCOSIDE
APIACEAE#PEUCEDANUM VENETUM#KAEMPFEROL GLYCOSIDE
APIACEAE#PEUCEDANUM VERTICULLARE#KAEMPFEROL GLYCOSIDE
APIACEAE#PIMPINELLA SAXIFRAGA#KAEMPFEROL
APIACEAE#PLEUROSPERMUM FRANCHETIANUM#KAEMPFEROL-3-7-DI-O-ALPHA-L-RHAMNOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOPYRANOSYL-7-O-ALPHA-L-RHAMNOPYRANOSIDE
APIACEAE#PLEUROSPERMUM GIRALDII#KAEMPFEROL
APIACEAE#SIUM ERECTUM#KAEMPFEROL-3-O-ALPHA-L-RHAMNO-GLUCOSIDE
APIACEAE#SMYRNIUM CRETICUM#KAEMPFEROL
APIACEAE#SMYRNIUM PERFOLIATUM#KAEMPFEROL#KAEMPFEROL-3-4'-O-BETA-D-DIGLUCOSIDE
APIACEAE#SMYRNIUM ROTUNDIFOLIUM#KAEMPFEROL#KAEMPFEROL-3-DIGLYCOSIDE#KAEMPFEROL-3-METHYL ETHER 7-O-BETA-D-GLUCOSIDE
APIACEAE#TAUSCHIA TEXANA#KAEMPFEROL
APIACEAE#TORDYLIUM APULUM#KAEMPFEROL-3-O-NEOHESPERIDOSIDE
APIACEAE#ZOSIMA ORIENTALIS#KAEMPFEROL
APIDAE#APIS MELLIFERA#KAEMPFEROL
APOCYNACEAE#ADENIUM OBESUM#CYTOTOXIC ACTIVITY#KAEMPFEROL,3-O-METHYL:
APOCYNACEAE#AGANOSMA CARYOPHYLLATA#KAEMPFEROL#KAEMPFEROL-3-O-ARABINOSIDE
APOCYNACEAE#ALLAMANDA CATHARTICA#KAEMPFEROL
APOCYNACEAE#ALLAMANDA SCHOTTII#KAEMPFEROL
APOCYNACEAE#ALSTONIA SCHOLARIS#KAEMPFEROL#KAEMPFEROL-3-O-(2-GLUCOSYL-RHAMNOSYL-RUTINOSIDE)
APOCYNACEAE#ANODENDRON AFFINE#KAEMPFEROL
APOCYNACEAE#APOCYNUM VENETUM#KAEMPFEROL-3-O-BETA-D-GALACTOPYRANOSIDE#KAEMPFEROL-6'-O-ACETATE
APOCYNACEAE#ASPIDOSPERMA QUEBRACHO-BLANCO#KAEMPFEROL-3-O-RHAMNOSYL-DIGLUCOSIDE#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
APOCYNACEAE#BAISSEA LEONENSIS#KAEMPFEROL
APOCYNACEAE#BEAUMONTIA GRANDIFLORA#KAEMPFEROL
APOCYNACEAE#CARISSA CONGESTA#KAEMPFEROL
APOCYNACEAE#CATHARANTHUS ROSEUS#KAEMPFEROL#KAEMPFEROL,4'-O-METHYL,3-O-[(4′′F13′′′)- 2′′′,6′′′,10′′′,14′′′-TETRAMETHYLHEXADECAN-13′′′-OLYL]-BETA -D-GLUCOPYRANOSIDE:
APOCYNACEAE#CERBERA MANGHAS#KAEMPFEROL
APOCYNACEAE#DIPLADENIA MARTIANA#KAEMPFEROL
APOCYNACEAE#ECHITES HIRSUTA#KAEMPFEROL
APOCYNACEAE#ERVATAMIA CORONARIA#KAEMPFEROL
APOCYNACEAE#HOLARRHENA ANTIDYSENTERICA#KAEMPFEROL
APOCYNACEAE#ICHNOCARPUS FRUTESCENS#KAEMPFEROL
APOCYNACEAE#LEUCONOTIS EUGENIFOLIUS#KAEMPFEROL-2-O-BETA-D-XYLOSYL-BETA-D-GALACTOSIDE
APOCYNACEAE#OCHROSIA NAKAIANA#KAEMPFEROL
APOCYNACEAE#PLEIOCARPA MUTICA#KAEMPFEROL
APOCYNACEAE#PLUMERIA RUBRA#KAEMPFEROL
APOCYNACEAE#RAUVOLFIA TETRAPHYLLA#KAEMPFEROL
APOCYNACEAE#RAUVOLFIA VOMITORIA#KAEMPFEROL
APOCYNACEAE#RHAZYA ORIENTALIS#KAEMPFEROL-3-O-(6-O-ALPHA-L-RHAMNOPYRANOSYL)-BETA-D-GALACTOPYRANOSIDE
APOCYNACEAE#THEVETIA PERUVIANA#KAEMPFEROL#KAEMPFEROL-3-O-BETA-D-GLUCOPYRANOSYL(1-2)-BETA-D-GALACTOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOPYRANOSYL(1-4)-[6'''-O-SINAPOYL-BETA-D-GLUCOPYRANOSYL](1-2)-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-[2''''-O-SINAPOYL-BETA-D-GLUCOPYRANOSYL](1-4)-[6'''-O-SINAPOYL-BETA-D-GLUCOPYRANOSYL](1-2)-BETA-D-GLUCOPYRANOSYL](1-2)-BETA-D-GALACTOPYRANOSIDE#KAEMPFEROL-3-O[6'''-SINAPOYL-BETA-D-GLUCOPYRANOSYL](1-2)-BETA-D-GALACTOPYRANOSIDE
APOCYNACEAE#VINCA ERECTA#KAEMPFEROL
APOCYNACEAE#VINCA MAJOR#KAEMPFEROL-3-O-(6''-O-RHAMNOPYRANOSYL)-GALACTOPYRANOSIDE-7-O-GLUCOPYRANOSIDE
APOCYNACEAE#VINCA MINOR#HYPOTENSIVE#KAEMPFEROL-3-O-ALPHA-L-RHAMNO-GLUCOSYL-7-BETA-D-GALACTOSIDE#KAEMPFEROL-3-O-ALPHA-L-RHAMNO-GLUCOSYL-7-O-BETA-D-GLUCOSIDE#KAEMPFEROL-3-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-BETA-D-GLUCOPYRANOSIDE-7-O-BETA-D-GLUCOPYRANOSIDE
APOCYNACEAE#WRIGHTIA TOMENTOSA#KAEMPFEROL
AQUIFOLIACEAE#ILEX AFFINIS#KAEMPFEROL
AQUIFOLIACEAE#ILEX AMARA#KAEMPFEROL,3-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-GLUCOPYRANOSYL:
AQUIFOLIACEAE#ILEX AMBIGUA#KAEMPFEROL
AQUIFOLIACEAE#ILEX AMELANCHIER#KAEMPFEROL
AQUIFOLIACEAE#ILEX AMPLIFOLIA#KAEMPFEROL
AQUIFOLIACEAE#ILEX ANDARENSIS#KAEMPFEROL
AQUIFOLIACEAE#ILEX ARGENTINA#KAEMPFEROL
AQUIFOLIACEAE#ILEX BOLIVIANA#KAEMPFEROL
AQUIFOLIACEAE#ILEX BRASILIESIS#KAEMPFEROL
AQUIFOLIACEAE#ILEX BREVICUSPIS#KAEMPFEROL
AQUIFOLIACEAE#ILEX CANARIENSIS#KAEMPFEROL
AQUIFOLIACEAE#ILEX CASSINE#KAEMPFEROL
AQUIFOLIACEAE#ILEX CHAMAEDRYFOLIA#KAEMPFEROL
AQUIFOLIACEAE#ILEX COLCHICA#KAEMPFEROL#KAEMPFEROL-3-O-BETA-D-GLUCOSYL-ARABINOSIDE
AQUIFOLIACEAE#ILEX CONOCARPA#KAEMPFEROL
AQUIFOLIACEAE#ILEX CRENATA#KAEMPFEROL
AQUIFOLIACEAE#ILEX CURTISSII#KAEMPFEROL
AQUIFOLIACEAE#ILEX DECIDUA#KAEMPFEROL
AQUIFOLIACEAE#ILEX DISCOLOR#KAEMPFEROL
AQUIFOLIACEAE#ILEX DIURETICA#KAEMPFEROL
AQUIFOLIACEAE#ILEX DUMOSA#KAEMPFEROL
AQUIFOLIACEAE#ILEX DUMOSA_VAR.DUMOSA#KAEMPFEROL
AQUIFOLIACEAE#ILEX DUMOSA_VAR.GUARAMIO#KAEMPFEROL
AQUIFOLIACEAE#ILEX FICOIDEA#KAEMPFEROL
AQUIFOLIACEAE#ILEX GLABRA#KAEMPFEROL
AQUIFOLIACEAE#ILEX GUIANENSIS#KAEMPFEROL
AQUIFOLIACEAE#ILEX INTEGERRIMA#KAEMPFEROL
AQUIFOLIACEAE#ILEX KRUGIANA#KAEMPFEROL
AQUIFOLIACEAE#ILEX LAEVIGATA#KAEMPFEROL
AQUIFOLIACEAE#ILEX LATIFOLIA#KAEMPFEROL-3-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-O-BETA-D-GLUCOPYRANOSIDE
AQUIFOLIACEAE#ILEX LEUCOCLADA#KAEMPFEROL
AQUIFOLIACEAE#ILEX MACROPODA#KAEMPFEROL
AQUIFOLIACEAE#ILEX MATTHEWSII#KAEMPFEROL
AQUIFOLIACEAE#ILEX MAXIMOWICZIANA#KAEMPFEROL
AQUIFOLIACEAE#ILEX MICRODONTA#KAEMPFEROL
AQUIFOLIACEAE#ILEX MITIS#KAEMPFEROL
AQUIFOLIACEAE#ILEX MONTANA#KAEMPFEROL
AQUIFOLIACEAE#ILEX NITIDA#KAEMPFEROL
AQUIFOLIACEAE#ILEX PARAGUARIENSIS#KAEMPFEROL
AQUIFOLIACEAE#ILEX PERNYI#KAEMPFEROL-3-O-SAMBUBIOSIDE
AQUIFOLIACEAE#ILEX PHYTLIREAEFOLIA#KAEMPFEROL
AQUIFOLIACEAE#ILEX PSEUDOBUXUS#KAEMPFEROL
AQUIFOLIACEAE#ILEX PSEUDOVACCINIUM#KAEMPFEROL
AQUIFOLIACEAE#ILEX QUERCETORUM#KAEMPFEROL
AQUIFOLIACEAE#ILEX SIDEROXYLOIDES#KAEMPFEROL
AQUIFOLIACEAE#ILEX TERATOPIS#KAEMPFEROL
AQUIFOLIACEAE#ILEX THEEZANS#KAEMPFEROL
AQUIFOLIACEAE#ILEX VITIS-IDAEA#KAEMPFEROL
ARACEAE#SYMPLOCARPUS RENIFOLIUS#KAEMPFEROL-3-O-BETA-D-GLUCOPYRANOSYL(1-2)-BETA-D-GLUCOPYRANOSYL-7-O-BETA-D-GLUCOPYRANOSIDE
ARALIACEAE#ACANTHOPANAX SCIADOPHYLLOIDES#KAEMPFEROL#KAEMPFEROL,3-O-BETA-D-GALACTOPYRANOSYL: 7-O-ALPHA-L-RHAMNOPYRANOSIDE#KAEMPFEROL-7-O-ALPHA-L-RHAMNOPYRANOSIDE#KAEMPFEROL-7-O-ALPHA-L-RHAMNOSIDE
ARALIACEAE#ARALIA CONTINENTALIS#KAEMPFEROL
ARALIACEAE#ELEUTHEROCOCCUS PENTAPHYLLUS#KAEMPFEROL-3-RHAMNOGLUCOSIDE
ARALIACEAE#HEDERA HELIX#KAEMPFEROL#KAEMPFEROL-3-RHAMNOSYL-GLUCOSIDE
ARALIACEAE#OPLOPANAX ELATUS#KAEMPFEROL-3-O-BETA-D-GALACTOPYRANOSYL(1-2)-BETA-D-GLUCOPYRANOSIDE
ARALIACEAE#OPLOPANAX JAPONICUS#KAEMPFEROL-3-O-BETA-D-GLUCOPYRANOSYL(1-2)-BETA-D-GALACTOPYRANOSIDE
ARALIACEAE#PANAX GINSENG#KAEMPFEROL
ARALIACEAE#PANAX QUINQUEFOLIUS#KAEMPFEROL
ARALIACEAE#PANAX TRIFOLIUS#KAEMPFEROL-3-GLUCOSYL-7-RHAMNOSIDE#KAEMPFEROL-3-O-GLUCOSYL-7-O-RHAMNOSIDE
ARISTOLOCHIACEAE#ARISTOLOCHIA CUCURBITIFOLIA#KAEMPFEROL-3-7-O-DIGLUCOSIDE
ARISTOLOCHIACEAE#ARISTOLOCHIA HETEROPHYLLA#KAEMPFEROL-3-O-BETA-D-6''-(PARA-COUMAROYL)-GLUCOPYRANOSIDE#KAEMPFEROL-7-O-BETA-D-6''-(PARA-COUMAROYL)-GLUCOPYRANOSIDE
ARISTOLOCHIACEAE#ARISTOLOCHIA KAEMPFERI#KAEMPFEROL
ARISTOLOCHIACEAE#ARISTOLOCHIA RIGIDA#KAEMPFEROL-3-O-BETA-ROBINOBIOSIDE
