Pistacia vera, 116146747, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Pistacia vera, 116119840, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Pistacia vera, 116112258, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Pistacia vera, 116112272, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Pistacia vera, 116114248, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Pistacia vera, 116139250, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Pistacia vera, 116139251, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Pistacia vera, 116114687, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Pistacia vera, 116121984, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Pistacia vera, 116110320, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Pistacia vera, 116143362, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Pistacia vera, 116132019, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Pistacia vera, 116132020, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Pistacia vera, 116132533, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Pistacia vera, 116132534, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Pistacia vera, 116128027, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Pistacia vera, 116145626, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Pistacia vera, 116145627, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Pistacia vera, 116130113, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Pistacia vera, 116135367, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pistacia vera, 116116119, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pistacia vera, 116116634, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pistacia vera, 116117203, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pistacia vera, 116120218, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pistacia vera, 116120219, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pistacia vera, 116121824, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pistacia vera, 116109069, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pistacia vera, 116109124, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pistacia vera, 116109126, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pistacia vera, 116125659, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pistacia vera, 116111931, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pistacia vera, 116111937, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pistacia vera, 116128982, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pistacia vera, 116129819, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pistacia vera, 116143974, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Pistacia vera, 116133194, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Pistacia vera, 116119221, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Pistacia vera, 116119223, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Pistacia vera, 116123914, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Pistacia vera, 116108197, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Pistacia vera, 116111582, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Pistacia vera, 116133786, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Pistacia vera, 116133789, berberine bridge enzyme-like 13 isoform X1  [EC], ['EC:1.1.1.195'], KO:K22395
Pistacia vera, 116133991, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Pistacia vera, 116140948, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Pistacia vera, 116140963, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Pistacia vera, 116140966, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Pistacia vera, 116133631, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Pistacia vera, 116133635, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Pistacia vera, 116133778, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Pistacia vera, 116125774, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Pistacia vera, 116125802, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Pistacia vera, 116109701, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Pistacia vera, 116114468, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Pistacia vera, 116146147, peroxidase 6  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116146590, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116134091, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116134095, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116134405, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116134878, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116135689, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116136102, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116136507, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116137102, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116137526, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116138343, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116139230, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116141101, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116141271, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116141475, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116142003, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116143315, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116144054, LOW QUALITY PROTEIN: peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116145576, LOW QUALITY PROTEIN: peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116145579, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116145811, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116114507, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116129931, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116130960, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116115217, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116116698, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116116906, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116132268, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116117129, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116117161, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116117168, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116117427, LOW QUALITY PROTEIN: cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116118019, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116133102, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116133374, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116118957, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116119497, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116120842, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116121881, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116121932, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116105569, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116122925, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116122940, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116122945, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116122971, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116122972, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116122975, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116106327, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116106380, lignin-forming anionic peroxidase-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116106490, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116106492, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116106698, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116106714, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116107307, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116123924, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116124163, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116124168, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116124186, peroxidase 53-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116125033, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116108399, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116108794, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116108830, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116108905, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116125176, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116126041, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116126050, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116126066, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116109798, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116110106, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116110208, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116126072, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116110421, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116110583, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116110699, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116110860, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116127404, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116127614, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116111538, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116111773, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116112108, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116128438, lignin-forming anionic peroxidase-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116112550, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116112560, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116112563, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116129165, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116129176, LOW QUALITY PROTEIN: peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116129685, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116129890, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116113407, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116113408, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116113454, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pistacia vera, 116107031, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Pistacia vera, 116108182, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Pistacia vera, 116108338, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Pistacia vera, 116108347, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Pistacia vera, 116108378, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Pistacia vera, 116112801, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Pistacia vera, 116112877, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Pistacia vera, 116112893, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
