Arachis hypogaea, 112728963, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis hypogaea, 112791069, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis hypogaea, 112795528, 4-coumarate--CoA ligase 1 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis hypogaea, 112698272, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis hypogaea, 112698284, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis hypogaea, 112736452, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis hypogaea, 112720134, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis hypogaea, 112737229, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis hypogaea, 112737230, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis hypogaea, 112737232, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis hypogaea, 112740804, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis hypogaea, 112800084, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis hypogaea, 112723541, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis hypogaea, 112723543, 4-coumarate--CoA ligase 2 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis hypogaea, 112801342, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis hypogaea, 112706825, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis hypogaea, 112708822, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112709716, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112729317, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112729319, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112710267, spermidine hydroxycinnamoyl transferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112748239, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112790431, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112715071, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112751185, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112696962, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112696965, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112696967, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112697034, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112754844, spermidine hydroxycinnamoyl transferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112754846, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112754847, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112754921, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112716854, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112736308, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112777190, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112783187, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112723585, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112726590, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112785158, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112727792, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112696779, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Arachis hypogaea, 112754637, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Arachis hypogaea, 112802654, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis hypogaea, 112728549, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis hypogaea, 112712081, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis hypogaea, 112695792, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis hypogaea, 112712316, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis hypogaea, 112750575, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis hypogaea, 112697465, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis hypogaea, 112716648, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis hypogaea, 112775852, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis hypogaea, 112756238, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis hypogaea, 112779496, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis hypogaea, 112782336, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis hypogaea, 112758551, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis hypogaea, 112723608, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Arachis hypogaea, 112745809, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112751320, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112715608, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112720490, caffeoyl-CoA O-methyltransferase 5 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112720495, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112782895, caffeoyl-CoA O-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112799008, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112799024, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112784679, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112802037, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112727631, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112709743, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Arachis hypogaea, 112773195, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Arachis hypogaea, 112776189, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Arachis hypogaea, 112703807, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Arachis hypogaea, 112803836, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Arachis hypogaea, 112790258, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Arachis hypogaea, 112790259, aldehyde dehydrogenase family 2 member C4 isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Arachis hypogaea, 112751184, aldehyde dehydrogenase family 2 member C4 isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Arachis hypogaea, 112751186, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Arachis hypogaea, 112751188, aldehyde dehydrogenase family 2 member C4 isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Arachis hypogaea, 112738119, aldehyde dehydrogenase family 2 member C4 isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Arachis hypogaea, 112738120, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Arachis hypogaea, 112802156, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Arachis hypogaea, 112802159, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Arachis hypogaea, 112789146, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Arachis hypogaea, 112789657, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Arachis hypogaea, 112749500, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Arachis hypogaea, 112736935, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Arachis hypogaea, 112720314, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Arachis hypogaea, 112800781, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Arachis hypogaea, 112715717, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Arachis hypogaea, 112698013, anthranilate N-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Arachis hypogaea, 112784538, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Arachis hypogaea, 112733391, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis hypogaea, 112711957, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis hypogaea, 112791325, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis hypogaea, 112696397, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis hypogaea, 112714786, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis hypogaea, 112714787, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis hypogaea, 112714789, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis hypogaea, 112775398, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis hypogaea, 112778205, LOW QUALITY PROTEIN: probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis hypogaea, 112758044, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis hypogaea, 112782629, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis hypogaea, 112782630, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis hypogaea, 112782631, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Arachis hypogaea, 112792360, berberine bridge enzyme-like 26  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis hypogaea, 112792364, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis hypogaea, 112734572, berberine bridge enzyme-like 26  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis hypogaea, 112734573, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis hypogaea, 112794187, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis hypogaea, 112794188, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis hypogaea, 112794189, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis hypogaea, 112796200, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis hypogaea, 112740257, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis hypogaea, 112741491, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis hypogaea, 112742218, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Arachis hypogaea, 112792423, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Arachis hypogaea, 112734639, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Arachis hypogaea, 112766730, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112767040, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112785414, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112786686, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112786741, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112802723, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112802771, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112708384, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112709331, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112728645, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112728996, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112729283, peroxidase 30-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112729386, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112729387, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112747296, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112769096, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112789003, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112789186, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112789426, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112709885, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112710403, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112747702, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112747973, peroxidase 20-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112748390, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112770925, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112789622, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 114926077, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112711118, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112733567, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112748720, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112749369, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112749406, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112711694, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112749970, peroxidase C1C-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112750484, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112771976, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112772018, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112772485, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112695881, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112696127, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112712330, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112712927, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112791534, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112696335, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112696336, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112696341, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112696399, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112696880, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112696883, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112714871, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112714872, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112714898, peroxidase 43 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112751597, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112751618, peroxidase 47 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112792259, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112696964, peroxidase N isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112697184, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112697186, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112697395, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112697602, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112715276, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112715722, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112715819, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112716017, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112734453, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112773309, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112775078, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112775102, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112793723, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112793739, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112793770, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112793786, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112794185, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112794247, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112794602, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112697826, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112716210, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112716806, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112754354, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112754578, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112754741, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112754743, peroxidase 8-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112775835, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112718012, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112755077, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112755082, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112755315, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112755482, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112755624, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112776362, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112776650, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112777165, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112796151, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112796152, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112796153, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112796154, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112796157, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112796162, peroxidase 53  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112796578, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112702310, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112702311, peroxidase P7 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112702699, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112702702, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112702704, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112719903, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112719904, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112719905, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112719906, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112737096, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112755831, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112756071, LOW QUALITY PROTEIN: peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112778513, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112778694, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112778695, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112797150, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112797151, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
