Triticum aestivum, 123187330, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123137536, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123180005, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123180007, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123180011, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123052332, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123052335, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123052459, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123180545, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123088069, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123053982, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123053983, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123053984, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123053985, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123053986, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123105200, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123105206, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123105215, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123105222, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123105228, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123141544, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123127714, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123127715, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123144879, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum aestivum, 123064291, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.25'], KO:K13064
Triticum aestivum, 123064383, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.25'], KO:K13064
Triticum aestivum, 123099255, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.25'], KO:K13064
Triticum aestivum, 123100813, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.25'], KO:K13064
Triticum aestivum, 123137534, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.25'], KO:K13064
Triticum aestivum, 123073645, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.25'], KO:K13064
Triticum aestivum, 123073646, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.25'], KO:K13064
Triticum aestivum, 123057580, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.25'], KO:K13064
Triticum aestivum, 542819, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.25'], KO:K13064
Triticum aestivum, 123144878, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.25'], KO:K13064
Triticum aestivum, 123077675, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123060617, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123166406, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123079573, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123148431, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123062435, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123048956, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123099110, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123191571, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123069147, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123053304, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123159216, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123071222, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123089637, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123040936, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123108467, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123044016, 4-coumarate--CoA ligase 5 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum aestivum, 123093174, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum aestivum, 123128073, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum aestivum, 123187773, 4-coumarate--CoA ligase 5-like  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum aestivum, 123045214, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum aestivum, 123188959, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum aestivum, 123132517, 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum aestivum, 123149370, 4-coumarate--CoA ligase 4-like  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum aestivum, 123169286, 4-coumarate--CoA ligase 4-like  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum aestivum, 123098443, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum aestivum, 123084909, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum aestivum, 123136589, 4-coumarate--CoA ligase 3-like  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum aestivum, 123050793, 4-coumarate--CoA ligase-like 3  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum aestivum, 123051893, 4-coumarate--CoA ligase 5-like  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum aestivum, 123137862, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum aestivum, 123053047, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum aestivum, 123181502, 4-coumarate--CoA ligase-like 3  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum aestivum, 123091620, 4-coumarate--CoA ligase-like 3  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum aestivum, 123144103, 4-coumarate--CoA ligase 3-like  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum aestivum, 123145165, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum aestivum, 123075816, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123165169, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123059507, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123112079, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123166947, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123131661, hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123133195, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123149687, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123168796, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123169430, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123114610, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123115594, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123116222, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123134357, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123150378, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123083543, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123117303, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123135448, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123191359, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123065771, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123084513, uncharacterized protein LOC123084513  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123154409, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123171410, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123066308, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123066311, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123066668, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123067808, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123172699, putrescine hydroxycinnamoyltransferase 1-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123172704, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123172705, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123173858, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123068028, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123121612, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123176892, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123177311, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123103848, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123138606, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123139504, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123159288, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123143045, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123072173, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123124850, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123125829, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123162355, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123162658, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123163658, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123057293, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123074848, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123060768, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum aestivum, 123079468, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum aestivum, 123062331, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum aestivum, 123100799, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum aestivum, 123137844, cytochrome P450 98A1  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum aestivum, 123071098, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum aestivum, 123182452, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum aestivum, 123108593, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum aestivum, 123129568, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum aestivum, 123078941, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum aestivum, 123112623, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum aestivum, 123061839, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum aestivum, 123114752, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum aestivum, 123122112, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum aestivum, 123053244, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum aestivum, 123070532, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum aestivum, 123104341, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum aestivum, 123181775, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum aestivum, 123124632, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum aestivum, 123106892, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum aestivum, 123165759, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Triticum aestivum, 123150226, caffeoyl-CoA O-methyltransferase 1-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Triticum aestivum, 123159425, caffeoyl-CoA O-methyltransferase 1-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Triticum aestivum, 123124986, tricin synthase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Triticum aestivum, 123107218, tricin synthase 2-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Triticum aestivum, 543055, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123112098, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123128924, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123129792, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123113481, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123131297, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123131300, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123131303, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123167495, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123167496, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123132474, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123115732, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123115733, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123150180, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123117055, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123134969, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123134972, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123134973, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123134975, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123134986, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123134987, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123119527, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123119528, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123136544, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123101614, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123102338, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123103319, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123120738, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 100127082, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 542866, cinnamoyl-CoA reductase 1 isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123158330, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123158355, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123142124, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123142127, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123142130, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123142143, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123142749, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123106597, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123144051, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum aestivum, 123058353, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum aestivum, 123094765, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum aestivum, 123060778, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum aestivum, 123148107, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum aestivum, 123080224, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum aestivum, 123168948, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum aestivum, 123063013, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum aestivum, 123151902, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum aestivum, 123157455, aldehyde dehydrogenase family 2 member C4-like isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum aestivum, 123157456, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum aestivum, 123071905, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum aestivum, 123182453, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum aestivum, 123164615, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum aestivum, 123097237, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123047646, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123048551, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123064615, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123151944, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123050225, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123064858, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123065175, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123084354, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123171565, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123067211, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123181296, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123054048, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123124928, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123161050, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123041719, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123073850, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123074016, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123162481, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123184208, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123042291, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123164162, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123185782, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123186248, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum aestivum, 123177153, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Triticum aestivum, 123178260, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Triticum aestivum, 123059112, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Triticum aestivum, 123145988, probable cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Triticum aestivum, 123145989, probable cinnamyl alcohol dehydrogenase 5 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
