Sorghum bicolor, 8066166, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Sorghum bicolor, 110434482, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 110434732, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 110436184, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8056953, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8083642, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8074499, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8063047, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8074110, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8062699, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8063810, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8070254, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8056837, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8067223, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8085465, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8085726, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8062867, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8064375, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8082794, peroxidase 43 isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8055623, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8067465, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8054787, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8056546, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8075885, peroxidase 18  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8080776, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8085826, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8060947, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8086198, peroxidase 35  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8155322, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8071200, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8080921, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8078307, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8073625, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8079597, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8078552, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8061935, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8072695, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8086303, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8073888, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8061934, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8068191, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8056678, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Sorghum bicolor, 8058701, beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Sorghum bicolor, 8055877, beta-glucosidase 30  [EC], ['EC:3.2.1.21'], KO:K01188
Sorghum bicolor, 8078677, beta-glucosidase 4  [EC], ['EC:3.2.1.21'], KO:K01188
Sorghum bicolor, 8083305, beta-glucosidase 25 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Sorghum bicolor, 8082425, beta-glucosidase 5 isoform X2  [EC], ['EC:3.2.1.21'], KO:K01188
Sorghum bicolor, 8062700, beta-glucosidase 20 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Sorghum bicolor, 8076731, beta-glucosidase 31  [EC], ['EC:3.2.1.21'], KO:K01188
Sorghum bicolor, 8058170, 4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1, 4-benzoxazin-2-yl glucoside beta-D-glucosidase 2, chloroplastic  [EC], ['EC:3.2.1.21'], KO:K01188
Sorghum bicolor, 110430537, beta-glucosidase 22-like  [EC], ['EC:3.2.1.21'], KO:K01188
Sorghum bicolor, 110431790, uncharacterized protein LOC110431790 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Sorghum bicolor, 110432520, beta-glucosidase 31-like  [EC], ['EC:3.2.1.21'], KO:K01188
Sorghum bicolor, 8054201, beta-glucosidase 6  [EC], ['EC:3.2.1.21'], KO:K01188
Sorghum bicolor, 8057232, beta-glucosidase 34  [EC], ['EC:3.2.1.21'], KO:K01188
Sorghum bicolor, 8058703, beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Sorghum bicolor, 8067457, beta-glucosidase 6  [EC], ['EC:3.2.1.21'], KO:K01188
Sorghum bicolor, 8072863, beta-glucosidase 24 isoform X2  [EC], ['EC:3.2.1.21'], KO:K01188
Sorghum bicolor, 8073570, beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Sorghum bicolor, 8069923, uncharacterized protein LOC8069923  [EC], ['EC:3.2.1.21'], KO:K05349
Sorghum bicolor, 110430318, uncharacterized protein LOC110430318 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Sorghum bicolor, 8057509, uncharacterized protein LOC8057509 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Sorghum bicolor, 8069922, uncharacterized protein LOC8069922  [EC], ['EC:3.2.1.21'], KO:K05349
Sorghum bicolor, 110437359, uncharacterized protein LOC110437359  [EC], ['EC:3.2.1.21'], KO:K05349
Sorghum bicolor, 8085936, uncharacterized protein LOC8085936  [EC], ['EC:3.2.1.21'], KO:K05349
Sorghum bicolor, 8072136, uncharacterized protein LOC8072136 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Sorghum bicolor, 8075928, probable inactive beta-glucosidase 14  [EC], ['EC:3.2.1.21'], KO:K05350
Sorghum bicolor, 8064483, probable inactive beta-glucosidase 14  [EC], ['EC:3.2.1.21'], KO:K05350
Sorghum bicolor, 8064486, beta-glucosidase 16  [EC], ['EC:3.2.1.21'], KO:K05350
Sorghum bicolor, 8064478, beta-glucosidase 16 isoform X2  [EC], ['EC:3.2.1.21'], KO:K05350
Sorghum bicolor, 110432056, beta-glucosidase 7  [EC], ['EC:3.2.1.21'], KO:K05350
Sorghum bicolor, 110433494, beta-glucosidase 1  [EC], ['EC:3.2.1.21'], KO:K05350
Sorghum bicolor, 8062935, beta-glucosidase 8  [EC], ['EC:3.2.1.21'], KO:K05350
Sorghum bicolor, 8062936, beta-glucosidase 7  [EC], ['EC:3.2.1.21'], KO:K05350
Sorghum bicolor, 8065109, beta-glucosidase 38  [EC], ['EC:3.2.1.21'], KO:K05350
Sorghum bicolor, 8064485, LOW QUALITY PROTEIN: probable inactive beta-glucosidase 14  [EC], ['EC:3.2.1.21'], KO:K05350
Sorghum bicolor, 8075927, probable inactive beta-glucosidase 14  [EC], ['EC:3.2.1.21'], KO:K05350
Sorghum bicolor, 8073124, beta-glucosidase 26  [EC], ['EC:3.2.1.21'], KO:K05350
Sorghum bicolor, 8064482, probable inactive beta-glucosidase 14 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Sorghum bicolor, 8064487, beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Sorghum bicolor, 8064488, beta-glucosidase 18 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Sorghum bicolor, 8064479, beta-glucosidase 16 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Sorghum bicolor, 8058213, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
