Panicum hallii, 112881643, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Panicum hallii, 112897893, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum hallii, 112886631, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum hallii, 112900212, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum hallii, 112901538, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum hallii, 112889900, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum hallii, 112890136, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum hallii, 112880602, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum hallii, 112894578, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Panicum hallii, 112887100, cytochrome P450 98A1  [EC], ['EC:1.14.14.96'], KO:K09754
Panicum hallii, 112884528, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum hallii, 112885879, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum hallii, 112899839, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum hallii, 112877113, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum hallii, 112902510, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum hallii, 112892428, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum hallii, 112890743, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Panicum hallii, 112896402, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum hallii, 112896712, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum hallii, 112897181, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum hallii, 112897193, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum hallii, 112872776, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum hallii, 112874714, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum hallii, 112900472, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum hallii, 112890951, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum hallii, 112879317, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum hallii, 112894826, aldehyde dehydrogenase family 2 member C4-like isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Panicum hallii, 112891161, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Panicum hallii, 112891516, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Panicum hallii, 112873900, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Panicum hallii, 112897072, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Panicum hallii, 112881767, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Panicum hallii, 112897817, probable cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Panicum hallii, 112874392, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Panicum hallii, 112874397, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Panicum hallii, 112900423, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Panicum hallii, 112881962, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Panicum hallii, 112881516, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112881658, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112881863, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112881889, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112881961, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112881986, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112882110, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112894086, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112894087, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112894106, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112894339, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112894665, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112882139, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112882145, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112882190, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112882286, peroxidase 2-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112882294, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112882404, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112882405, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112882414, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112882566, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112882579, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112882679, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112894939, peroxidase A2-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112895076, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112895104, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112895204, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112883279, peroxidase 50-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112883280, peroxidase 50-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112883432, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112883433, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112883434, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112884225, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112896646, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112897222, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112884741, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112885068, peroxidase 54-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112885304, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112885582, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112897777, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112898167, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112872780, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112873370, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112873420, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112873450, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112873592, peroxidase 35-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112873597, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112873598, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112873729, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112886015, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112886021, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112898746, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112898749, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112899102, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112899103, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112899104, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112899105, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112899135, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112886297, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112886344, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112886493, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112886627, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112886808, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112886874, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112886944, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112899437, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112874599, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112887033, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112887239, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112887298, peroxidase 43-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112887340, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112887412, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112887720, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112900095, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112900154, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112900178, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112900410, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112875304, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112887773, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112888109, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112888118, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112888161, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112888408, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112888550, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112888624, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112901496, peroxidase 18-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112875560, peroxidase 5-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112875624, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112875799, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112876225, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112901917, uncharacterized protein LOC112901917 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112901931, peroxidase P7-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112901948, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112901954, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112901964, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112901973, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112901981, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112902384, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112902386, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112876358, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112889586, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112889729, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112889730, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112889765, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112889856, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112889889, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112889890, peroxidase P7-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112889919, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112902671, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112902944, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112903120, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112877154, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112877586, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112877633, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112877634, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112877635, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112877636, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112890039, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112890293, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112890385, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112890562, LOW QUALITY PROTEIN: peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112890849, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112890981, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112877958, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112878192, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112878193, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112891036, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112891545, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112891562, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112891608, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112891622, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112891745, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112891746, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112891771, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112891784, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112879305, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112891904, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112892088, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112892089, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112892310, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112892713, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112880377, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112893262, LOW QUALITY PROTEIN: peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112881337, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112881480, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum hallii, 112893883, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
