Pistacia vera, 116134326, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Pistacia vera, 116129556, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Pistacia vera, 116113484, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Pistacia vera, 116113521, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Pistacia vera, 116134244, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Pistacia vera, 116116966, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Pistacia vera, 116119408, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Pistacia vera, 116126796, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Pistacia vera, 116126798, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Pistacia vera, 116126842, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Pistacia vera, 116110943, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Pistacia vera, 116110956, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Pistacia vera, 116143357, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Pistacia vera, 116105178, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Pistacia vera, 116141969, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Pistacia vera, 116124900, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Pistacia vera, 116146611, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116134194, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116141795, LOW QUALITY PROTEIN: stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116142285, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116130250, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132029, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132253, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132777, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132779, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132789, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132791, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132793, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132795, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132797, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132799, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132815, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116133770, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116120694, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116107205, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116109571, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116112504, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116129137, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116130453, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Pistacia vera, 116139250, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Pistacia vera, 116139251, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Pistacia vera, 116114687, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Pistacia vera, 116121984, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Pistacia vera, 116110320, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
