Abrus precatorius, 113849934, chalcone synthase 1A-like  [EC], ['EC:2.3.1.74'], KO:K00660
Abrus precatorius, 113846133, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Abrus precatorius, 113859174, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Abrus precatorius, 113857422, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Abrus precatorius, 113848078, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Abrus precatorius, 113848080, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Abrus precatorius, 113848081, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Abrus precatorius, 113852790, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Abrus precatorius, 113846100, flavonoid 3'-monooxygenase-like isoform X1  [EC], ['EC:1.14.14.82'], KO:K05280
Abrus precatorius, 113845972, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Abrus precatorius, 113846034, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Abrus precatorius, 113854599, LOW QUALITY PROTEIN: flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Abrus precatorius, 113856260, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Abrus precatorius, 113870014, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Abrus precatorius, 113858180, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Abrus precatorius, 113859920, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Abrus precatorius, 113873201, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Abrus precatorius, 113869601, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Abrus precatorius, 113874864, UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Abrus precatorius, 113871765, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113848290, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113862234, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113862235, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113863121, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113850765, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113850767, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113863295, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113854404, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113854512, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113855460, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113867754, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113857083, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113857245, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113870079, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Abrus precatorius, 113861260, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Abrus precatorius, 113858672, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Abrus precatorius, 113858673, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Abrus precatorius, 113858674, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Abrus precatorius, 113860244, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Abrus precatorius, 113853767, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Abrus precatorius, 113853769, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Abrus precatorius, 113853770, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Abrus precatorius, 113854674, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Abrus precatorius, 113854893, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Abrus precatorius, 113867367, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
