Populus alba, 118041789, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Populus alba, 118052800, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Populus alba, 118062127, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Populus alba, 118055534, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Populus alba, 118027605, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Populus alba, 118033651, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Populus alba, 118028545, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Populus alba, 118042818, LOW QUALITY PROTEIN: anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Populus alba, 118047583, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Populus alba, 118037319, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Populus alba, 118039969, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Populus alba, 118051946, UDP-glycosyltransferase 88B1-like  [EC], ['EC:2.4.1.357'], KO:K22845
Populus alba, 118030233, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118043146, fatty alcohol:caffeoyl-CoA acyltransferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118053131, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118053604, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118054672, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118033504, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118034014, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118034341, LOW QUALITY PROTEIN: spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118034374, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118034380, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118046175, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118046176, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118047552, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118047645, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118047646, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118047648, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118058446, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118048835, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118048836, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118048923, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118060260, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118060261, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118060262, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118060268, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118052995, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Populus alba, 118033187, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Populus alba, 118033188, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Populus alba, 118054196, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Populus alba, 118054411, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Populus alba, 118055414, caffeoyl-CoA O-methyltransferase 2  [EC], ['EC:2.1.1.104'], KO:K00588
Populus alba, 118046454, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Populus alba, 118059202, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
