Spinacia oleracea, 110796050, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Spinacia oleracea, 110805578, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110805579, peroxidase P7-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110783588, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110783589, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110783590, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110783593, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110786749, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110786750, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110789073, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110790207, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110792611, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110792612, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110792621, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110792623, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110793313, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110790015, peroxidase 18-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110790341, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110798180, LOW QUALITY PROTEIN: peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110798241, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110799262, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110799312, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110802278, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110782806, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110775818, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110776333, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110776334, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110776336, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110777742, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110778068, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110782286, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110775253, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110778567, peroxidase 27-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110778909, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110779680, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110779681, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110774903, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110775794, peroxidase 5-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110775801, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110777071, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110777320, peroxidase 42 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110777365, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110780441, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110781231, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110781247, peroxidase 52-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110785109, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110795174, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110787116, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110790560, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110803977, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110803978, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110789503, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110789504, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110791854, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110796277, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110791880, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110792690, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Spinacia oleracea, 110775110, UDP-glycosyltransferase 72E3-like  [EC], ['EC:2.4.1.111'], KO:K12356
Spinacia oleracea, 110785321, uncharacterized protein LOC110785321  [EC], ['EC:3.2.1.21'], KO:K05349
Spinacia oleracea, 110803366, uncharacterized protein LOC110803366  [EC], ['EC:3.2.1.21'], KO:K05349
Spinacia oleracea, 110804725, uncharacterized protein LOC110804725  [EC], ['EC:3.2.1.21'], KO:K05349
Spinacia oleracea, 110800827, uncharacterized protein LOC110800827 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Spinacia oleracea, 110800828, uncharacterized protein LOC110800828  [EC], ['EC:3.2.1.21'], KO:K05349
Spinacia oleracea, 110784548, uncharacterized protein LOC110784548  [EC], ['EC:3.2.1.21'], KO:K05349
Spinacia oleracea, 110804062, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Spinacia oleracea, 110804069, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Spinacia oleracea, 110785858, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Spinacia oleracea, 110806118, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Spinacia oleracea, 110804615, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Spinacia oleracea, 110790461, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Spinacia oleracea, 110792289, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Spinacia oleracea, 110782747, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Spinacia oleracea, 110779263, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Spinacia oleracea, 110780660, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Spinacia oleracea, 110790830, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Spinacia oleracea, 110790831, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Spinacia oleracea, 110790832, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Spinacia oleracea, 110790833, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Spinacia oleracea, 110790835, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Spinacia oleracea, 110793128, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Spinacia oleracea, 110793129, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Spinacia oleracea, 110793183, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Spinacia oleracea, 110782587, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Spinacia oleracea, 110802367, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Spinacia oleracea, 110791721, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
