Ipomoea triloba, 116030458, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Ipomoea triloba, 116013493, aldehyde dehydrogenase 1-like  [EC], ['EC:1.2.1.68'], KO:K12355
Ipomoea triloba, 116013617, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Ipomoea triloba, 116000282, aldehyde dehydrogenase family 2 member C4-like isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Ipomoea triloba, 116000283, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Ipomoea triloba, 116019196, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Ipomoea triloba, 116013974, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Ipomoea triloba, 116014136, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Ipomoea triloba, 115995564, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ipomoea triloba, 115997239, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ipomoea triloba, 116027469, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ipomoea triloba, 116027475, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ipomoea triloba, 116000356, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ipomoea triloba, 116027462, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ipomoea triloba, 116031674, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea triloba, 116019865, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea triloba, 116032522, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea triloba, 116032701, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea triloba, 116032930, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea triloba, 116020506, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea triloba, 115997884, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea triloba, 115997950, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea triloba, 116026248, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea triloba, 116026599, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea triloba, 116026903, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea triloba, 115999451, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea triloba, 116032999, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Ipomoea triloba, 116033001, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Ipomoea triloba, 115997602, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Ipomoea triloba, 116014862, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Ipomoea triloba, 116010198, 1-Cys peroxiredoxin A  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Ipomoea triloba, 116002169, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116017115, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116030232, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116030303, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116002702, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116017173, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116017309, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116017348, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116017465, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116017795, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116030927, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116031507, anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116019156, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116019234, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116019248, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116031897, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116031901, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116031903, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116031987, anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116004753, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116019855, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116032654, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116032713, anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116032722, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116032749, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116032907, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116032918, neutral peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116032946, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116005621, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116006034, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116006075, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116020141, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116020142, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116033434, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116033458, anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116033651, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116033705, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116006725, cationic peroxidase 1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116006726, cationic peroxidase 1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116006728, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116007059, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116007086, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116007138, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116007142, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116007152, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116007167, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116007245, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116007251, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116022870, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 115995848, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116023191, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116023262, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116011143, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116024584, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116012246, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116012433, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116012471, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116025233, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116025443, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116025823, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116025838, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 115997506, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 115997906, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 115997920, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 115998141, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 115998242, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116012980, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116012981, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116026058, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116026246, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116026292, peroxidase 6-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 115998930, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116013934, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116027059, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 115999146, peroxidase 72-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 115999339, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 115999470, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 115999653, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 115999650, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 115999739, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116014103, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116014492, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116014870, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116014949, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116014954, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116027678, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116027926, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116028101, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116028272, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 115999813, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 115999821, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116000310, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116028720, peroxidase P7-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116028939, neutral peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116000423, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116000444, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116000496, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116016211, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116016596, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116029212, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea triloba, 116018808, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Ipomoea triloba, 116019262, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Ipomoea triloba, 116019282, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Ipomoea triloba, 116020423, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Ipomoea triloba, 116020427, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Ipomoea triloba, 116021091, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
