Abrus precatorius, 113860764, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Abrus precatorius, 113859866, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113859953, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113871741, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113847444, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113847505, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113847887, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113847968, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113860075, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113860911, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113872377, LOW QUALITY PROTEIN: peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113848229, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113848977, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113849021, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113861317, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113861401, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113872557, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113862222, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113862280, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113873365, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113873424, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113873503, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113873552, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113873715, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113849534, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113849682, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113849697, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113849847, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113849848, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113849992, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113862704, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113862712, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113873734, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113874271, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113874280, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113874366, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113874698, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113850261, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113874931, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113874932, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113874933, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113874934, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113874935, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113853005, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113853018, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113853099, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113853138, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113853295, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113853843, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113865257, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113865353, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113865640, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113866575, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113866862, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113866863, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113866864, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113867161, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113867321, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113867322, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113855332, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113855560, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113867520, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113867521, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113867892, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113868007, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113856415, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113856526, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113868167, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113868452, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113868648, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113868721, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113845854, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113845944, peroxidase P7-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113857296, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113857572, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113869101, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113845986, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113846238, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113846399, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113857954, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113869502, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113869864, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113869886, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113870239, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Abrus precatorius, 113870284, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Abrus precatorius, 113865122, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
