Cajanus cajan, 109793961, phenylalanine ammonia-lyase G4-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cajanus cajan, 109802555, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Cajanus cajan, 109812246, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Cajanus cajan, 109791897, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Cajanus cajan, 109792884, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Cajanus cajan, 109804796, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Cajanus cajan, 109794166, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Cajanus cajan, 109816144, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Cajanus cajan, 109790152, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cajanus cajan, 109793591, caffeoyl-CoA O-methyltransferase 5-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Cajanus cajan, 109799752, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Cajanus cajan, 109818865, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Cajanus cajan, 109801130, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cajanus cajan, 109799390, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Cajanus cajan, 109799418, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Cajanus cajan, 109799644, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Cajanus cajan, 109812665, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Cajanus cajan, 109812977, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cajanus cajan, 109813456, aldehyde dehydrogenase family 2 member C4 isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Cajanus cajan, 109804144, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Cajanus cajan, 109804237, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Cajanus cajan, 109813458, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Cajanus cajan, 109813476, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Cajanus cajan, 109792850, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Cajanus cajan, 109800254, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Cajanus cajan, 109817907, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cajanus cajan, 109794407, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cajanus cajan, 109789134, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cajanus cajan, 109797532, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cajanus cajan, 109795044, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Cajanus cajan, 109790456, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Cajanus cajan, 109791591, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Cajanus cajan, 109804419, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Cajanus cajan, 109793899, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Cajanus cajan, 109811441, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Cajanus cajan, 109813202, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Cajanus cajan, 109813208, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Cajanus cajan, 109813229, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Cajanus cajan, 109812815, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Cajanus cajan, 109813069, peroxidase 10-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109807250, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109817108, peroxidase 18-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109819138, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109817440, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109817447, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109799567, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109799572, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109805312, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109805313, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109809421, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109809434, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109812529, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109812536, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109815585, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109815587, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109815594, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109816584, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109818625, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109818626, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109799089, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109802254, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109804405, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109800503, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109805194, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109805204, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109817473, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109814132, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109814133, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109814138, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109814147, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109814148, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109815116, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109798201, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109801355, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109801357, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109804538, peroxidase 59-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109800689, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109808494, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109818702, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109801583, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109804411, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109816509, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109809043, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109811129, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109797935, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109794923, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109806672, peroxidase 6-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109809748, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109796481, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109796734, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109788446, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109794627, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109812744, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109790252, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109790282, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109796284, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109796088, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109796096, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109796503, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109792086, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109792087, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109792088, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109792103, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109805750, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109797670, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109809824, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109809834, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109809838, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109812894, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109819004, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109795205, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109795361, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109806622, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109792607, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109788929, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109788938, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109788940, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109789552, LOW QUALITY PROTEIN: peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109789590, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109801068, LOW QUALITY PROTEIN: peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109794683, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109802819, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109792709, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109807566, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109816701, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109809852, peroxidase 29-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109809904, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109792825, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109792943, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109793081, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109793443, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109804093, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109804102, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109789370, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109789371, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109789376, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109789377, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109789550, peroxidase 3-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109789664, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109796281, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109801609, peroxidase 28-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cajanus cajan, 109801136, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Cajanus cajan, 109812920, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Cajanus cajan, 109812923, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Cajanus cajan, 109818622, UDP-glycosyltransferase 72D1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Cajanus cajan, 109787675, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cajanus cajan, 109789799, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cajanus cajan, 109791772, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cajanus cajan, 109798496, beta-glucosidase 24-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cajanus cajan, 109798497, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cajanus cajan, 109799160, cyanogenic beta-glucosidase-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Cajanus cajan, 109799161, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cajanus cajan, 109805798, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cajanus cajan, 109805952, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cajanus cajan, 109807849, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Cajanus cajan, 109813093, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cajanus cajan, 109815409, beta-glucosidase 11-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Cajanus cajan, 109817892, beta-glucosidase 25 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Cajanus cajan, 109819011, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cajanus cajan, 109806889, uncharacterized protein LOC109806889  [EC], ['EC:3.2.1.21'], KO:K05349
Cajanus cajan, 109816285, uncharacterized protein LOC109816285 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Cajanus cajan, 109796189, uncharacterized protein LOC109796189  [EC], ['EC:3.2.1.21'], KO:K05349
Cajanus cajan, 109794216, uncharacterized protein LOC109794216  [EC], ['EC:3.2.1.21'], KO:K05349
Cajanus cajan, 109795486, uncharacterized protein LOC109795486  [EC], ['EC:3.2.1.21'], KO:K05349
Cajanus cajan, 109797170, uncharacterized protein LOC109797170 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Cajanus cajan, 109793978, uncharacterized protein LOC109793978  [EC], ['EC:3.2.1.21'], KO:K05349
Cajanus cajan, 109813830, uncharacterized protein LOC109813830  [EC], ['EC:3.2.1.21'], KO:K05349
Cajanus cajan, 109792572, uncharacterized protein LOC109792572  [EC], ['EC:3.2.1.21'], KO:K05349
Cajanus cajan, 109792852, uncharacterized protein LOC109792852  [EC], ['EC:3.2.1.21'], KO:K05349
Cajanus cajan, 109789373, uncharacterized protein LOC109789373  [EC], ['EC:3.2.1.21'], KO:K05349
Cajanus cajan, 109807946, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Cajanus cajan, 109808287, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cajanus cajan, 109819341, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cajanus cajan, 109819344, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cajanus cajan, 109819346, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Cajanus cajan, 109819347, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cajanus cajan, 109809297, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cajanus cajan, 109807656, beta-glucosidase 46-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Cajanus cajan, 109807657, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cajanus cajan, 109807658, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cajanus cajan, 109799992, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cajanus cajan, 109793822, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cajanus cajan, 109819342, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cajanus cajan, 109818965, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Cajanus cajan, 109807179, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Cajanus cajan, 109816145, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Cajanus cajan, 109816155, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Cajanus cajan, 109816156, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
