Carica papaya, 110807260, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Carica papaya, 110819856, LOW QUALITY PROTEIN: peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110815250, peroxidase 13  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110816218, LOW QUALITY PROTEIN: peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110822511, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110813794, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110816874, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110821264, LOW QUALITY PROTEIN: peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110822359, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110809599, peroxidase E5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110814649, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110821721, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110823792, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110807856, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110814472, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110819300, peroxidase 4-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110821296, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110822397, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110822406, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110806770, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110807807, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110821807, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110821815, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110812706, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110806843, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110808625, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110813903, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110823021, peroxidase 66 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110808044, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110815151, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110816154, LOW QUALITY PROTEIN: peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110816182, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110818213, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110819207, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110821000, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110822016, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110825269, peroxidase 6  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110813018, LOW QUALITY PROTEIN: peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110811065, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Carica papaya, 110807891, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Carica papaya, 110807897, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Carica papaya, 110824239, beta-glucosidase 40 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Carica papaya, 110812332, putative beta-glucosidase 41 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Carica papaya, 110810679, uncharacterized protein LOC110810679  [EC], ['EC:3.2.1.21'], KO:K05349
Carica papaya, 110810687, uncharacterized protein LOC110810687  [EC], ['EC:3.2.1.21'], KO:K05349
Carica papaya, 110814954, uncharacterized protein LOC110814954 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Carica papaya, 110814955, uncharacterized protein LOC110814955  [EC], ['EC:3.2.1.21'], KO:K05349
Carica papaya, 110810026, uncharacterized protein LOC110810026  [EC], ['EC:3.2.1.21'], KO:K05349
Carica papaya, 110809763, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Carica papaya, 110809755, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Carica papaya, 110806748, beta-glucosidase 46  [EC], ['EC:3.2.1.21'], KO:K05350
Carica papaya, 110823124, beta-glucosidase 44-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Carica papaya, 110809597, LOW QUALITY PROTEIN: feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Carica papaya, 110806682, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
