Phoenix dactylifera, 103712379, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 120110262, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Phoenix dactylifera, 103702795, anthocyanin synthase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Phoenix dactylifera, 103696959, anthocyanin synthase-like isoform X1  [EC], ['EC:1.14.20.4'], KO:K05277
Phoenix dactylifera, 103698208, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Phoenix dactylifera, 103696132, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Phoenix dactylifera, 103700891, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Phoenix dactylifera, 103697376, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103697378, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103699039, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103707445, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103707448, hydroxycinnamoyltransferase isoform X2  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103712513, LOW QUALITY PROTEIN: salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103710206, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103716242, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Phoenix dactylifera, 103705056, p-coumarate 3-hydroxylase-like  [EC], ['EC:1.14.14.96'], KO:K09754
Phoenix dactylifera, 103706282, p-coumarate 3-hydroxylase-like  [EC], ['EC:1.14.14.96'], KO:K09754
Phoenix dactylifera, 103713767, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 103722553, norbelladine 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 103710057, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 103701551, norbelladine 4'-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 103701552, norbelladine 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 120107377, norbelladine 4'-O-methyltransferase 2-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 120107378, norbelladine 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Phoenix dactylifera, 120113086, norbelladine 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
