Salvia splendens, 121799006, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Salvia splendens, 121790588, 4-coumarate--CoA ligase-like  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121791254, 4-coumarate--CoA ligase-like  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121804700, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121750221, 4-coumarate--CoA ligase-like  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121764022, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121751241, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121779380, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121806031, probable CoA ligase CCL7  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121780536, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121794624, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121741107, probable CoA ligase CCL7  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121781453, probable CoA ligase CCL7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121781968, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121808122, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121742024, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121795756, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121742999, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121783754, 4-coumarate--CoA ligase-like 6 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Salvia splendens, 121743899, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121769978, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121770621, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121784223, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121798407, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121798505, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121811259, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121745805, fatty alcohol:caffeoyl-CoA acyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121758194, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121758263, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121801075, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121747038, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121747157, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121773830, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121773884, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121747587, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121760958, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121774790, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121802346, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121802957, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121803020, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121749055, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121749158, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121791474, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121804418, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121749716, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121750363, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121778683, fatty alcohol:caffeoyl-CoA acyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121778807, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121793705, fatty alcohol:caffeoyl-CoA acyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121793874, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121806643, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121780655, fatty alcohol:caffeoyl-CoA acyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121741097, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121741381, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121741702, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121741707, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121766438, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121780908, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121780995, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121781774, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121753322, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121767881, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121768002, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121809169, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121809173, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121754973, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121782671, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121797017, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121809492, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121809683, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121747388, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Salvia splendens, 121747439, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Salvia splendens, 121804071, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Salvia splendens, 121805425, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Salvia splendens, 121805775, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Salvia splendens, 121751565, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Salvia splendens, 121806378, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Salvia splendens, 121753302, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Salvia splendens, 121808561, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Salvia splendens, 121743781, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Salvia splendens, 121769556, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Salvia splendens, 121798639, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Salvia splendens, 121772409, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Salvia splendens, 121801291, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Salvia splendens, 121787955, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Salvia splendens, 121801458, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Salvia splendens, 121761108, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Salvia splendens, 121775526, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Salvia splendens, 121776599, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Salvia splendens, 121793500, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Salvia splendens, 121795071, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Salvia splendens, 121810249, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Salvia splendens, 121756814, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Salvia splendens, 121802519, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Salvia splendens, 121802943, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Salvia splendens, 121805966, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Salvia splendens, 121807028, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Salvia splendens, 121741086, caffeoyl-CoA O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Salvia splendens, 121753554, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Salvia splendens, 121802564, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Salvia splendens, 121809514, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Salvia splendens, 121746677, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Salvia splendens, 121750226, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Salvia splendens, 121747558, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Salvia splendens, 121802467, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Salvia splendens, 121804802, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Salvia splendens, 121769829, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Salvia splendens, 121746393, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Salvia splendens, 121760322, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Salvia splendens, 121764032, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Salvia splendens, 121766578, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Salvia splendens, 121755989, caffeic acid 3-O-methyltransferase 2-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Salvia splendens, 121792982, caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Salvia splendens, 121793860, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Salvia splendens, 121781296, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Salvia splendens, 121759151, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Salvia splendens, 121759202, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Salvia splendens, 121759487, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Salvia splendens, 121788016, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Salvia splendens, 121762340, probable mannitol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Salvia splendens, 121763762, probable mannitol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Salvia splendens, 121763957, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Salvia splendens, 121793385, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Salvia splendens, 121753746, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Salvia splendens, 121742327, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Salvia splendens, 121783571, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Salvia splendens, 121787938, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Salvia splendens, 121775501, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Salvia splendens, 121749273, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Salvia splendens, 121803873, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Salvia splendens, 121777734, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Salvia splendens, 121767524, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Salvia splendens, 121809383, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Salvia splendens, 121799784, 1-Cys peroxiredoxin-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Salvia splendens, 121794952, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Salvia splendens, 121743816, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121744421, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121756009, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121769879, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121770180, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121770251, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121784407, peroxidase 18-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121811233, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121744620, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121745066, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121756822, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121770878, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121770911, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121771157, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121771338, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121798876, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121799002, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121799302, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121799433, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121745364, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121745601, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121746011, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121758073, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121758105, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121758110, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121758238, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121758382, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121772187, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121785857, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121758831, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121773247, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121773295, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121773319, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121773460, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121800167, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121800252, peroxidase 6-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121746825, peroxidase 4-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121773540, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121801532, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121761238, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121789053, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121748295, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121748620, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121761419, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121776130, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121789872, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121803225, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121803443, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121762775, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121762819, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121776289, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121777075, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121790513, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121762967, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121763024, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121777600, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121777975, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121792243, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121750940, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121763629, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121763689, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121763699, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121778441, peroxidase 18-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121779474, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121793461, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121793531, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121793876, peroxidase 6-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121793956, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121740806, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121766062, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121780378, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121780747, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121806868, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121807367, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121741015, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121753209, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121767204, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121767212, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121767253, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121781006, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121781550, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121794932, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121795438, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121807900, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121753786, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121767679, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121767705, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121768112, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121782071, peroxidase 18-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121808712, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121808721, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121754132, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121754319, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121754665, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121754891, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121754956, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121755169, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121768412, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121796911, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121809711, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121743630, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121743689, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121783432, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Salvia splendens, 121783912, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
