Vitis riparia, 117934313, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vitis riparia, 117920771, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117910829, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117922314, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117925181, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117925580, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117919449, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117909149, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117924444, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117924570, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117924752, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117924899, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117920828, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Vitis riparia, 117909966, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis riparia, 117911684, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis riparia, 117922688, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis riparia, 117923246, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis riparia, 117924540, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis riparia, 117924623, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis riparia, 117924816, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis riparia, 117924905, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis riparia, 117927091, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis riparia, 117917531, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
