Erigeron canadensis, 122602813, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Erigeron canadensis, 122601383, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122579549, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Erigeron canadensis, 122582247, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Erigeron canadensis, 122589695, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Erigeron canadensis, 122589711, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Erigeron canadensis, 122602865, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Erigeron canadensis, 122603504, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Erigeron canadensis, 122593200, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Erigeron canadensis, 122594972, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Erigeron canadensis, 122594973, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Erigeron canadensis, 122594974, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Erigeron canadensis, 122607336, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Erigeron canadensis, 122582186, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Erigeron canadensis, 122610540, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Erigeron canadensis, 122589002, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Erigeron canadensis, 122603489, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Erigeron canadensis, 122603643, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erigeron canadensis, 122606043, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erigeron canadensis, 122606044, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erigeron canadensis, 122595132, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erigeron canadensis, 122596020, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Erigeron canadensis, 122610075, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erigeron canadensis, 122599280, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Erigeron canadensis, 122599325, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Erigeron canadensis, 122599621, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Erigeron canadensis, 122588639, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Erigeron canadensis, 122581899, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Erigeron canadensis, 122595956, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Erigeron canadensis, 122598427, aldehyde dehydrogenase 1  [EC], ['EC:1.2.1.68'], KO:K12355
Erigeron canadensis, 122578163, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Erigeron canadensis, 122605070, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Erigeron canadensis, 122588498, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Erigeron canadensis, 122603167, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erigeron canadensis, 122604332, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erigeron canadensis, 122605064, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erigeron canadensis, 122605407, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erigeron canadensis, 122580299, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erigeron canadensis, 122606653, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erigeron canadensis, 122606654, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erigeron canadensis, 122606655, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erigeron canadensis, 122606657, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erigeron canadensis, 122607521, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erigeron canadensis, 122584671, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erigeron canadensis, 122585007, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erigeron canadensis, 122587186, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erigeron canadensis, 122591164, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Erigeron canadensis, 122606966, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Erigeron canadensis, 122586680, cinnamyl alcohol dehydrogenase 5-like  [EC], ['EC:1.1.1.195'], KO:K00083
Erigeron canadensis, 122599065, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Erigeron canadensis, 122589197, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Erigeron canadensis, 122589319, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Erigeron canadensis, 122596150, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Erigeron canadensis, 122583968, O-acetylstemmadenine oxidase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Erigeron canadensis, 122583969, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Erigeron canadensis, 122610440, berberine bridge enzyme-like 26  [EC], ['EC:1.1.1.195'], KO:K22395
Erigeron canadensis, 122599389, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Erigeron canadensis, 122599435, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Erigeron canadensis, 122600386, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Erigeron canadensis, 122601663, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Erigeron canadensis, 122586097, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Erigeron canadensis, 122589384, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122589521, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122589571, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122589623, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122589857, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122590058, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122602556, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122602572, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122590446, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122591090, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122603258, peroxidase 66 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122591346, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122591868, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122578941, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122604575, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122579819, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122579903, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122579955, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122580026, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122580082, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122605783, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122580383, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122580569, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122580616, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122593517, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122593790, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122593800, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122593821, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122605929, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122594581, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122595020, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122581788, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122595364, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122595601, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122595608, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122582361, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122582496, peroxidase 4-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122595953, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122608112, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122582920, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122582984, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122582985, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122583826, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122583863, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122596539, basic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122596577, basic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122609538, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122609718, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122596834, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122597311, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122597443, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122597525, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122597737, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122597786, basic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122597808, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122597911, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122597936, basic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122597974, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122610665, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122610698, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122585187, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122585422, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122585505, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122585512, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122585517, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122585650, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122585733, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122585938, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122585952, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122598186, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122611132, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122611166, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122611247, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122586515, peroxidase 5-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122587286, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122601806, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122601841, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Erigeron canadensis, 122603231, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
