Prunus dulcis, 117617858, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Prunus dulcis, 117619997, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117631445, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117631559, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117631636, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117631963, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117632052, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117632357, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117632507, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117632622, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117621587, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117632860, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117633006, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117633015, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117633056, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117633077, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117633141, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117633142, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117633144, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117633545, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117622294, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117622369, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117622693, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117623033, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117623370, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117634582, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117624137, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117635002, peroxidase 41-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117635030, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117635150, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117612198, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117624315, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117635560, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117635564, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117635998, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117613872, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117613944, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117625808, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117625881, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117626071, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117626401, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117637367, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117614776, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117615010, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117626481, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117626546, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117637894, peroxidase 10 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117615759, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117627714, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117638404, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117633528, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Prunus dulcis, 117635763, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
