Gossypium raimondii, 105786418, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium raimondii, 105777612, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Gossypium raimondii, 105790828, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Gossypium raimondii, 105778274, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Gossypium raimondii, 105793313, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Gossypium raimondii, 105794758, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Gossypium raimondii, 105763144, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Gossypium raimondii, 105780498, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium raimondii, 105782151, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium raimondii, 105785009, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium raimondii, 105778788, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium raimondii, 105762808, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium raimondii, 105774576, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium raimondii, 105792927, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium raimondii, 105768894, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Gossypium raimondii, 105780141, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Gossypium raimondii, 105780881, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Gossypium raimondii, 105769191, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Gossypium raimondii, 105773894, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Gossypium raimondii, 105783006, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Gossypium raimondii, 105803747, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Gossypium raimondii, 105802182, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Gossypium raimondii, 105786164, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium raimondii, 105792628, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium raimondii, 105792629, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium raimondii, 105791250, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium raimondii, 105799382, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium raimondii, 105782479, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium raimondii, 105767646, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium raimondii, 105765366, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium raimondii, 105765367, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium raimondii, 105765368, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium raimondii, 105765408, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium raimondii, 105777756, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium raimondii, 105778083, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium raimondii, 105778084, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Gossypium raimondii, 105762794, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Gossypium raimondii, 105765383, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Gossypium raimondii, 105769209, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Gossypium raimondii, 105787897, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Gossypium raimondii, 105795216, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Gossypium raimondii, 105777551, tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Gossypium raimondii, 105774153, tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Gossypium raimondii, 105793940, tetrahydrocannabinolic acid synthase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Gossypium raimondii, 105778178, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Gossypium raimondii, 105769693, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105773693, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105800866, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105776180, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105768456, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105786019, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105787667, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105789054, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105789055, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105787274, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105787276, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105787283, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105787441, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105790412, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105790413, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105790860, peroxidase 59  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105790861, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105794298, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105792644, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105794277, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105790933, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105792751, peroxidase 53-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105790410, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105793709, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105793994, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105795061, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105795064, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105795062, POD2; cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105796008, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105796174, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105765403, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105764415, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105765583, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105765828, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105765032, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105765753, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105765770, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105766298, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105779778, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105784516, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105781033, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105784655, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105784658, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105775079, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105778740, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105781116, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105774113, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105777762, peroxidase 50-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105780175, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105784907, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105777862, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105777863, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105781418, peroxidase 30-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105774451, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105779305, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105769210, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105778111, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105780539, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105775845, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105775855, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105771164, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105779505, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105768965, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105771250, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105778376, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105784363, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105768125, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105769509, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105768443, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105774900, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105778508, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105772609, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105797610, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105797356, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105797026, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105796917, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105799557, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105799802, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105800004, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105801579, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105802185, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105800474, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105800475, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105801436, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105803768, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105804166, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105804216, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105762496, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105763347, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105763528, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105762640, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105762642, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105762643, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105762644, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105763418, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium raimondii, 105787557, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Gossypium raimondii, 105763295, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Gossypium raimondii, 105763297, UDP-glycosyltransferase 72E2-like  [EC], ['EC:2.4.1.111'], KO:K12356
Gossypium raimondii, 105763298, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Gossypium raimondii, 105796644, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Gossypium raimondii, 105768033, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Gossypium raimondii, 105783838, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Gossypium raimondii, 105788314, beta-glucosidase 42-like  [EC], ['EC:3.2.1.21'], KO:K01188
Gossypium raimondii, 105784091, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Gossypium raimondii, 105786131, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium raimondii, 105769525, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium raimondii, 105783651, BG; lysosomal beta glucosidase  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium raimondii, 105782961, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium raimondii, 105770660, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium raimondii, 105799284, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium raimondii, 105804445, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium raimondii, 105804446, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium raimondii, 105789032, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium raimondii, 105789042, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium raimondii, 105786443, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium raimondii, 105786459, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium raimondii, 105787118, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium raimondii, 105787365, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium raimondii, 105777659, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium raimondii, 105774744, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium raimondii, 105774914, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium raimondii, 105798640, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium raimondii, 105782318, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium raimondii, 105792686, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Gossypium raimondii, 105793736, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Gossypium raimondii, 105799341, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Gossypium raimondii, 105781174, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Gossypium raimondii, 105781207, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Gossypium raimondii, 105781216, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Gossypium raimondii, 105782099, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Gossypium raimondii, 105762803, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Gossypium raimondii, 105762806, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Gossypium raimondii, 105780878, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Gossypium raimondii, 105784587, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Gossypium raimondii, 105783679, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
