Arachis hypogaea, 112767268, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741561, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741570, stilbene synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741573, stilbene synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741574, stilbene synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741575, stilbene synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741579, stilbene synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741580, stilbene synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741581, stilbene synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741585, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741586, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741587, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741589, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741590, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741591, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741592, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112741594, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112763868, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112763869, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112801347, chalcone synthase 6  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112801348, chalcone synthase 6  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis hypogaea, 112712326, chalcone--flavonone isomerase 1A  [EC], ['EC:5.5.1.6'], KO:K01859
Arachis hypogaea, 112712327, chalcone--flavonone isomerase 2  [EC], ['EC:5.5.1.6'], KO:K01859
Arachis hypogaea, 112712329, chalcone--flavonone isomerase 1B-1  [EC], ['EC:5.5.1.6'], KO:K01859
Arachis hypogaea, 112715796, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Arachis hypogaea, 112775408, chalcone--flavonone isomerase 2  [EC], ['EC:5.5.1.6'], KO:K01859
Arachis hypogaea, 112775409, chalcone--flavonone isomerase 1B-1  [EC], ['EC:5.5.1.6'], KO:K01859
Arachis hypogaea, 112777442, chalcone--flavonone isomerase 1A  [EC], ['EC:5.5.1.6'], KO:K01859
Arachis hypogaea, 112784300, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Arachis hypogaea, 112796379, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Arachis hypogaea, 112719684, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Arachis hypogaea, 112712950, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Arachis hypogaea, 112777054, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Arachis hypogaea, 112702733, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Arachis hypogaea, 112766372, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Arachis hypogaea, 112712108, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis hypogaea, 112794230, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis hypogaea, 112719871, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis hypogaea, 112777310, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis hypogaea, 112764966, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis hypogaea, 112710219, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis hypogaea, 112790341, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis hypogaea, 112791158, NAD(P)H-dependent 6'-deoxychalcone synthase isoform X1 , [], KO:K08243
Arachis hypogaea, 112697592, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis hypogaea, 112775059, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis hypogaea, 112701701, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis hypogaea, 112701702, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis hypogaea, 112701703, NAD(P)H-dependent 6'-deoxychalcone synthase isoform X1 , [], KO:K08243
Arachis hypogaea, 112701704, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis hypogaea, 112701708, NAD(P)H-dependent 6'-deoxychalcone synthase isoform X1 , [], KO:K08243
Arachis hypogaea, 112701712, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis hypogaea, 112755817, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis hypogaea, 112764075, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis hypogaea, 112764077, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis hypogaea, 112764078, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis hypogaea, 112764079, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Arachis hypogaea, 112764643, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis hypogaea, 112765123, NAD(P)H-dependent 6'-deoxychalcone synthase isoform X1 , [], KO:K08243
Arachis hypogaea, 112766362, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis hypogaea, 112768987, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Arachis hypogaea, 112736589, licodione synthase  [EC], ['EC:1.14.19.76'], KO:K23179
Arachis hypogaea, 112716295, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Arachis hypogaea, 112783881, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Arachis hypogaea, 112697991, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Arachis hypogaea, 112697992, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Arachis hypogaea, 112756300, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Arachis hypogaea, 112756301, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Arachis hypogaea, 112749557, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Arachis hypogaea, 112800850, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Arachis hypogaea, 112728650, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Arachis hypogaea, 112791357, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Arachis hypogaea, 112802690, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Arachis hypogaea, 112750525, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Arachis hypogaea, 112803117, UDP-glycosyltransferase 88F4  [EC], ['EC:2.4.1.357'], KO:K22845
Arachis hypogaea, 112708822, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112709716, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112729317, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112729319, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112710267, spermidine hydroxycinnamoyl transferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112748239, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112790431, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112715071, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112751185, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112696962, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112696965, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112696967, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112697034, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112754844, spermidine hydroxycinnamoyl transferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112754846, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112754847, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112754921, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112716854, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112736308, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112777190, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112783187, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112723585, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112726590, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112785158, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112727792, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis hypogaea, 112696779, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Arachis hypogaea, 112754637, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Arachis hypogaea, 112745809, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112751320, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112715608, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112720490, caffeoyl-CoA O-methyltransferase 5 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112720495, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112782895, caffeoyl-CoA O-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112799008, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112799024, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112784679, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112802037, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis hypogaea, 112727631, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
