Panicum virgatum, 120656507, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Panicum virgatum, 120710391, 4-coumarate--CoA ligase-like 5  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120711918, probable 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120712123, probable 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120712515, probable 4-coumarate--CoA ligase 5  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120639337, probable 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120669170, putative 4-coumarate--CoA ligase-like 8  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum virgatum, 120702845, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120657469, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120644831, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120660696, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120706271, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120662511, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120663758, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120679454, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120695161, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120695676, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120695678, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120709645, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120696885, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120711518, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120668417, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120712486, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120673263, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Panicum virgatum, 120665065, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Panicum virgatum, 120698273, cytochrome P450 98A1  [EC], ['EC:1.14.14.96'], KO:K09754
Panicum virgatum, 120685285, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum virgatum, 120685809, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum virgatum, 120686655, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum virgatum, 120672412, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum virgatum, 120643354, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum virgatum, 120646077, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum virgatum, 120674916, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum virgatum, 120675048, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum virgatum, 120690642, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum virgatum, 120706743, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum virgatum, 120707660, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum virgatum, 120708585, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum virgatum, 120651404, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum virgatum, 120665733, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum virgatum, 120665735, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum virgatum, 120698953, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Panicum virgatum, 120702721, caffeoyl-CoA O-methyltransferase 1 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Panicum virgatum, 120658894, caffeoyl-CoA O-methyltransferase 3-like  [EC], ['EC:2.1.1.104'], KO:K00588
Panicum virgatum, 120682561, caffeoyl-CoA O-methyltransferase 3-like  [EC], ['EC:2.1.1.104'], KO:K00588
Panicum virgatum, 120669636, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Panicum virgatum, 120654849, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum virgatum, 120654851, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum virgatum, 120641267, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum virgatum, 120702575, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum virgatum, 120702837, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum virgatum, 120657571, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum virgatum, 120657572, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum virgatum, 120673417, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum virgatum, 120673500, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum virgatum, 120673639, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum virgatum, 120645913, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum virgatum, 120677484, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum virgatum, 120678047, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum virgatum, 120712484, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Panicum virgatum, 120672757, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Panicum virgatum, 120672760, aldehyde dehydrogenase family 2 member C4-like isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Panicum virgatum, 120673236, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Panicum virgatum, 120703798, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Panicum virgatum, 120707251, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Panicum virgatum, 120707252, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Panicum virgatum, 120688435, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Panicum virgatum, 120648449, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Panicum virgatum, 120658570, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Panicum virgatum, 120680242, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Panicum virgatum, 120711449, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Panicum virgatum, 120640418, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Panicum virgatum, 120640525, probable cinnamyl alcohol dehydrogenase 6 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Panicum virgatum, 120654896, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Panicum virgatum, 120670581, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Panicum virgatum, 120688547, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Panicum virgatum, 120678524, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Panicum virgatum, 120650485, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Panicum virgatum, 120711764, probable cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Panicum virgatum, 120711765, probable cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Panicum virgatum, 120683811, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Panicum virgatum, 120661970, 1-Cys peroxiredoxin PER1-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Panicum virgatum, 120696243, 1-Cys peroxiredoxin PER1-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Panicum virgatum, 120654725, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120655216, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120655217, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120655221, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120655222, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120669825, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120669902, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120669909, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120670159, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120670255, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120699649, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120640975, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120641326, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120670619, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120670962, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120670963, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120670964, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120671014, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120686256, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120686361, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120700568, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120701201, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120701202, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120701203, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120701204, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120701205, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120701350, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120701351, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120641864, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120642003, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120642038, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120642197, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120656882, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120671455, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120671936, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120687613, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120642353, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120642437, peroxidase 18-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120642845, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120657202, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120672460, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120672675, peroxidase P7-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120688129, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120688132, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120703298, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120703401, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120703552, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120703656, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120703657, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120703658, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120703659, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120643171, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120643407, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120644195, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120658491, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120658492, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120658936, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120659017, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120659019, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120659020, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120659021, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120659037, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120659059, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120659181, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120659225, peroxidase 35-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120659226, peroxidase 50-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120688818, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120689232, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120689337, peroxidase 54-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120704244, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120704339, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120704340, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120659853, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120659860, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120674159, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120674291, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120674465, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120690010, peroxidase 51-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120690161, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120704717, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120705125, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120705150, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120705248, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120646175, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120660371, peroxidase 4-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120660971, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120674619, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120675600, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120675606, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120690758, peroxidase A2-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120705650, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120646739, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120646740, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120661181, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120676021, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120676023, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120676295, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120676427, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120676514, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120691127, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120691360, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120706429, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120706430, peroxidase 49-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120706431, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120706432, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120706434, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120706435, peroxidase 72-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120706497, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120706644, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120706646, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120706785, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120706786, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120706787, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120706790, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120706791, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120706936, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120706938, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120647522, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120647781, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120648032, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120648090, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120648122, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120648206, peroxidase 54-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120661972, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120661973, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120661974, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120662167, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120662169, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120662170, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120662758, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120676628, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120676667, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120677249, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120677524, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120692657, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120692690, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120692722, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120707128, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120648725, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120648726, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120648799, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120648800, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
