a 	b 
Arabidopsis thaliana	Carbamoyl phosphate
Arabidopsis thaliana	Castasterone
Arabidopsis thaliana	Catechin
Arabidopsis thaliana	Cathasterone
Arabidopsis thaliana	Caulilexin C
Arabidopsis thaliana	Cholesterol
Arabidopsis thaliana	Chorismate
Arabidopsis thaliana	Cinnamate
Arabidopsis thaliana	Cinnamic acid
Arabidopsis thaliana	Citramalic acid
Arabidopsis thaliana	Citric acid
Arabidopsis thaliana	Coenzyme A
Arabidopsis thaliana	Coniferaldehyde
Arabidopsis thaliana	Coniferin
Arabidopsis thaliana	Coniferyl alcohol
Arabidopsis thaliana	Coproporphyrinogen III
Arabidopsis thaliana	Coumaroyl-CoA
Arabidopsis thaliana	Cyanidin 3-O-[2''-O-(2'''-O-(sinapoyl) xylosyl) 6''-O-(p-O-(glucosyl) p-coumaroyl) glucoside] 5-O-glucoside
Arabidopsis thaliana	Cyanidin 3-O-[2''-O-(2'''-O-(sinapoyl) xylosyl) 6''-O-(p-coumaroyl) glucoside] 5-O-glucoside
Arabidopsis thaliana	Cyanidin 3-O-[2''-O-(2'''-O-(sinapoyl) xylosyl) glucoside] 5-O-glucoside
Arabidopsis thaliana	Cyanidin 3-O-[2''-O-(xylosyl) 6''-O-(p-O-(glucosyl) p-coumaroyl) glucoside] 5-O-[6'''-O-(malonyl) glucoside]
Arabidopsis thaliana	Cyanidin 3-O-[2''-O-(xylosyl) glucoside] 5-O-(6'''-O-malonyl) glucoside
Arabidopsis thaliana	Cyanidin 3-O-[2''-O-(xylosyl)-6''-O-(p-O-(glucosyl)-p-coumaroyl) glucoside] 5-O-glucoside
Arabidopsis thaliana	Cyanidin 3-O-[2''-O-(xylosyl)-6''-O-(p-coumaroyl) glucoside] 5-O-malonylglucoside
Arabidopsis thaliana	Cyanidin 3-O-[2-O-(2-O-(sinapoyl)-bata-D-xylopyranosyl) 6-O-(4-O-(beta-D-glucopyranosyl)-p-coumaroyl-bata-D-glucopyranoside] 5-O-[6-O-(malonyl) bata-D-glucopyranoside]
Arabidopsis thaliana	Cyanidin 3-sambubioside-5-glucoside
Arabidopsis thaliana	Cycloartenol
Arabidopsis thaliana	Cycloeucalenol
Arabidopsis thaliana	D-Cysteine
Arabidopsis thaliana	D-Fructose
Arabidopsis thaliana	D-Fructose 1,6-bisphosphate
Arabidopsis thaliana	D-Fructose 2,6-bisphosphate
Arabidopsis thaliana	D-Fructose 6-phosphate
Arabidopsis thaliana	D-Galacturonic acid
Arabidopsis thaliana	D-Gluconate
Arabidopsis thaliana	D-Glyceraldehyde 3-phosphate
Arabidopsis thaliana	D-Glyceric acid
Arabidopsis thaliana	D-Mannose 6-phosphate
Arabidopsis thaliana	D-Mannose-1-phosphate
Arabidopsis thaliana	D-Ribulose 1,5-bisphosphate
Arabidopsis thaliana	D-Xylose
Arabidopsis thaliana	D-erythro-Imidazolylglycerol phosphate
Arabidopsis thaliana	D-myo-Inositol 1,4,5-triphosphate
Arabidopsis thaliana	D-myo-Inositol 1,4-bisphosphate
Arabidopsis thaliana	DXP
Arabidopsis thaliana	Daidzein
Arabidopsis thaliana	Desulfobenzylglucosinolate
Arabidopsis thaliana	Dihidrozeatin riboside-O-glucoside
Arabidopsis thaliana	Dihomomethionine
Arabidopsis thaliana	Dihydrodipicolinic acid
Arabidopsis thaliana	Dihydroneopterin
Arabidopsis thaliana	Dihydroneopterin triphosphate
Arabidopsis thaliana	Dihydroorotate
Arabidopsis thaliana	Dihydrosirohydrochlorin
Arabidopsis thaliana	Dihydrozeatin
Arabidopsis thaliana	Dihydrozeatin O-glucoside
Arabidopsis thaliana	Dihydrozeatin riboside
Arabidopsis thaliana	Dihydrozeatin riboside-5'-monophosphate
Arabidopsis thaliana	Dihydrozeatin-9-glucoside-O-glucoside
Arabidopsis thaliana	Dimethylally pyrophosphate
Arabidopsis thaliana	Dotriacontanoic acid
Arabidopsis thaliana	E-beta-carotene
Arabidopsis thaliana	Eicosan-1-ol
Arabidopsis thaliana	Epicatechin
Arabidopsis thaliana	Episterol
Arabidopsis thaliana	Erythrin
Arabidopsis thaliana	Erythritol
Arabidopsis thaliana	Erythrose
Arabidopsis thaliana	Ethylene
Arabidopsis thaliana	Ethylene glycol
Arabidopsis thaliana	Ferulic acid
Arabidopsis thaliana	Feruloyl-CoA
Arabidopsis thaliana	Ficusin
Arabidopsis thaliana	Formononetin
Arabidopsis thaliana	Fructose
Arabidopsis thaliana	Fumarate
Arabidopsis thaliana	Fumaric acid
Arabidopsis thaliana	GABA
Arabidopsis thaliana	GDP-4-dehydro-6-deoxy-D-mannose
Arabidopsis thaliana	GDP-L-fucose
Arabidopsis thaliana	GDP-L-galactose
Arabidopsis thaliana	GDP-Manose
Arabidopsis thaliana	Galactinol
Arabidopsis thaliana	Garhwalin
Arabidopsis thaliana	Genistein
Arabidopsis thaliana	Geranyl diphospate
Arabidopsis thaliana	Geranylgeranyl diphosphate
Arabidopsis thaliana	Gibberellin A1
Arabidopsis thaliana	Gibberellin A12
Arabidopsis thaliana	Gibberellin A12 aldehyde
Arabidopsis thaliana	Gibberellin A13
Arabidopsis thaliana	Gibberellin A15
Arabidopsis thaliana	Gibberellin A17
Arabidopsis thaliana	Gibberellin A19
Arabidopsis thaliana	Gibberellin A20
Arabidopsis thaliana	Gibberellin A24
Arabidopsis thaliana	Gibberellin A25
Arabidopsis thaliana	Gibberellin A27
Arabidopsis thaliana	Gibberellin A29
Arabidopsis thaliana	Gibberellin A3
Arabidopsis thaliana	Gibberellin A34
Arabidopsis thaliana	Gibberellin A36
Arabidopsis thaliana	Gibberellin A37
Arabidopsis thaliana	Gibberellin A4
Arabidopsis thaliana	Gibberellin A41
Arabidopsis thaliana	Gibberellin A44
Arabidopsis thaliana	Gibberellin A5
Arabidopsis thaliana	Gibberellin A51
Arabidopsis thaliana	Gibberellin A53
Arabidopsis thaliana	Gibberellin A71
Arabidopsis thaliana	Gibberellin A8
Arabidopsis thaliana	Gibberellin A9
Arabidopsis thaliana	Glucobrassicin
Arabidopsis thaliana	Glucoerucin
Arabidopsis thaliana	Glucoiberin
Arabidopsis thaliana	Glucomalcomiin
Arabidopsis thaliana	Gluconapin
Arabidopsis thaliana	Glucoraphanin
Arabidopsis thaliana	Glucose
Arabidopsis thaliana	Glucose-6-phosphate
Arabidopsis thaliana	Glutathione
Arabidopsis thaliana	Glyceraldehyde
Arabidopsis thaliana	Glyceraldehyde 3-phosphate
Arabidopsis thaliana	Glycerol
Arabidopsis thaliana	Glycerol 2-phosphate
Arabidopsis thaliana	Glycerol-3-phosphate
Arabidopsis thaliana	Glycine
Arabidopsis thaliana	Glycitein
Arabidopsis thaliana	Glycolaldehyde
Arabidopsis thaliana	Glyoxalic acid
Arabidopsis thaliana	Guanosine triphosphate
Arabidopsis thaliana	HMG-CoA
Arabidopsis thaliana	Heptadecanoic acid
Arabidopsis thaliana	Hexacosanoic acid
Arabidopsis thaliana	Hexadecane-1,16-dioic acid
Arabidopsis thaliana	Hexahomomethionine
Arabidopsis thaliana	Homogentisate
Arabidopsis thaliana	Hydrocyanic acid
Arabidopsis thaliana	Hydrogen sulfide
Arabidopsis thaliana	Hydroxymethylbilane
Arabidopsis thaliana	IMP
Arabidopsis thaliana	Imidazole acetol phosphate
Arabidopsis thaliana	Indole 3-carboxylic acid methyl ester
Arabidopsis thaliana	Indole-3-acetaldoxime
Arabidopsis thaliana	Indole-3-acetonitrile
Arabidopsis thaliana	Indole-3-butyric acid
Arabidopsis thaliana	Indole-3-carboxyaldehyde
Arabidopsis thaliana	Indole-3-carboxylic acid
Arabidopsis thaliana	Indole-3-carboxylic acid beta-D-glucopyranosyl ester
Arabidopsis thaliana	Indole-3-glycerol phosphate
Arabidopsis thaliana	Indoleacetic acid
Arabidopsis thaliana	Inositol
Arabidopsis thaliana	Inositol-1-phosphate
Arabidopsis thaliana	Isochorismate
Arabidopsis thaliana	Isocitric acid
Arabidopsis thaliana	Isofucosterol
Arabidopsis thaliana	Isoliquiritigenin
Arabidopsis thaliana	Isopentenyl adenosine monophosphate
Arabidopsis thaliana	Isopentenyl diphosphate
Arabidopsis thaliana	Isopentenyladenine
Arabidopsis thaliana	Isopentenyladenine-9-glucoside
Arabidopsis thaliana	Isopentyenyladenine riboside monophoshate
Arabidopsis thaliana	Isothiocyanate
Arabidopsis thaliana	Kaempferitrin
Arabidopsis thaliana	Kaempferol
Arabidopsis thaliana	Kaempferol 3-galactoside-7-rhamnoside
Arabidopsis thaliana	Kaempferol 3-gentiobioside-7-rhamnoside
Arabidopsis thaliana	Ketovaline
Arabidopsis thaliana	L-4-Aspartyl phosphate
Arabidopsis thaliana	L-Alanine
Arabidopsis thaliana	L-Arginine
Arabidopsis thaliana	L-Asparaginate
Arabidopsis thaliana	L-Asparagine
Arabidopsis thaliana	L-Aspartate 4-semialdehyde
Arabidopsis thaliana	L-Aspartic acid
Arabidopsis thaliana	L-Citrulline
Arabidopsis thaliana	L-Cystathionine
Arabidopsis thaliana	L-Cysteine
Arabidopsis thaliana	L-Dehydroascorbate
Arabidopsis thaliana	L-Formylkynurenine
Arabidopsis thaliana	L-Fucose
Arabidopsis thaliana	L-Galactono-1,4-lactone
Arabidopsis thaliana	L-Gluconolactone
Arabidopsis thaliana	L-Glutamate 1-semialdehyde
Arabidopsis thaliana	L-Glutamate 5-semialdehyde
Arabidopsis thaliana	L-Glutamic acid
Arabidopsis thaliana	L-Glutamine
Arabidopsis thaliana	L-Histidinal
Arabidopsis thaliana	L-Histidine
Arabidopsis thaliana	L-Histidinol
Arabidopsis thaliana	L-Histidinol phosphate
Arabidopsis thaliana	L-Homocysteine
Arabidopsis thaliana	L-Homoserine
Arabidopsis thaliana	L-Kynurenine
Arabidopsis thaliana	L-Lactic acid
Arabidopsis thaliana	L-Leucine
Arabidopsis thaliana	L-Lysine
Arabidopsis thaliana	L-Malic acid
Arabidopsis thaliana	L-Methionine
Arabidopsis thaliana	L-Ornithine
Arabidopsis thaliana	L-Pantoate
Arabidopsis thaliana	L-Phenylalanine
Arabidopsis thaliana	L-Proline
Arabidopsis thaliana	L-Serine
Arabidopsis thaliana	L-Threonine
Arabidopsis thaliana	L-Tryptophan
Arabidopsis thaliana	L-Tyrosine
Arabidopsis thaliana	L-Valine
Arabidopsis thaliana	L-delta1-Pyrroline-5-carboxylate
Arabidopsis thaliana	L-gamma-Glutamyl-L-cysteine
Arabidopsis thaliana	L-isoleucine
Arabidopsis thaliana	LL-2,6-Diaminoheptanedioate
Arabidopsis thaliana	Laburnetin
Arabidopsis thaliana	Lanosterol
Arabidopsis thaliana	Lauric acid
Arabidopsis thaliana	Leucocyanidin
Arabidopsis thaliana	Levoglucosan
Arabidopsis thaliana	Lignoceric acid
Arabidopsis thaliana	Limonene
Arabidopsis thaliana	Linolenic acid
Arabidopsis thaliana	Liquiritigenin
Arabidopsis thaliana	Lutein
Arabidopsis thaliana	Lycopene
Arabidopsis thaliana	ME-2,4cPP
Arabidopsis thaliana	Maleate
Arabidopsis thaliana	Malonyl-CoA
Arabidopsis thaliana	Maltose
Arabidopsis thaliana	Mannitol
Arabidopsis thaliana	Marneral
Arabidopsis thaliana	Melibiose
Arabidopsis thaliana	Methyl jasmonate
Arabidopsis thaliana	Methylbenzoate
Arabidopsis thaliana	Mevalonate 5-diphosphate
Arabidopsis thaliana	Mevalonate 5-phosphate
Arabidopsis thaliana	Mevalonic acid
Arabidopsis thaliana	Myristoleic acid
Arabidopsis thaliana	N',N''-Bis(5-hydroxyferuloyl)-N'''-sinapoylspermidine
Arabidopsis thaliana	N-(5-Phospho-D-ribosyl)anthranilate
Arabidopsis thaliana	N-(E-4-coumaroyl)-aspartate
Arabidopsis thaliana	N-Carbamoyl-L-aspartate
Arabidopsis thaliana	N-Succinyl-2-L-amino-6-oxopimelate
Arabidopsis thaliana	N-Succinyl-LL-2,6-diaminoheptanedioate
Arabidopsis thaliana	N-hydroxy tryptamine
Arabidopsis thaliana	N1,N5,N10-Tris-(5-hydroxyferuloyl)spermidine
Arabidopsis thaliana	N6-Isopentenyladenosine
Arabidopsis thaliana	NAD
Arabidopsis thaliana	Naringenin
Arabidopsis thaliana	Naringenin chalcone
Arabidopsis thaliana	Neoglucobrassicin
Arabidopsis thaliana	Neoxanthin
Arabidopsis thaliana	Nicotinamide
Arabidopsis thaliana	Nicotinate ribonucleotide
Arabidopsis thaliana	Nicotinic acid adenine dinucleotide
Arabidopsis thaliana	O-Acetyl-L-serine
Arabidopsis thaliana	O-Phospho-L-homoserine
Arabidopsis thaliana	Obtusifoliol
Arabidopsis thaliana	Octadeca-9-ene-1,18-dioic-acid
Arabidopsis thaliana	Octadecadiene-1,18-diol
Arabidopsis thaliana	Octadecan-1-ol
Arabidopsis thaliana	Octadecanoic acid
Arabidopsis thaliana	Octadecene-1,9,18-triol
Arabidopsis thaliana	Octanoic acid
Arabidopsis thaliana	Oleic acid
Arabidopsis thaliana	Orotate
Arabidopsis thaliana	Orotidine 5'-phosphate
Arabidopsis thaliana	Osajin
Arabidopsis thaliana	Oxalic acid
Arabidopsis thaliana	PRPP
Arabidopsis thaliana	Palmitaldehyde
Arabidopsis thaliana	Palmitic acid
Arabidopsis thaliana	Palmitoleic acid
Arabidopsis thaliana	Pantothenic acid
Arabidopsis thaliana	Pelargonidin
Arabidopsis thaliana	Pentadecanoic acid
Arabidopsis thaliana	Pentahomomethionine
Arabidopsis thaliana	Peonidin 3-[6-(3-glucosylcaffeyl)glucoside]-5-glucoside
Arabidopsis thaliana	Phenylacetaldoxime
Arabidopsis thaliana	Phenylacetonitrile
Arabidopsis thaliana	Phenylacetothiohydroximate
Arabidopsis thaliana	Phenylpyruvic acid
Arabidopsis thaliana	Phosphoribosyl-AMP
Arabidopsis thaliana	Phosphoribosyl-ATP
Arabidopsis thaliana	Phosphoribosyl-formamido-carboxamide
Arabidopsis thaliana	Phosphorylcholine
Arabidopsis thaliana	Phylloquinone
Arabidopsis thaliana	Phytoene
Arabidopsis thaliana	Phytol
Arabidopsis thaliana	Phytyl pyrophosphate
Arabidopsis thaliana	Plastoquinone 9
Arabidopsis thaliana	Pomiferin
Arabidopsis thaliana	Porphobilinogen
Arabidopsis thaliana	Progesterone
Arabidopsis thaliana	Progoitrin
Arabidopsis thaliana	Protoporphyrin IX
Arabidopsis thaliana	Protoporphyrinogen IX
Arabidopsis thaliana	Puerarin
Arabidopsis thaliana	Putrescine
Arabidopsis thaliana	Pyridoxal
Arabidopsis thaliana	Pyridoxal phosphate
Arabidopsis thaliana	Pyridoxamine
Arabidopsis thaliana	Pyridoxamine phosphate
Arabidopsis thaliana	Pyridoxine 5-phosphate
Arabidopsis thaliana	Pyruvic acid
Arabidopsis thaliana	Quercetin
Arabidopsis thaliana	Quercetin 3,7-di-O-alpha-L-rhamnopyranoside
Arabidopsis thaliana	Quercetin 3-O-[6''-O-rhamnosyl)glucoside] 7-O-rhamnoside
Arabidopsis thaliana	Quercetin 3-O-beta-D-glucopyranosyl-7-O-alpha-L-rhamnopyranoside
Arabidopsis thaliana	Quinic acid
Arabidopsis thaliana	Quinolinic acid
Arabidopsis thaliana	Raffinose
Arabidopsis thaliana	Rapalexin A
Arabidopsis thaliana	Ribose
Arabidopsis thaliana	S-Adenosyl-L-homocysteine
Arabidopsis thaliana	S-Adenosyl-L-methionine
Arabidopsis thaliana	Sabinene
Arabidopsis thaliana	Saccharopine
Arabidopsis thaliana	Salicylic acid
Arabidopsis thaliana	Scanderone
Arabidopsis thaliana	Scopoletin
Arabidopsis thaliana	Senegalensin
Arabidopsis thaliana	Shikimic acid
Arabidopsis thaliana	Sinapaldehyde
